doi,year,journal,title
10.1086/689658,2016,Critical Inquiry,"Taking Back the Laugh: Comedic Alibis, Funny Fails"
10.1044/leader.scm.11072006.1,2006,ASHA Leader,Sound Field Systems on the Rise in Schools
10.1111/j.1468-0394.2010.00556.x,2010,Expert Systems,Thinking inside the box
10.1890/1540-9295-11.3.116,2013,Frontiers in Ecology and the Environment,Dispatches
10.1016/j.jth.2017.11.062,2017,Journal of Transport & Health,Go your Gait! Artistic Research about Walking and Listening ( breakout presentation )
,2014,The Beethoven newsletter,"Fourth ""New Beethoven Research"" Conference: ""Beethoven and the Congress of Vienna"""
10.1002/ecy.4370,2024,Ecology,Stressed reptiles pay the metabolic price of war
10.54021/seesv5n3-086,2024,STUDIES IN ENGINEERING AND EXACT SCIENCES,Acoustic and perceptual spatial delimitation in public places - a multi-criteria method
10.1002/tax.13247,2024,Taxon,"Report From The XX International Botanical Congress, Madrid, Spain, 21–27 July 2024"
10.1111/aman.13785,2022,American Anthropologist,Introduction
10.1215/0961754x-12264477,2026,Common Knowledge,A Veil of Silence: Women and Sound in Renaissance Italy
10.1111/all.15880,2023,Allergy,The contribution of digital health to net zero patient care in allergic diseases: From concept to practice
10.1016/j.geopsy.2026.100058,2026,Geopsychiatry,Environmental exposures and cognitive-psychosocial development of children in Asia: A scoping review
10.1111/j.1747-1567.2009.00523.x,2009,Experimental Techniques,FULL-SCALE MODAL TESTING OF VAULTED GOTHIC CHURCHES: LESSONS LEARNED
10.1542/pir.27.12.455,2006,Pediatrics in Review,Sleep Problems
10.1097/nr9.0000000000000110,2026,Interdisciplinary Nursing Research,Effects of indoor acoustic and olfactory environment in nursing homes on the perception of the older adults
10.1121/1.5014701,2017,The Journal of the Acoustical Society of America,Study of architectural design &amp; acoustic conditions of primary schools in Singapore
10.1016/j.cub.2022.09.046,2022,Current Biology,The avisphere
10.1093/em/caab061,2021,Early Music,Sounds powerful
10.52383/itfcoaching.v31i89.364,2023,ITF Coaching & Sport Science Review,"Experiments to identify the optimal sound to use in a new sound ball to improve recruitment, retention, health, and wellness for blind and visually impaired tennis players"
10.1093/isle/isw012,2016,ISLE Interdisciplinary Studies in Literature and Environment,"Narco-Pastoral: Drug Trafficking, Ecology, and the Trope of the Noble Campesino in Three Mexican Narconovelas"
10.1093/isle/isab050,2021,ISLE Interdisciplinary Studies in Literature and Environment,Sensing Black Coral
10.1097/00001648-200611001-00121,2006,Epidemiology,Development and Application of Exposure Modeling Techniques to Support Efficient Air-Quality Management
10.1097/md.0000000000042787,2025,Medicine,2nd International Conference on Public Health and Health Sciences (PHHS2025)
,2003,VTI MEDDELANDE,IMPROVEMENTS TO THE MUNICIPAL ROAD NETWORK IN FIVE TOWNS: DEMONSTRATION PROJECT IN MAELARDALEN REGION OF THE SWEDISH NATIONAL ROAD ADMINISTRATION IN 2001/2002
10.1093/musqtl/gdac009,2022,The Musical Quarterly,“This Year’s Model”: Toward a Sloanist Theory of Popular Music Production
10.3390/su18146996,2026,Sustainability,Noise as an Environmental Pressure Factor: Implications for Shaping Environmental Standards and Sustainable Environmental Management
10.5406/19452349.40.3.05,2022,American Music,Cambodian American Listening as Memory Work
10.5204/mcj.2390,2005,M/C Journal,Scan and Deliver
10.1111/j.1524-2226.2006.00073.x,2006,Journal of Popular Music Studies,The Politics of Nomenclature
10.2208/journalip.18.181,2001,INFRASTRUCTURE PLANNING REVIEW,Location of Large-Scale Retail Stores under Economic Regulation and their Impact Assessment on Neighborhood Environment
,1977,Z VERKEHRSWISS,DIRECT EVALUATION OF ADDITIONAL COSTS TO THE NATIONAL ECONOMY IN THE FORM OF DAMAGE TO HEALTH CAUSED BY EXHAUST GAS EMISSION FROM ROAD TRAFFIC
10.1093/eurpub/ckx187.280,2017,European Journal of Public Health,Effects of road-traffic nuisance on the active travel modes. What are the consequences?
,2018,JATI - JOURNAL OF SOUTHEAST ASIAN STUDIES,JATI 23 (2) 2018 GUEST EDITORIAL
10.1353/shb.2015.0050,2015,Shakespeare bulletin,A Midsummer Night’s Dream by Southern Shakespeare Festival (review)
10.3389/fevo.2025.1720295,2026,Frontiers in Ecology and Evolution,Cognitive alignment as a pathway to collaborative environmental sound AI in ecological monitoring
10.53555/jaz.v44i1.4699,2023,Journal Of Advanced Zoology,Noise Pollution: A Public Wellbeing Challenge
10.2307/852107,1994,Ethnomusicology,Impressions of Finnish Music Research
10.18607/es20231214923,2023,E&S Engineering and Science,Financial viability of horizontal sealing elements with different acoustic performance ratings
10.1093/ahr/rhaf299,2025,The American Historical Review,Julia Rombough. <i>A Veil of Silence: Women and Sound in Renaissance Italy</i>
10.1093/icb/icy112,2018,Integrative and Comparative Biology,Prehistoric Body Theater: Bringing Paleontology Narratives to Global Contemporary Performance Audiences
10.1111/aman.28072,2025,American Anthropologist,Spectral sonics: Field recordings from an extractive zone
10.70121/001c.145123,2025,Scholarly review .,Usage of Music within Commercial Marketing
10.1108/aaaj-08-2025-299,2025,Accounting Auditing & Accountability Journal,Sent to Coventry! Creatively (re)capturing accounting’s purpose
10.3389/fpsyt.2025.1574944,2025,Frontiers in Psychiatry,“Hell is other people”. Schizophrenia and urbanicity in the light of predictive coding theory
,1977,Kampf dem Laerm,VEHICLE NOISE NUISANCE IN RESIDENTIAL AREAS OF TOWNS AT NIGHT
10.1103/physrevb.39.9028,2008,"Physical review. B, Condensed matter",The Effects of Anthropogenic Ambient Noise and Habitat Vegetation on Common Yellowthroat Song
10.1093/eurheartj/ehv540,2015,European Heart Journal,Neglected cardiovascular risk factors
10.1097/01.hj.0000827584.62326.50,2022,The Hearing Journal,‘Safe’ Noise Harms the Brain
10.5325/preternature.5.2.0247,2016,Preternature Critical and Historical Studies on the Preternatural,"<i>Damnable Practises: Witches, Dangerous Women, and Music in Seventeenth-Century English Broadside Ballads</i> (Sarah F. Williams)"
10.24115/s2446-6220202173d1736p.440-449,2021,LAPLAGE EM REVISTA,The relation between social actions and auditory music basket of iranian citizens case study: Tehran and Karaj citizens in 2013
10.20885/ambr.vol6.iss2.art6,2026,Asian Management and Business Review,From sensory impressions to revisit intention: Multisensory tourism experiences in East Java’s tourism villages
,2006,"TRA - TRANSPORT RESEARCH ARENA EUROPE 2006: GOETEBORG, SWEDEN, JUNE 12TH-15TH 2006: GREENER, SAFER AND SMARTER ROAD TRANSPORT FOR EUROPE. PROCEEDINGS",Noise reduction by intelligent materials - the IP InMAR
10.1016/0030-3992(85)90124-0,1985,Optics & Laser Technology,Fibre optic gyroscopes and monomode optical components
10.21009/ijeem.052.03,2020,IJEEM - Indonesian Journal of Environmental Education and Management,Pengaruh Locus of Control dan Kepribadian (Personality) Terhadap Keinginan Untuk Bertindak (Intention to Act) Siswa
10.1093/isle/isab024,2021,ISLE Interdisciplinary Studies in Literature and Environment,Multispecies Emergent Textualities: Writing and Reading in Ecologies of Selves
10.1093/sleepadvances/zpad035.049,2023,SLEEP Advances,O049 A Quantitative EEG Analysis of Overnight Noise Exposure Effects on Sleep– A Laboratory Study
10.1162/comj_e_00622,2021,Computer Music Journal,News
10.5406/23300841.67.4.29,2022,The Polish Review,Books Briefly
,2017,The EGU General Assembly,Seafloor geodesy: Measuring surface deformation and strain-build up
10.1002/alz.080171,2023,Alzheimer s & Dementia,Multimodal music therapy intervention for engagement and agitation reduction for persons with severe dementia: Study protocol of a pilot randomized cross‐over trial
10.12697/bjah.2016.11.03,2016,Baltic Journal of Art History,Meremotiiv üleva pildikeeles: paari näitega eesti luulest
10.5406/23300841.71.1.16,2026,The Polish Review,Violent Space: The Jewish Ghetto in Warsaw
10.1016/j.aorn.2014.04.009,2014,AORN Journal,"10 Years In, Why Time Out Still Matters"
10.1111/jfb.15545,2023,Journal of Fish Biology,The challenges faced by fish in a dynamic world
,2014,Social alternatives,Sounds like garbage: Paddling through an imaginary island of trash toward a new sonic ecology
10.1353/jml.2000.0010,2000,Journal of Modern Literature,Editor's Introduction
10.1215/15525864-10462467,2023,Journal of Middle East Women s Studies,"Sacral Sound, Unbearable Noise, and Cairene Masculinities"
10.5406/19452349.41.3.04,2023,American Music,Wagner on the Midway: Reassessing Sonic Divisions at the 1893 World's Columbian Exposition
10.1215/15525864-10462467,2023,Journal of Middle East Women s Studies,"Sacral Sound, Unbearable Noise, and Cairene Masculinities"
10.47116/apjcri.2025.01.31,2025,Asia-pacific Journal of Convergent Research Interchange,Noise Analysis of Different Duct Geometries To Identify Optimal Noise Reduction Ducts
10.56975/ijsdr.v11i2.307987,2026,International Journal of Scientific Development and Research,Predictive Analytics Based AI Framework for Enhancing Solar Panel Efficiency
10.1353/jjq.2012.0047,2012,James Joyce quarterly,"“ Joycencore rearrived / or lots of fun again”: The Seventeenth Annual Trieste Joyce School Trieste, Italy, 30 June–6 July 2013"
10.1093/auk/ukz072,2019,The Auk,100 Years Ago in the American Ornithologists’ Union
10.1093/jaarel/lfw080,2017,Journal of the American Academy of Religion,<i>Greek Orthodox Music in Ottoman Istanbul: Nation and Community in the Era of Reform</i> . By Merih Erol
10.1093/eurpub/ckae144.1089,2024,European Journal of Public Health,Nocturnal Artificial Light Exposure in Expectant Mothers and Risk of Congenital Glaucoma
10.1353/cwe.2023.a912410,2023,The Journal of the Civil War Era,Animal Histories of the Civil War Era ed. by Earl J. Hess (review)
10.1044/hhdc15.1.10,2005,Perspectives on Hearing and Hearing Disorders in Childhood,Treatment of Auditory Processing Disorders in Adolescents
10.1353/tfr.2023.a914266,2023,The French review,Gender and the Spatiality of Blackness in Contemporary AfroFrench Narratives by Polo B. Moji (review)
,2005,Cineaction!,Hou Hsiao-Hsien's Cafe Lumiere
10.1353/mwr.2017.0077,2017,Middle West review,Craft Beer in the Heartland
,2004,Journal of the International Academy of Case Studies,Growth for Tiffany & Co.(Instructor's Note)
,2004,Journal of the International Academy of Case Studies,Growth for Tiffany & Co
10.1353/mis.2023.0011,2023,The Missouri review,"House Hunting, and: Perhaps This Is a Prayer, and: Bastille Day in Paris, 2022, and: Blue Notes, and: Even Now, after All These Years"
10.1002/oa.70082,2026,International Journal of Osteoarchaeology,Human–Bird Interactions Through Time: Proceedings of the 11th ICAZ Bird Working Group Meeting
10.1353/ohq.2003.0050,2003,Oregon Historical Quarterly,Affiliate Spotlight: Tamástslikt Cultural Institute
10.1642/auk-13-240.1,2014,The Auk,"Paul C. Mundinger, 1934–2011"
10.1097/00001888-200504000-00021,2005,Academic Medicine,An Introduction to Foreign Health Care
,2010,Medical Entomology and Zoology,Numerical studies on Aero-acoustic Phenomena Associated with Wall-bounded Shear Flow
10.1525/jsmg.2020.1.2.84,2020,Journal of Sound and Music in Games,"<i>Popular Music in the Nostalgia Video Game: The Way It Never Sounded</i>, by Andra Ivănescu"
10.1353/wlt.2019.0061,2019,World Literature Today,Agustín Fernández MalloThe Nocilla Trilogy
10.1353/wlt.2019.0058,2019,World Literature Today,Christine WunnickeThe Fox and Dr. Shimamura
10.1108/whatt-12-2024-238,2024,Worldwide Hospitality and Tourism Themes,"Reflections: Sustainability, smart tourism destinations and evolving visitor preferences"
10.1525/res.2026.7.2.181,2026,Resonance The Journal of Sound and Culture,Interlude
10.5325/jmedirelicult.49.2.0260,2023,The Journal of Medieval Religious Cultures,Encountering The Book of Margery Kempe
10.1097/01.hj.0000734216.39465.d2,2021,The Hearing Journal,"Underreported Hearing Aid Problems: No news is good news, right? Wrong!"
10.1097/01.hj.0000521763.31237.16,2017,The Hearing Journal,Evolutionary Perspective of Cochlear Amplification and NIHL
10.5406/15549399.57.4.07,2024,Dialogue A Journal of Mormon Thought,Don't Worry . . . Bee Happy
10.4037/ajcc2025625,2025,American Journal of Critical Care,Exploring the Effects of Virtual Reality on the Patient Experience in Adult and Pediatric Intensive Care
10.1097/01.hj.0000360856.40443.f6,2009,The Hearing Journal,MANUFACTURERS NEWS
10.1111/j.1468-0394.2009.00556_1.x,2010,Expert Systems,Wellcome Trust: we want the missing manual for the brain
10.1111/j.1468-0394.2010.00556_4.x,2010,Expert Systems,In this issue
10.1111/var.12292,2023,Visual Anthropology Review,Bela: Sensory Ethnography
10.1215/0041462x-3485104,2016,Twentieth Century Literature,"<i>Young Eliot: From St. Louis to “The Waste Land,”</i> by Robert Crawford"
10.1249/fit.0000000000000356,2018,ACSMʼs Health & Fitness Journal,Facility Layout and Maintenance Concerns
10.5325/eugeoneirevi.36.2.0235,2015,The Eugene O Neill Review,Anna Christie
10.5406/15549399.58.1.14,2025,Dialogue A Journal of Mormon Thought,Invigorating the Latter-day Saint Pioneer Woman Narrative
10.1093/eurheartj/ehac715,2022,European Heart Journal,Too hot to handle? The effects of extreme heat on cardiovascular health
10.1017/s0261444806223851,2006,Language Teaching,Language learning
10.1097/01.hj.0001094988.49033.64,2024,The Hearing Journal,Situations Avoided by People with Hyperacusis
10.1525/jpms.2019.313006,2019,Journal of Popular Music Studies,"Feminizing Rock Culture: A Revisit of Norma Coates’s “Teenyboppers, Groupies, and Other Grotesques”"
10.1002/lob.10374,2020,Limnology and Oceanography Bulletin,Connecting the Public to Science through Wonder
10.1525/jams.2018.71.1.268,2018,Journal of the American Musicological Society,"Review: In Search of Julián Carrillo and Sonido 13, by Alejandro L. Madrid"
10.1111/mms.13172,2024,Marine Mammal Science,Roger Payne 1935–2023
10.5325/thorntonwilderj.2.2.0239,2021,Thornton Wilder Journal,"The Alcestiad, Magis Theatre Company, New York, New York"
10.1097/01.hj.0000281795.15207.a4,2007,The Hearing Journal,MANUFACTURERS NEWS
10.4103/ijo.ijo_197_24,2024,Indian Journal of Ophthalmology,Quantum leap: Exploring uncharted territories in ophthalmology with a wink and a qubit
10.7245/0026-2005-41.1.38,2012,Michigan Academician,Intoning the Male and Female Voices in a Novel by Eva Figes
10.1525/jpms.2024.36.4.5,2024,Journal of Popular Music Studies,"Listening, Elsewhere and Otherwise"
10.1111/anhu.70036,2025,Anthropology & Humanism,“Queer Sonic Fingerprint”—Listening to speculative queer relations in ethnographic collections
10.1097/01.hj.0000403507.95712.4a,2011,The Hearing Journal,Environmental design enhances hearing rehabilitation
10.1097/01.hj.0000314725.18489.de,2008,The Hearing Journal,MANUFACTURERS NEWS
10.29038/eejpl.2017.4.2.got,2017,East European Journal of Psycholinguistics,A Neurocognitive Perspective on Language Acquisition in Ullman’s DP Model
10.5325/eugeoneirevi.33.1.0126,2012,The Eugene O Neill Review,Review
10.5406/21567417.67.2.03,2023,Ethnomusicology,"Seeger Lecture, Society for Ethnomusicology Virtual Meeting 2021"
10.1162/comj.a.687,2024,Computer Music Journal,Sound and Video Anthology: Program Notes
10.5406/15549399.57.4.05,2024,Dialogue A Journal of Mormon Thought,"Bringing the Yankee Home: A Gay Mormon, Three Decades on"
10.1097/01.hj.0000405462.70270.bb,2011,The Hearing Journal,Loud vs. intense: Three ways to delude the musician
10.1093/musqtl/gdaf002,2024,The Musical Quarterly,Evoking Joan of Arc’s Soundworld in Jacques Rivette’s <i>Jeanne la Pucelle</i> (1994): Authenticity versus Cinematic Musical Convention
10.5406/19452349.41.4.04,2023,American Music,"Community, Morality, and Diegetic Music in <i>Little House on the Prairie</i>"
10.1162/pajj_a_00698,2024,PAJ A Journal of Performance and Art,Reckoning with Wreckage: The Work of Nancy Tam
10.1093/screen/hjae018,2024,Screen,Visibility displaced: lesbian aurality and disruptive self-naming in <i>Sukkar banat/Caramel</i> and <i>Three Centimetres</i>
10.1002/imo2.70099,2026,iMetaOmics.,The mediating roles of gut microbiota in the associations of air pollution and meteorological factors with metabolic syndrome
10.5406/19405103.57.3.03,2025,American Literary Realism,"Twain's Olfactory Gags: Realist Atmospheres, Fermentation, and the Necrobiome"
10.1093/oq/kbad003,2021,The Opera Quarterly,Rehearsing Callas
10.3389/feart.2026.1868566,2026,Frontiers in Earth Science,A global dataset of fluid-based pre-seismic anomalies in crustal environments
10.1093/litimag/imad006,2023,Literary Imagination,Hopkins’s Clouded Judgment
10.1111/milt.12428,2022,Milton Quarterly,<i>Paradise Regained</i> and the Prospects of Enlightenment
10.1162/pajj_a_00708,2024,PAJ A Journal of Performance and Art,The Theatre of Your Mind &amp;#x2028;(For Real)
10.1063/1.2405596,2005,Physics Today,New books
