openalex_id,doi,title,year,journal,cited_by,relevance
W3133613183,10.3390/su13052714,Semantic Crowdsourcing of Soundscapes Heritage: A Mojo Model for Data-Driven Storytelling,2021,Sustainability,15,108.05
W4283032373,10.3390/f13060948,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Parks in China,2022,Forests,10,107.33
W4413006225,10.1038/s41598-025-08524-y,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas,2025,Scientific Reports,11,107.01
W3189444678,10.1007/s10211-021-00378-7,Limited effects of traffic noise on behavioural responses to conspecific mating calls in the eastern sedge frog Litoria fallax,2021,acta ethologica,14,106.12
W2115775052,10.1080/00140130410001712609,Directional guidance from audible pedestrian signals for street crossing,2004,Ergonomics,27,106.09
W2253442690,10.3161/15081109acc2015.17.2.010,Foraging Strategies Determine the Effect of Traffic Noise on Bats,2015,Acta Chiropterologica,23,105.76
W2899584469,10.1007/s11252-018-0814-2,Urban noise and grey-headed flying-fox vocalisations: evidence of the silentium effect,2018,Urban Ecosystems,13,105.33
W1997854265,10.2478/aoa-2013-0024,Urban Noise Annoyance Between 2001 and 2013 – Study in a Romanian City,2013,Archives of Acoustics,5,105.14
W4224729313,10.1016/j.anbehav.2022.03.021,Urban noise does not affect cognitive performance in wild Australian magpies,2022,Animal Behaviour,14,104.79
W4286434985,10.1016/j.envres.2022.113956,Urban environment and physical activity and capacity in patients with chronic obstructive pulmonary disease,2022,Environmental Research,19,104.39
W2087866089,10.1016/j.beproc.2014.10.002,Timing vocal behavior: Lack of temporal overlap avoidance to fluctuating noise levels in singing Eurasian wrens,2014,Behavioural Processes,24,104.32
W2109430820,10.1016/j.trd.2015.09.026,A methodology to control urban traffic noise under the constraint of environmental capacity: A case study of a double-decision optimization model,2015,Transportation Research Part D Transport and Environment,26,104.17
W4286687904,10.1016/j.envint.2022.107427,Associations of private residential gardens versus other greenspace types with cardiovascular and respiratory disease mortality: Observational evidence from UK Biobank,2022,Environment International,61,102.31
W3161854174,10.1016/j.apergo.2021.103436,"Psychological, psychophysiological and behavioural effects of participant-selected vs. researcher-selected music in simulated urban driving",2021,Applied Ergonomics,24,102.21
W4415122032,10.1016/j.apacoust.2025.111101,Effect of soundscapes and crowd density on economic behavior in commercial streets,2025,Applied Acoustics,1,101.86
W4318035826,10.1016/j.scitotenv.2023.161819,"Do objective and subjective traffic-related pollution, physical activity and nature exposure affect mental wellbeing? Evidence from Shenzhen, China",2023,The Science of The Total Environment,47,101.71
W2051901813,10.2466/pr0.1999.84.3c.1105,Urban Traffic Noise and Self-Reported Health,1999,Psychological Reports,10,99.89
W3016750020,10.1016/j.apacoust.2020.107362,Influence of traffic noise from local and surrounding areas on high-rise buildings,2020,Applied Acoustics,29,99.7
W2074947727,10.1080/03949370.2011.567299,Homogenisation of birdsong along a natural–urban gradient in Argentina,2011,Ethology Ecology & Evolution,14,99.5
W1981135697,10.1186/s40201-015-0187-x,Study of physio-psychological effects on traffic wardens due to traffic noise pollution; exposure-effect relation,2015,Journal of Environmental Health Science and Engineering,39,98.67
W3138368631,10.3390/en14061645,Investigations of the Dynamic Travel Time Information Impact on Drivers’ Route Choice in an Urban Area—A Case Study Based on the City of Bialystok,2021,Energies,8,98.43
W4391933585,10.1016/j.envpol.2024.123559,"Cities and mental health: The role of the built environment, and environmental and lifestyle factors in Barcelona",2024,Environmental Pollution,31,98.13
W4280638840,10.3390/ijerph19106116,Assessing the Soundscape Appropriateness in the Vicinity of a Heliport in an Urban Park of Quito (Ecuador) Using Immersive Audio-Visual Scenarios,2022,International Journal of Environmental Research and Public Health,3,96.83
W3031268371,10.1186/s40657-020-00197-7,Nightlife in the city: drivers of the occurrence and vocal activity of a tropical owl,2020,Avian Research,30,95.49
W2001873762,10.1007/bf01719571,Environmental and personal monitoring of exposure to urban noise and community response,1994,European Journal of Epidemiology,11,94.61
W1993905264,10.1016/j.anbehav.2011.07.018,On the relation between loudness and the increased song frequency of urban birds,2011,Animal Behaviour,83,93.76
W3085000259,10.1186/s40657-020-00218-5,Noisy environments: untangling the role of anthropogenic noise on bird species richness in a Neotropical city,2020,Avian Research,40,93.62
W4399594631,10.1111/2041-210x.14361,Time series methods for the analysis of soundscapes and other cyclical ecological data,2024,Methods in Ecology and Evolution,10,93.16
W4391735011,10.1121/10.0024763,Characterization of anthropogenic noise and oyster toadfish (<i>Opsanus tau</i>) calling behavior in urban and small-town coastal soundscapes,2024,The Journal of the Acoustical Society of America,4,92.68
W2324016305,10.1155/2016/4671302,The Effect of Rail Fastening System Modifications on Tram Traffic Noise and Vibration,2016,Shock and Vibration,25,92.45
W4408595986,10.1080/13467581.2025.2481238,Urban Blue-Green Spaces and tranquility: a comprehensive review of noise reduction and sensory perception integration,2025,Journal of Asian Architecture and Building Engineering,15,92.08
W4411313563,10.5814/j.issn.1674-764x.2025.03.023,Analysis of Soundscape Perception in Different Types of Parks Using Structural Equation Modeling (SEM),2025,Journal of Resources and Ecology,1,90.85
W4415215726,10.1016/j.ufug.2025.129131,Elucidating the influence of vegetation spatial characteristics on bio-anthrophonic soundscapes in urban parks using lidar data,2025,Urban forestry & urban greening,1,90.53
W3092235911,10.1177/1420326x20961802,Effects of socio-economic indicators on perceptions of urban acoustic environments in Chinese megacities,2020,Indoor and Built Environment,10,89.87
W2970495031,10.1093/conphys/coz061,"Effects of traffic noise exposure on corticosterone, glutathione and tonic immobility in chicks of a precocial bird",2019,Conservation Physiology,26,89.7
W4413889832,10.1177/13567667251361149,Do natural soundscapes touch your heart? The nexus between natural soundscape perception and tourists’ behavioural intention,2025,Journal Of Vacation Marketing,2,88.61
W2047142425,10.14214/sf.a14795,Tree stands in urban noise abatement.,1976,Silva Fennica,7,87.78
W3111892777,10.1007/s00265-020-02942-w,Chronic exposure to urban noise during the vocal learning period does not lead to increased song frequencies in zebra finches,2020,Behavioral Ecology and Sociobiology,14,87.67
W4313549640,10.1016/j.rsase.2022.100903,Soundscapes of the Yungas Andean forest: Identifying the acoustic footprint of an anuran assemblage,2023,Remote Sensing Applications Society and Environment,8,87.3
W2058319407,10.1121/1.413227,Fuzzy logic for urban traffic noise prediction,1995,The Journal of the Acoustical Society of America,7,87.27
W2304486113,10.1007/s11067-016-9321-2,User-specific and Dynamic Internalization of Road Traffic Noise Exposures,2016,Networks and Spatial Economics,17,86.83
W3201171635,10.3390/app11188363,Optimized Sensors Network and Dynamical Maps for Monitoring Traffic Noise in a Large Urban Zone,2021,Applied Sciences,11,86.82
W2993393790,,"TREE CANOPY COVER VARIATION EFFECTS ON URBAN HEAT ISLAND IN ENUGU CITY, NIGERIA",2012,Developing Country Studies,11,86.5
W2320947937,10.5505/megaron.2014.46338,An Applied Approach to the Examination of Urban Acoustic Comfort: The Soundscape Concept - Statistical Analysis,2014,MEGARON / Yıldız Technical University Faculty of Architecture E-Journal,1,86.33
W4390619137,10.1007/s10211-023-00434-4,Zebra finches increase social behavior in traffic noise: Implications for urban songbirds,2024,acta ethologica,3,86.14
W3167548296,10.1121/10.0005131,Perception of the acoustic environment during COVID-19 lockdown in Argentina,2021,The Journal of the Acoustical Society of America,21,85.48
W2090361371,10.1121/1.2215219,Spatial sampling for night levels estimation in urban environments,2006,The Journal of the Acoustical Society of America,39,85.47
W3169606233,10.3389/fevo.2021.570420,Urban Noise Restricts Song Frequency Bandwidth and Syllable Diversity in Bananaquits: Increasing Audibility at the Expense of Signal Quality,2021,Frontiers in Ecology and Evolution,17,85.28
W4303183171,10.1016/j.beproc.2022.104763,Does the sound environment influence the behaviour of zoo-housed birds? A preliminary investigation of ten species across two zoos,2022,Behavioural Processes,10,85.15
W2898273498,10.3934/cpaa.2019039,Long term behavior of a random Hopfield neural lattice model,2018,Communications on Pure &amp Applied Analysis,31,84.94
W2586681781,10.4236/nr.2017.82004,The Impact of Urban Noise on the Behavior of Two Mouse Species Belonging to the Genus &amp;lt;i&amp;gt;Apodemus&amp;lt;/i&amp;gt;,2017,Natural Resources,8,84.35
W4393155664,10.3389/fpsyg.2024.1362096,Development and validation of the perceived restorative soundscape scale for children,2024,Frontiers in Psychology,4,84.19
W7114892459,10.1007/s12273-025-1387-7,Assessing the spatial variation of soundscape perception in high-density urban mountain parks,2025,Building Simulation,1,83.3
W2515634653,10.1016/j.sleep.2016.08.007,Self-reported exposure to traffic pollution in relation to daytime sleepiness and habitual snoring: a questionnaire study in seven North-European cities,2016,Sleep Medicine,40,82.41
W4403899902,10.13047/kjee.2024.38.4.405,Analysis of Soundscape Characteristics of Urban Park Using Acoustic Indices&lt;sup&gt;1a&lt;/sup&gt;,2024,Korean Journal of Environment and Ecology,1,82.37
W4376226092,10.1016/j.envres.2023.116087,"Joint associations and pathways from greenspace, traffic-related air pollution, and noise to poor self-rated general health: A population-based study in Sofia, Bulgaria",2023,Environmental Research,35,80.95
W3170519198,10.1016/j.apacoust.2021.108201,Acoustic barrier simulation of construction and demolition waste: A sustainable approach to the control of environmental noise,2021,Applied Acoustics,24,80.62
W4308571237,10.1016/j.beproc.2022.104775,"Traffic noise affects foraging behavior and echolocation in the Lesser Bulldog Bat, Noctilio albiventris (Chiroptera: Noctilionidae)",2022,Behavioural Processes,7,80.46
W4379977913,10.1093/biolinnean/blad027,Differences in male calling song and female mate location behaviour between urban and rural crickets,2023,Biological Journal of the Linnean Society,13,80.35
W4414984201,10.1121/10.0039523,Shaping future soundscapes: Affective impact of unmanned aircraft systems noise in urban environments,2025,The Journal of the Acoustical Society of America,3,80.28
W2896572241,10.1007/s11252-018-0809-z,"An increase in song pitch of eastern great tits (Parus minor) in response to urban noise at Seoul, Korea",2018,Urban Ecosystems,14,80.1
W2422999386,10.1016/j.apacoust.2016.05.025,Noisy vehicle surveillance camera: A system to deter noisy vehicle in smart city,2016,Applied Acoustics,27,79.67
W2342761041,,"Situated Soundscapes: Redefining Media Art and the Urban Experience + Interview, Statement, Artwork",2013,Leonardo electronic almanac,4,79.66
W2744676784,10.1007/s13762-017-1462-4,Temporal and spatial evaluation of environmental noise in urban area: a case study in Iran,2017,International Journal of Environmental Science and Technology,9,79.23
W4412050230,10.1016/j.tra.2025.104586,Decoding the impact of audiovisual street environment features on cycling volumes: Insights from street view imagery and machine learning,2025,Transportation Research Part A Policy and Practice,8,78.91
W4214545274,10.3390/ijerph19052809,"Comparative Diagnosis of the Urban Noise Problem from Infrastructural and Social Sensing Approaches: A Case Study in Ningbo, China",2022,International Journal of Environmental Research and Public Health,13,78.89
W2075719835,10.1071/wr12060,"Effect of traffic noise on black-faced spoonbills in the Taipa–Coloane Wetland Reserve, Macao",2012,Wildlife Research,20,78.86
W4404593790,10.3390/land13121978,Exploring the Application of Neurostructural Principles to the Design of Public Spaces on University Campuses,2024,Land,2,78.56
W4391714359,10.1002/ajp.23606,Pied tamarins change their vocal behavior in response to noise levels in the largest city in the Amazon,2024,American Journal of Primatology,7,78.24
W4393025207,10.3389/fevo.2024.1345971,Urban noise slows down the antipredator reaction of Eurasian Magpies,2024,Frontiers in Ecology and Evolution,7,77.86
W1977174658,10.1016/s0272-4944(02)00102-0,Satisfying shoppers’ psychological needs: From public market to cyber-mall,2003,Journal of Environmental Psychology,145,77.86
W2946452293,10.3813/aaa.919327,An Exploratory Study on the Influence of Activities on Public Space Users' Descriptions of Their Auditory Environments on Site: The Case of Amsterdam,2019,Acta acustica united with Acustica,5,77.78
W2997991428,10.1080/13416979.2019.1707341,Interactions between forest landscape elements and eye movement behavior under audio-visual integrated conditions,2019,Journal of Forest Research,37,77.71
W2799372397,10.1080/20551940.2018.1451221,"Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social interactions in Udlajan, Tehran",2017,Sound Studies,1,77.5
W3000230865,10.1016/j.apacoust.2019.107201,Effect of children on the sound environment in fast-food restaurants,2020,Applied Acoustics,11,77.43
W2530992206,10.1016/j.apacoust.2016.10.003,Study of the effectiveness of electric vehicle warning sounds depending on the urban environment,2016,Applied Acoustics,37,75.65
W2479266663,10.1371/journal.pone.0159883,Uncovering Spatial Variation in Acoustic Environments Using Sound Mapping,2016,PLoS ONE,12,75.65
W2058473092,10.3397/1.2832081,The Behavior of Noise Exposure Variables in an Urban Noise Survey Sample,1978,Noise Control Engineering,2,74.82
W3117221621,10.1515/noise-2020-0025,Tranquillity mapping in New Zealand national parks – a pilot study,2020,Noise Mapping,9,74.26
W3096163062,10.1515/noise-2020-0020,"Daytime perimeter environmental noise in the vicinity of four hospitals in the city of Lima, Peru",2020,Noise Mapping,4,72.91
W4386896942,10.1080/03949370.2023.2248591,Do pied tamarins increase scent-marking in response to urban noise?,2023,Ethology Ecology & Evolution,6,72.53
W3118958845,10.1080/07420528.2020.1862858,"Effects of prolonged night-time light exposure and traffic noise on the behavior and body temperature rhythmicity of the wild desert rodent, <i>Gerbillus tarabuli</i>",2021,Chronobiology International,9,71.76
W2242277079,10.1159/000437346,"Active Listening in a Bat Cocktail Party: Adaptive Echolocation and Flight Behaviors of Big Brown Bats, &lt;b&gt;&lt;i&gt;Eptesicus fuscus&lt;/i&gt;&lt;/b&gt;, Foraging in a Cluttered Acoustic Environment",2015,Brain Behavior and Evolution,19,71.66
W2047956394,10.4028/www.scientific.net/amr.518-523.3830,The Influence of Users' Behavioral Characteristics on Soundscape in the Waiting Halls of Railway Stations,2012,Advanced materials research,1,71.49
W2030719979,10.1177/1440783313507493,"Shhh! Noisy cities, anti-noise groups and neoliberal citizenship",2013,Journal of Sociology,14,71.17
W4405717101,10.24294/jipd8163,Soundscapes and sonicscapes in tourism: A decade of research insights from bibliometric analysis,2024,Journal of Infrastructure Policy and Development,5,71.07
W4400580820,10.3390/f15071210,Quantitative Analysis of Physiological and Psychological Impacts of Visual and Auditory Elements in Wuyishan National Park Using Eye-Tracking,2024,Forests,4,70.89
W2183334746,,Effect of Road Traffic Noise Pollution in Cuddalore Town: A Case Study,2013,International Journal of Innovative Research in Science Engineering and Technology,14,70.28
W1876522080,10.1016/j.envint.2015.07.001,Using city-wide mobile noise assessments to estimate bicycle trip annual exposure to Black Carbon,2015,Environment International,23,69.23
W2386986605,,Investigation of Environmental Noise Perception of Residents in Lu'an City,2007,Journal of environmental health,2,68.93
W4402259993,10.1109/access.2024.3454815,Convolutional Neural Networks for Enhancing Detection of Dolphin Whistles in a Dense Acoustic Environment,2024,IEEE Access,15,67.7
W4386849439,10.47577/technium.v13i.9572,A study of heterogeneous traffic noise trigger parameters for urban areas,2023,Technium Romanian Journal of Applied Sciences and Technology,4,67.3
W2810860904,10.1155/2018/2158391,Linear and Complex Measures of Heart Rate Variability during Exposure to Traffic Noise in Healthy Women,2018,Complexity,13,67.12
W1854543586,10.7146/se.v3i3.18442,"Conceptual overlays for urban soundscape design emerging from a transversal analysis of Lefebvre, Deleuze and Guattari, and Arendt",2013,SoundEffects - An Interdisciplinary Journal of Sound and Sound Experience,3,66.96
W4390909413,10.3390/ani14020279,"The Dog Soundscape: Recurrence, Emotional Impact, Acoustics, and Implications for Dog Observations and Dog–Human Interactions",2024,Animals,5,65.71
W3093039235,10.18666/jpra-2020-10464,Toward Crowd-sourced Soundscape Monitoring in Protected Areas: Integrating Sound Dominance and Triggers to Facilitate Proactive Management,2020,Journal of Park and Recreation Administration,5,65.7
W2997107039,10.1093/beheco/arz200,Vocal characteristics of prairie dog alarm calls across an urban noise gradient,2019,Behavioral Ecology,6,65.56
W3138824581,10.47176/ijae.9.3.12371,"Evaluation of Biophonies in Isfahan Parks, Using Acoustic Indices",2020,Iranian Journal of Applied Ecology,1,65.07
W3193475235,10.1007/s11252-021-01142-2,"More than noise: light, moon phase, and singing behavior in a passerine",2021,Urban Ecosystems,16,64.54
W3014317470,10.1080/17452007.2020.1742084,Prediction of noise levels in large shopping streets covered by glass and ETFE,2020,Architectural Engineering and Design Management,8,63.92
W2056640239,10.1016/0022-460x(78)90482-0,Effects of aircraft noise on mental health,1978,Journal of Sound and Vibration,4,63.9
W4320038692,10.1007/s00265-023-03292-z,Does learning matter? Birdsong-learning program determines coping strategies for living in urban noisy environments,2023,Behavioral Ecology and Sociobiology,5,63.33
W4414672453,10.3390/land14101970,Linking Acoustic Indices to Vegetation and Microclimate in a Historical Urban Garden: Setting the Stage for a Restorative Soundscape,2025,Land,2,63.23
W4415762373,10.1002/wlb3.01515,Effects of complex soundscapes on the occurrence of <i>Anaxipha pallidula</i> in isolated green spaces in Tokyo,2025,Wildlife Biology,1,63.21
W3080952353,10.1108/f-11-2018-0133,Comparing user satisfaction of older and newer on-campus accommodation buildings in Australia,2020,Facilities,27,62.55
W1546896274,,Environmental Noise Assessment in Indore City,2015,Industrial engineering letters,1,62.35
W3118792994,10.1007/s11252-020-01079-y,Behavioral responses of rural and urban greater white-toothed shrews (Crocidura russula) to sound disturbance,2021,Urban Ecosystems,8,61.42
W4414867854,10.1016/j.apacoust.2025.111114,A methodological framework for urban noise exposure assessment exploiting citizen itineraries and environmental noise maps,2025,Applied Acoustics,1,60.64
W4391575324,10.1080/01426397.2024.2307003,"A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake scenic spot, China",2024,Landscape Research,3,60.19
W4283579321,10.1080/23748834.2022.2084806,"Road traffic noise, quality of life, and mental distress among older adults: evidence from Ireland",2022,Cities & Health,11,59.68
W3211661147,10.3389/fsoc.2021.729453,Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Middle-Income-Country Secondary Cities and Their Implications for Long-Term Livability,2021,Frontiers in Sociology,14,59.67
W4212835209,10.1016/j.apm.2022.02.018,There exists the “smartest” movement rate to control the epidemic rather than “city lockdown”,2022,Applied Mathematical Modelling,13,59.53
W4388555072,10.5406/21567417.67.3.11,Soundscapes of Uyghur Islam,2023,Ethnomusicology,1,59.43
W4391898282,10.1007/s10344-024-01772-9,Human presence is positively related to the number of bird calls and songs: Assessment in a national park,2024,European Journal of Wildlife Research,7,58.18
W3035362441,10.14324/111.444/ucloe.000009,How did the ‘state of emergency’ declaration in Japan due to the COVID-19 pandemic affect the acoustic environment in a rather quiet residential area?,2020,UCL Open Environment,15,57.24
W4401097321,10.1242/bio.060535,Experimental playback of urban noise does not affect cognitive performance in captive Australian magpies,2024,Biology Open,4,56.55
W3102849133,10.7717/peerj.10417,Response of Bolivian gray titi monkeys ( <i>Plecturocebus donacophilus</i> ) to an anthropogenic noise gradient: behavioral and hormonal correlates,2020,PeerJ,14,55.85
W2888673518,,External Stimuli and Impulsive Buying Behavior,2018,Market Forces,7,55.5
W4322773462,10.1002/jwmg.22387,Disturbance of wintering waterbirds by simulated road traffic noise in Arkansas wetlands,2023,Journal of Wildlife Management,5,55.46
W2901509800,10.21608/auej.2017.19265,SOUNDSCAPE EXPERIENCE AND ITS IMPACT ON THE IMAGE OF ALEXANDRIA,2017,Journal of Al-Azhar University Engineering Sector,1,55.26
W4388128395,10.28932/srjd.v7i2.6470,The effect of soundscape on sense of place in the public library of Disarpus Bandung,2023,Serat Rupa Journal of Design,1,54.78
W4415312361,10.1016/j.jenvman.2025.127638,Effects of nocturnal light environments on urban bird diversity: birds adapted to and inhabiting cities,2025,Journal of Environmental Management,3,53.87
W4281755537,10.3390/app12125917,Analysis of the Effects and Causes of Driver Horn Use on the Acoustic Environment at Urban Intersections in Taiwan,2022,Applied Sciences,4,53.81
W1487119146,10.1525/om.2012.74.1.6,Chapter 2: Effects of noise pollution on birds: A brief review of our knowledge,2012,Ornithological Monographs,172,52.6
W2143487952,10.1139/z07-101,The impacts of anthropogenic ocean noise on cetaceans and implications for management,2007,Canadian Journal of Zoology,410,52.49
W4210704576,10.1016/j.jort.2021.100476,Spatiotemporal analysis to understand overflight travel patterns at HawaiI Volcanoes National Park,2022,Journal of Outdoor Recreation and Tourism,6,52.42
W2486241780,,Noise Pollution and Its Impact on Human Health and Social Behavior using Systems Approach-A Case Study in Kurnool City,2016,Civil and environmental research,3,51.65
W4214743777,10.1142/s0219525921500119,PEDESTRIAN DYNAMICS IN SINGLE-FILE MOVEMENT UNDER BACKGROUND MUSIC WITH DIFFERENT TEMPOS,2021,Advances in Complex Systems,6,51.61
W4412075567,10.1523/eneuro.0154-25.2025,EEG Signatures of Auditory Distraction: Neural Responses to Spectral Novelty in Real-World Soundscapes,2025,eNeuro,2,51.5
W2076071482,10.3397/1.3682961,Relating the near field noise of passenger cars with the driving behavior,2012,Noise Control Engineering Journal,7,51.45
W2947482053,10.1080/09524622.2019.1621209,Anthropogenic noise masking diminishes house wren <i>(Troglodytes aedon)</i> song transmission in urban natural areas,2019,Bioacoustics,30,51.17
W2049847408,10.3390/met5020591,Damage Behavior of Sintered Fiber Felts,2015,Metals,6,50.7
W4221062349,10.1080/09593969.2022.2048411,Music and consumer behavior in chain stores: theoretical explanation and empirical evidence,2022,The International Review of Retail Distribution and Consumer Research,9,50.41
W4411794135,10.46248/kidrs.2025.2.49,"Sound, Symbol, and Space: An Ethnosemiotic Analysis of Vernacular Soundscapes in Honghai Morning Market",2025,Korea Institute of Design Research Society,1,50.37
W3181738495,10.1007/s10344-021-01509-y,Influence of growing up in the city or near an airport on the physiological stress of tree sparrow nestlings (Passer montanus),2021,European Journal of Wildlife Research,8,49.15
W4390011067,10.1186/s12862-023-02190-2,Consistent traffic noise impacts few fitness-related traits in a field cricket,2023,BMC Ecology and Evolution,6,48.82
W2585849358,,"Prospects and sustainability of ecotourism in Finima Nature Park, Bonny Island, Rivers State, Nigeria",2016,"Journal of Research in Forestry, Wildlife and Environment",4,48.3
W760873265,,"Interaction Between Seasons and Auditory Elements, Features and Impressions of Soundscape in Influencing Auditory Preferences",2007,The Journal of the Acoustical Society of Korea,1,47.87
W2087700746,10.1016/j.tust.2005.03.003,Structural health monitoring of underground facilities – Technological issues and challenges,2005,Tunnelling and Underground Space Technology,168,47.64
W4416571494,10.1080/03949370.2025.2564807,Evaluating the impacts of a total solar eclipse on Midwest prairie soundscape,2025,Ethology Ecology & Evolution,1,47.29
W4415209879,10.3390/acoustics7040064,"The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experience in Béjaïa, Algeria",2025,Acoustics,1,46.83
W3006657198,10.1080/14888386.2020.1715834,Soundscape shifts during the 2017 total solar eclipse: an application of dispersed automated recording units to study ephemeral acoustic events,2020,Biodiversity,3,46.83
W2129282661,10.1093/beheco/arq210,Serins respond to anthropogenic noise by increasing vocal activity,2011,Behavioral Ecology,104,46.08
W2507273612,10.7717/peerj.2287,Experimental exposure to urban and pink noise affects brain development and song learning in zebra finches ( <i>Taenopygia guttata</i> ),2016,PeerJ,36,45.67
W2529302863,10.1080/23249935.2016.1245800,Excessive noise paradoxes in urban transportation networks,2016,Transportmetrica A Transport Science,17,45.45
W4384132760,10.1093/geroni/igad066,Engaging Nigerian Older Persons in Neighborhood Environment Assessment for Physical Activity Participation: A Citizen Science Project,2023,Innovation in Aging,9,45.41
W4413940742,10.9734/ijecc/2025/v15i95007,A Review on Urban Green Space Ecological and Socioeconomic Benefits: A Comprehensive Analysis,2025,International Journal of Environment and Climate Change,1,45.4
W2035116965,10.1088/1742-2140/4/3/e01,Sustainable urban development and geophysics,2007,Journal of Geophysics and Engineering,13,44.7
W2884208284,10.18666/jpra-2019-9149,Taking the Plunge: Enhancing the Visitor Experience in Waterfall-Based State Parks,2019,Journal of Park and Recreation Administration,3,44.49
W4399535943,10.1177/14780771241260852,A rule-based framework for capturing geometric characteristics in design: A study of façade analysis for acoustic behaviour in urban space,2024,International Journal of Architectural Computing,3,44.04
W4410081052,10.1016/j.jenvman.2025.125475,"Pixels, chisels and contours - technical variations in European road traffic noise exposure maps",2025,Journal of Environmental Management,5,43.78
W2789479132,10.2989/00306525.2017.1420704,"Habitat utilisation and nesting behaviour of two sympatric weavers in Mbalmayo District, Cameroon",2018,Ostrich,5,43.62
W4416346896,10.1108/jima-06-2025-0357,Faith-aligned experience in urban parks: linking satisfaction to loyalty and responsibility among Muslim visitors,2025,Journal of Islamic marketing,1,43.46
W1999554650,10.3397/1/3761027,Acoustic behavior of high acoustic performance window glazing,2013,Noise Control Engineering Journal,3,42.63
W4385557942,10.47125/jesam/2023_1/02,"Study on the Spatio-temporal Characteristics of Soundscape in Famous Historical and Cultural Towns: a Case Study of Labrang Town, Xiahe County, China",2023,Journal of Environmental Science and Management,1,41.3
W4380787520,10.1017/eds.2022.36,Rapid assessment of vessel noise events and quiet periods in Glacier Bay National Park and Preserve using a convolutional neural net,2023,Environmental Data Science,4,41.26
W2955609567,10.1093/condor/duz002,Urban background noise affects breeding song frequency and syllable-type composition in the Northern Mockingbird,2019,Ornithological Applications,24,40.66
W4416958336,10.3390/ijgi14120471,Street View Image-Based Emotional Perception Modeling of Old Residential Communities: An Explainable Framework Integrating Random Forest and SHAP,2025,ISPRS International Journal of Geo-Information,4,40.54
W4408507810,10.1016/j.scitotenv.2025.179101,"Urban stressors: Interactive effects of noise, light regime and fluoxetine on zebrafish behavior",2025,The Science of The Total Environment,2,40.32
W4308393527,10.24294/nrcr.v5i2.1578,"Natural resource management in American national parks: Principles, problems and enlightenment",2022,Natural Resources Conservation and Research,2,40.23
W2982707037,10.1093/beheco/arz179,Are signals of aggressive intent less honest in urban habitats?,2019,Behavioral Ecology,13,40.08
W3092460061,10.1093/eurpub/ckaa166.096,Urban health and Physical Activity: how urban design can improve cycling,2020,European Journal of Public Health,1,40.06
W4410345191,10.3390/fi17050217,A Web-Based Application for Smart City Data Analysis and Visualization,2025,Future Internet,3,39.7
W4294253312,10.3390/s22176585,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus,2022,Sensors,9,39.48
W2154769932,10.1121/1.4927033,Presence of 1/<i>f</i> noise in the temporal structure of psychoacoustic parameters of natural and urban sounds,2015,The Journal of the Acoustical Society of America,19,38.64
W2621324306,10.1002/ece3.3037,White‐crowned sparrow males show immediate flexibility in song amplitude but not in song minimum frequency in response to changes in noise levels in the field,2017,Ecology and Evolution,48,37.94
W3120462334,10.21068/c2021.v22n01a06,Biophony in a noisy tropical urban forest fragment,2021,Biota Colombiana,5,37.81
W3042066713,10.15829/1560-4071-2020-3739,Chaotic global analysis of heart rate variability following power spectral adjustments during exposure to traffic noise in healthy adult women,2020,Russian Journal of Cardiology,4,37.45
W4385318510,10.1016/j.anbehav.2023.05.016,Communication distance predicts territory size: implications for an urban songbird,2023,Animal Behaviour,5,37.44
W4391980722,10.1016/j.envpol.2024.123612,Urban environment during pregnancy and childhood and white matter microstructure in preadolescence in two European birth cohorts,2024,Environmental Pollution,13,37.36
W2061405285,10.1250/ast.1.87,A new trial to estimate the noise propagation characteristics of a traffic noise system.,1980,Journal of the Acoustical Society of Japan (E),2,37.25
W4225912431,10.1525/jams.2022.75.1.200,"<i>Moravian Soundscapes: A Sonic History of the Moravian Missions in Early Pennsylvania</i>, by Sarah Justina Eyerly",2022,Journal of the American Musicological Society,1,37.22
W4395025920,10.1016/j.apacoust.2024.110036,"A long-term global and clustering analysis of the COVID-19 pandemic effects on the sound environment of Milan, Italy: Road traffic and other noise sources",2024,Applied Acoustics,5,36.91
W2589717632,10.2298/spat1636015c,"Participatory urban transformations in Savamala, Belgrade - capacities and limitations",2016,Spatium,12,36.79
W4410144167,10.3724/j.fjyl.202409200552,Nonlinear Relationship Between the Elderly&amp;rsquo;s Perception of Green Spaces and Their Activity Characteristics,2025,Landscape Architecture,2,36.51
W268556880,10.1111/j.1467-8578.1992.tb00429.x,Does the Acoustic Environment Make a Difference to Children with Multi‐sensory Impairments?,1992,British Journal of Special Education,2,36.18
W2149117253,10.1177/0163443710385498,Whispering: the murmur of power in a lo-fi world,2011,Media Culture & Society,45,36.16
W2972842121,10.1016/j.copsyc.2019.08.026,"Studying the impact of built environments on human mental health in everyday life: methodological developments, state-of-the-art and technological frontiers",2019,Current Opinion in Psychology,61,35.69
