pmid,doi,title,year,journal
18818538,10.1097/01.anc.0000337268.85717.7c,A descriptive study of noise in the neonatal intensive care unit: ambient levels and perceptions of contributing factors.,2008,Advances in neonatal care : official journal of the National Association of Neonatal Nurses
18633190,10.1291/hypres.31.775,Nighttime road-traffic noise and arterial hypertension in an urban population.,2008,Hypertension research : official journal of the Japanese Society of Hypertension
18535422,10.1097/01.anc.0000324341.24841.6e,A descriptive study of noise in the neonatal intensive care unit. Ambient levels and perceptions of contributing factors.,2008,Advances in neonatal care : official journal of the National Association of Neonatal Nurses
18513430,10.1186/1479-5868-5-32,Perceived characteristics of the environment associated with active travel: development and testing of a new scale.,2008,The international journal of behavioral nutrition and physical activity
18247882,10.1121/1.2821955,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces.",2008,The Journal of the Acoustical Society of America
17784917,10.1111/j.1365-294x.2007.03487.x,Birdsong and anthropogenic noise: implications and applications for conservation.,2008,Molecular ecology
17141614,10.1016/j.cub.2006.10.008,Cities change the songs of birds.,2006,Current biology : CB
16938967,10.1121/1.2215219,Spatial sampling for night levels estimation in urban environments.,2006,The Journal of the Acoustical Society of America
15370850,10.1080/00140130410001712609,Directional guidance from audible pedestrian signals for street crossing.,2004,Ergonomics
15055094,,Attitudes and expectations about music therapy for premature infants among staff in a neonatal intensive care unit.,2004,Alternative therapies in health and medicine
11469919,10.1093/jmt/38.2.114,The use of music on Barney & Friends: implications for music therapy practice and research.,2001,Journal of music therapy
10939085,10.1515/reveh.2000.15.1-2.43,Noise and health in the urban environment.,2000,Reviews on environmental health
10477929,10.2466/pr0.1999.84.3c.1105,Urban traffic noise and self-reported health.,1999,Psychological reports
7859853,10.1007/bf01719571,Environmental and personal monitoring of exposure to urban noise and community response.,1994,European journal of epidemiology
8350341,10.1007/bf00844759,"An analysis of relationships among environmental noise, annoyance and sensitivity to noise, and the consequences for health and sleep.",1993,Journal of behavioral medicine
1069463,10.3109/00016487609124919,Behaviour of CNV during exposure to urban traffic noise.,1976,Acta oto-laryngologica. Supplementum
