batch,id,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 16 (China Beijing, Xi Dan Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.06/0.35 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",304 interviewees at site 16 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 17 (China Shanghai, Century Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.05/0.66 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",62 interviewees at site 17 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 18 (China Shanghai, Nanjing Road Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.05/0.66 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",79 interviewees at site 18 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 19 (China Shanghai, Xu Jia Hui Park): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.00/0.98 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",79 interviewees at site 19 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
nft_16,80,other,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Not-watching minus watching interviewees, per site (independent samples t test)",other,Mean difference/Significance: 1 0.07/0.38; 2 0.08/0.23; 3 0.13/0.05*; 4 0.30/0.00**; 5 -0.31/0.00**; 6 0.12/0.17; 7 -0.18/0.03*; 8 0.05/0.51; 9 0.01/0.85; 10 0.00/0.95; 11 0.20/0.03*; 12 0.48/0.00**; 13 0.21/0.18; 14 -0.49/0.01**; 15 -0.08/0.42; 16 0.54/0.07; 17 0.23/0.24; 18 0.14/0.28; 19 -0.09/0.65,Site totals 62-1041 interviewees (Table I); group sizes (watching vs not) and SDs not reported,Table IX (Watching column); Section V,watching behavior is more related to the sound level evaluation,NO
nft_16,80,other,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Not-moving (sitting, standing) minus moving (walking, playing with children, sport) interviewees, per site (independent samples t test)",other,Mean difference/Significance: 1 0.11/0.23; 2 0.19/0.01**; 3 -0.09/0.34; 4 -0.08/0.37; 5 -0.04/0.53; 6 0.10/0.09; 7 0.16/0.11; 8 0.26/0.01**; 9 0.06/0.30; 10 -0.02/0.79; 11 -0.33/0.13; 12 -0.21/0.06; 13 0.07/0.32; 14 -0.01/0.95; 15 0.07/0.57; 16 0.18/0.44; 17 0.12/0.54; 18 -0.05/0.85; 19 0.25/0.51,Site totals 62-1041 interviewees (Table I); group sizes (moving vs not) and SDs not reported,Table IX (Moving column); Section V,the mean differences are around 0.2,NO
nft_16,80,other,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Not-wearing minus wearing earphones (sites with >10 earphone wearers plus pooled EU, China, overall; independent samples t test)",other,Mean difference/Significance: 1 0.02/0.95; 6 0.26/0.27; 9 -0.07/0.79; 10 0.38/0.06; EU -0.05/0.67; China 0.34/0.16; Overall -0.00/0.99 (column assignment inferred from table layout and text),Only sites with over ten earphone wearers included; group sizes and SDs not reported,Table VII (Earphone column); Section V,there is no significant difference in any case,NO
nft_16,80,other,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Not-reading/writing minus reading/writing interviewees, per site (independent samples t test)",other,Mean difference/Significance: 1 -0.05/0.68; 2 -0.02/0.90; 3 0.25/0.06; 4 0.12/0.48; 5 0.23/0.08; 6 0.26/0.03*; 7 -0.16/0.19; 8 0.30/0.07; 9 -0.21/0.15; 10 0.07/0.65; 11 0.15/0.12; 12 0.22/0.10; 13 -0.20/0.18; 14 0.46/0.01**; 15 0.15/0.18; 16 -0.35/0.08; 17 -0.33/0.35; 18 0.16/0.78; 19 0.20/0.41 (column assignment inferred from table layout and text),Site totals 62-1041 interviewees (Table I); group sizes and SDs not reported,Table VII (Reading/Writing column); Section V,"people who were reading/writing have a lower evaluation score, by 0.46",NO
nft_17,709,walking_speed,"Visitor walking speed (m/s) timed between visual markers on 9 trail walkways (23.6-59.1 m), pooled across walkways",Sign-absent weeks (daily L50 40.8 dB(A)) vs sign-present weeks (quiet-behaviour soundscape mitigation signage; daily L50 39.6 dB(A)),M_SD_n,"sign absent treatment block 1.03 ± 0.02 m/s; sign present treatment block 1.01 ± 0.02 m/s; Kruskal–Wallis χ2 = 3.2, df = 1, p = 0.08 [메모: 보행속도의 ± 종류는 명시되지 않음 — 같은 결과 절(§3.1)의 음압은 mean ± SE로 표기됐고 n≈960에서 0.02는 SE로 보이므로 SD 환산 필요]",958 walking speeds recorded in sign-absent blocks vs 974 in sign-present blocks (timed individual visitors; repeat visitors not identified); one extreme outlier removed (condition NR); mean group size 2.60 ± 0.04 vs 2.61 ± 0.04,§2.3 [page 7]; §3.3 [page 8],"Visitor walking speed did not vary (Kruskal–Wallis χ2 = 3.2, df = 1, p = 0.08)",YES
nft_17,709,other,Daily-averaged background sound level L50 dB(A) across 13 acoustic recording units (05:00-21:00) [reverse: behaviour intervention -> acoustic environment],Sign absent vs sign present (signage prompting quiet visitor behaviour) weekly treatment blocks,other,"Sound levels (L50) averaged 40.8 ± 0.13 dB(A) (mean ± SE) with signs absent, whereas sound levels with signs present averaged 39.6 ± 0.12 dB(A), a 1.19 dB(A) reduction; Wilcoxon rank-sum test, n = 792, W = 85,337, p = 0.016",792 site-day observations pooled across 13 ARUs (per-condition split NR); week 1 and 9 April 2016 excluded,§2.1 [page 4]; §3.1 [page 7],Daily-averaged L50 sound levels across our sites were significantly higher when signs were absent,NO
nft_17,709,other,Hourly background sound level L50 dB(A) at the ARU nearest each of 5 representative trail counters [reverse: visitor numbers and quiet-behaviour signage -> acoustic environment],"GAM: log10 visitor count (calibrated trail counters) and treatment (signs present vs absent), with smoothing spline for hour of day",regression,"n = 3,650, log10Visitor Count: β = 2.39, F = 880.7, df = 1, p < 0.001; s(Hour, df = 4): β = −0.14, F = 103.8, df = 1, p < 0.001; Treatment: β = −0.49, F = 19.1, df = 1, p < 0.001; equivalent reduction in visitation of 20.6%; At 250 visitors 38.9 dB(A) (signs absent) vs 36.5 dB(A) (signs present); at 500 visitors 44.0 vs 38.4 dB(A)","3,650 hourly observations from 5 counter-ARU pairs (not independent participants; hourly data within sites)",§2.1 [page 4-5]; §3.1 [page 8]; Figure 2a [page 7],mitigation signage resulted in an equivalent reduction in visitation of 20.6% through the lowering of background sound level,YES
nft_17,709,other,Self-reported ability to hear natural sounds during the visit (5-level ordinal: almost always clearly ... almost always with interference from human-made sound) [reverse: behaviour intervention -> soundscape perception],Survey respondents in sign-absent vs sign-present treatment blocks (proportional odds logistic regression),other,"Table 2 counts, signs absent / signs present: Almost always clearly without interference 43 (21.6%) / 56 (22.0%); Usually clearly without interference 68 (34.2%) / 95 (37.4%); Sometimes clearly without interference 56 (28.1%) / 70 (27.6%); Usually with interference 22 (11.1%) / 28 (11.0%); Almost always with interference 10 (5.0%) / 5 (2.0%); Total 199 / 254; β = −0.08 ± 0.16, p > 0.05, 95% CI: −0.3 to 0.22",199 (sign absent) vs 254 (sign present) respondents in Table 2; methods state n = 535 for this model,§2.3 [page 6-7]; §3.3 [page 8]; Table 2 [page 8],Visitor-reported ability to hear natural sounds did not differ between sign absent (n = 199) and sign present (n = 254) treatment groups,NO
