no,sources,doi,year,journal,title,abstract
368,scopus+wos,10.1177/1440783313507493,2016,JOURNAL OF SOCIOLOGY,"Shhh! Noisy cities, anti-noise groups and neoliberal citizenship","As the world becomes increasingly urban, with denser cities, residents become subject to greater amounts of noise. Since the late 19th century, people have formed groups to oppose urban noise generated by industrialization, motor vehicles and jet-planes. This article gives the first detailed account of online noise-abatement groups through a case study of Quiet Australia. It maps the key aims of this group, which are to mobilize community support, raise awareness of noise-related problems, gather and exchange expert information, and promote political participation to reduce noise. I argue that there exists a moral geography of noise in which excessive noise-making is seen by Quiet Australia members as morally inappropriate and uncivilized behaviour, which leads to social disintegration. I theorize that such noise-abatement groups seek what I have termed a ‘residential ethics’ or consideration of others through either state-led or neoliberal self-governance to restore social order and uphold social ‘decency’. © 2013, © The Author(s) 2013."
369,wos,10.1093/beheco/arw105,2016,BEHAVIORAL ECOLOGY,"Song adjustments by an open habitat bird to anthropogenic noise, urban structure, and vegetation","Urban environments challenge animals with 2 novel impediments to communication: low-frequency anthropogenic noise, which masks vocalizations, and large sound-reflecting structures, which contribute to reverberation. We studied spectral and temporal traits of trill songs of chipping sparrows (Spizella passerina), a species historically found in open grassland habitat, to understand how noise, urban structure, and vegetation affected song traits. On the basis of the song features, males clustered into 2 groups. Males with songs that had lower minimum frequencies and broader bandwidths increased minimum frequency and decreased bandwidths with increasing noise, urban structure, and vegetation. Males with songs that had higher minimum frequencies and narrower bandwidths decreased minimum frequency and increased bandwidth with increasing vegetation but made no adjustments to noise or urban structure. To maintain high vocal performance of trill songs, males should increase trill rates to compensate for decreases in bandwidth, but they did not change this trait. As a result, vocal performance declined across all males with increasing noise and urban structure. Finally, peak frequency decreased with increasing urban structure, suggesting males put more energy into lower frequencies of their songs, possibly to improve sound transmission in human-built environments. Overall, both noise and structure influenced spectral features of songs with limited effects of song timing. Sound reflections from urban structures may have a strong, and underappreciated, influence on animal communication, which may compound the challenges of singing in noise."
370,scopus+wos,10.1007/s12304-016-9266-3,2016,BIOSEMIOTICS,The Application of the Acoustic Complexity Indices (ACI) to Ecoacoustic Event Detection and Identification (EEDI) Modeling,"In programs of acoustic survey, the amount of data collected and the lack of automatic routines for their classification and interpretation can represent a serious obstacle to achieving quick results. To overcome these obstacles, we are proposing an ecosemiotic model of data mining, ecoacoustic event detection and identification (EEDI), that uses a combination of the acoustic complexity indices (ACItf, ACIft, and ACIfte) and automatically extracts the ecoacoustic events of interest from the sound files. These events may be indicators of environmental functioning at the scale of individual vocal species (e.g., behavior, phenology, and dynamics), the acoustic community (e.g., dawn and dusk chorus), the sound marks (e.g., the flag species of a community), or the soundscape (e.g., sonotope types). The EEDI model is represented by three procedural steps: 1) selecting acoustic data according to environmental variables, 2) detecting the events by creating an ecoacoustic event space (EES) produced by plotting ACIft and its evenness (ACIfte), 3) identifying events according to the level of correlation between the acoustic signature (ACItf) of the detected events and an ad hoc library of previously identified events. The EEDI procedure can be extensively used in basic and applied research. In particular, EEDI may be used in long-term monitoring programs to assess the effect of climate change on individual vocal species behavior (fishes, frogs, birds, mammals, and arthropods), population, and acoustic community dynamics. The EEDI model can be also used to investigate acoustic human intrusion in natural systems and the effect in urban areas. © 2016, Springer Science+Business Media Dordrecht."
371,scopus+wos,10.1155/2016/4671302,2016,SHOCK AND VIBRATION,The Effect of Rail Fastening System Modifications on Tram Traffic Noise and Vibration,"Tram system is a backbone of public transportation in the City of Zagreb. In the last decade, its fleet has been renewed by 142 new low-floor trams. Shortly after their introduction, it was observed that they have a negative impact on the exploitation behavior of tram infrastructure, primarily on the durability of rail fastening systems. Because of that, it was decided to modify existing rail fastening systems to the new track exploitation conditions. When the (re)construction of tram infrastructure is carried out by applying new systems and technologies, it is necessary to take into account their impact on the future propagation of noise and vibration in the environment. This paper gives a short overview of the characteristics of the two newly developed rail fastening systems for Zagreb tram tracks, their application in construction of experimental track section, and performance and comparison of noise and vibration measurements results. Measured data on track vibrations and noise occurring during passage of the tram vehicles is analyzed in terms of track decay rates and equivalent noise levels of passing referent vehicle. Vibroacoustic performance of new fastening systems is evaluated and compared to referent fastening system, in order to investigate their ability to absorb vibration energy induced by tram operation and to reduce noise emission. © 2016 Stjepan Lakušić et al."
372,scopus+wos,10.3390/ijerph13121229,2016,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective,"Nature-based rehabilitation (NBR) has convincing support in research, yet the underlying mechanisms are not fully understood. The present study sought to increase understanding of the role of soundscapes in NBR, an aspect paid little attention thus far. Transcribed interviews with 59 patients suffering from stress-related mental disorders and undergoing a 12-week therapy programme in the rehabilitation garden in Alnarp, Sweden, were analysed using Interpretative Phenomenology Analysis (IPA). Described sounds were categorised as natural, technological or human. The results showed that patients frequently referred to natural sounds as being part of a pleasant and “quiet” experience that supported recovery and induced “soft fascination”. Technological sounds were experienced as disturbing, while perception of human sounds varied depending on loudness and the social context. The study further uncovered how sound influenced patients’ behaviour and experiences in the garden, through examination of three cross-theme dimensions that materialised in the study; sound in relation to overall perception, sound in relation to garden usage, and increased susceptibility to sound. The findings are discussed in relation to NBR; the need for a more nuanced understanding of susceptibility to sound among people suffering from mental fatigue was identified and design considerations for future rehabilitation gardens were formulated. © 2016 by the authors; licensee MDPI, Basel, Switzerland."
373,wos,10.1016/j.anbehav.2015.10.002,2016,ANIMAL BEHAVIOUR,"The effect of vessel noise on humpback whale, Megaptera novaeangliae, communication behaviour","The modification of communication signals in response to a changing noise environment has been demonstrated in many terrestrial species, although there are comparatively fewer studies in marine mammals. It is rare, even in terrestrial studies, that the response to an anthropogenic source of noise is compared with a natural source of noise in order to evaluate how animals cope with anthropogenic noise. Humpback whales produce two different types of communication signal other than song: vocal sounds and nonvocal sounds from surface-generated behaviours (breaches, pectoral slapping, tail slapping). In this study, the response of humpback whales to noise dominated by wind (a natural source of noise from breaking waves) was compared with the response to noise dominated by a passing vessel (anthropogenic noise). There were no significant changes in frequency or duration of two common vocal sounds in response to increases in either wind or vessel noise. As with previous studies, humpback whale groups, in response to increasing wind-dominated noise, increased their vocal source level and switched from using primarily vocal sounds to surface-generated sounds in their repertoire. In response to an increase in vessel noise, groups did neither. The proportion of nonvocal sounds in their repertoire was significantly correlated with wind speed (and therefore wind noise) regardless of vessel noise suggesting this response is specific to increased wind noise. However, vocal source levels were lower than expected in vessel noise, suggesting a potential for signal masking in these groups. This comparison of response to two different sources of noise shows that humpback whales may not be able to cope with an increase in anthropogenic noise in the same way they cope with an increase in natural noise. The results highlight the benefits of using the response to a natural source to assess the potential effects of anthropogenic noise on animal communication. (C) 2015 The Association for th"
374,scopus+wos,10.1088/1742-5468/2016/05/054044,2016,JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,The role of noise on the steady state distributions of phytoplankton populations,"The spatio-temporal behaviour of total chlorophyll concentration is investigated in the middle of the Tyrrhenian Sea by using a stochastic approach. The study is based on a reaction-diffusion-taxis model, which is used to analyse the dynamics of five phytoplankton groups, responsible for about 80% of the total chlorophyll a inside the euphotic zone of the water column. The analysis is performed by considering: (i) the intraspecific competition of the phytoplanktonic groups for limiting factors, i.e. light intensity and nutrient concentration, (ii) the seasonal changes of environmental variables, and (iii) the random fluctuations of the components of the velocity field and temperature. Specifically, we investigate the effects of external perturbations, both deterministic and random, on the dynamics of phytoplankton populations, by inserting a term of multiplicative noise into the differential equation of the nutrient dynamics. The theoretical results of the phytoplankton abundances obtained by the stochastic model are converted in chlorophyll a concentrations, and compared with the experimental findings. The statistical checks, based on the chi-square test, show that the vertical distributions of total chlorophyll concentration are in a good agreement with the experimental data. Finally, we observe that the high intensity of environmental noise strongly modifies the steady spatial distributions of two phytoplankton groups usually localized in deeper layers, causing algal blooms in surface water. © 2016 IOP Publishing Ltd and SISSA Medialab srl."
375,pubmed+scopus+wos,10.1371/journal.pone.0159883,2016,PLOS ONE,Uncovering Spatial Variation in Acoustic Environments Using Sound Mapping,"Animals select and use habitats based on environmental features relevant to their ecology and behavior. For animals that use acoustic communication, the sound environment itself may be a critical feature, yet acoustic characteristics are not commonly measured when describing habitats and as a result, how habitats vary acoustically over space and time is poorly known. Such considerations are timely, given worldwide increases in anthropogenic noise combined with rapidly accumulating evidence that noise hampers the ability of animals to detect and interpret natural sounds. Here, we used microphone arrays to record the sound environment in three terrestrial habitats (forest, prairie, and urban) under ambient conditions and during experimental noise introductions. We mapped sound pressure levels (SPLs) over spatial scales relevant to diverse taxa to explore spatial variation in acoustic habitats and to evaluate the number of microphones needed within arrays to capture this variation under both ambient and noisy conditions. Even at small spatial scales and over relatively short time spans, SPLs varied considerably, especially in forest and urban habitats, suggesting that quantifying and mapping acoustic features could improve habitat descriptions. Subset maps based on input from 4, 8, 12 and 16 microphones differed slightly (< 2 dBA/pixel) from those based on full arrays of 24 microphones under ambient conditions across habitats. Map differences were more pronounced with noise introductions, particularly in forests; maps made from only 4-microphones differed more (> 4 dBA/pixel) from full maps than the remaining subset maps, but maps with input from eight microphones resulted in smaller differences. Thus, acoustic environments varied over small spatial scales and variation could be mapped with input from 4-8 microphones. Mapping sound in different environments will improve understanding of acoustic environments and allow us to explore the influence of spatial variation in"
376,wos,10.18666/jpra-2016-v34-13-6927,2016,JOURNAL OF PARK AND RECREATION ADMINISTRATION,Urban Park Soundscapes: Association of Noise and Danger With Perceived Restoration,"For the majority of Americans who live in urban areas, parks and other urban green spaces offer recreation environments that promote human health. To better understand how parks and urban green spaces enhance people's well-being, this study uses a cross-over field experiment design to analyze the impact of noise and danger on perceived restoration. Participants (N = 112) walked in a random order through two one -mile routes in natural (park) and artificial (street) envirmunents. Participants self-reported their levels of perceived restoration, noise, and danger after walking through each enviromnent. Similar to previous studies, the natural (park) environment was perceived as significantly more restorative than the artificial (street) environment. Noise was a significant predictor of the significantly higher levels of perceived restoration. In contrast, although participants did perceive the artificial enviroment as more dangerous, this construct explained a relatively small amount of variation in perceived restoration and was not a significant predictor. These results have implications for park agencies. In order to facilitate both physical activity and restoration opportunities for people recreating in parks, agencies should conserve and enhance the natural soundscape by maintaining and further developing sound buffering vegetation at the perimeter of parks. The effect of this landscaping could be enhanced by regulations minimizing the level of mechanical and human noise in the surrounding areas. Second, while repurposing city streets into temporary parks may offer excellent opportunities for outdoor physical activity, people recreating in such temporarily repurposed streets may experience less restoration than they would in a permanent park due to die relative absence of a natural acoustic envirmunent. Third, pocket parks and other small parks may not have enough buffering landscaping on the perimeter of the park to facilitate a natural soundscape within the park"
377,wos,10.1186/s12940-016-0108-1,2016,ENVIRONMENTAL HEALTH,"Urban and transport planning, environmental exposures and health-new concepts, methods and tools to improve health in cities","Background: The majority of people live in cities and urbanization is continuing worldwide. Cities have long been known to be society's predominant engine of innovation and wealth creation, yet they are also a main source of pollution and disease. Methods: We conducted a review around the topic urban and transport planning, environmental exposures and health and describe the findings. Results: Within cities there is considerable variation in the levels of environmental exposures such as air pollution, noise, temperature and green space. Emerging evidence suggests that urban and transport planning indicators such as road network, distance to major roads, and traffic density, household density, industry and natural and green space explain a large proportion of the variability. Personal behavior including mobility adds further variability to personal exposures, determines variability in green space and UV exposure, and can provide increased levels of physical activity. Air pollution, noise and temperature have been associated with adverse health effects including increased morbidity and premature mortality, UV and green space with both positive and negative health effects and physical activity with many health benefits. In many cities there is still scope for further improvement in environmental quality through targeted policies. Making cities 'green and healthy' goes far beyond simply reducing CO2 emissions. Environmental factors are highly modifiable, and environmental interventions at the community level, such as urban and transport planning, have been shown to be promising and more cost effective than interventions at the individual level. However, the urban environment is a complex interlinked system. Decision-makers need not only better data on the complexity of factors in environmental and developmental processes affecting human health, but also enhanced understanding of the linkages to be able to know at which level to target their actions. New research tools, "
378,scopus,10.1061/(asce)te.1943-5436.0000843,2016,Journal of Transportation Engineering,Urban noise analysis using multinomial logistic regression,"The research uses a database of urban noise data collected continually from April 2013 to March 2014 at 10 sites in Dublin, Ireland. The first objective of the paper is to investigate if the morning daily noise level peak is related to transport characteristics of households, such as car ownership levels, the mode by which people travel to work, and morning work trip departure time. Data from the 2011 Irish census is used to provide the information on households and this is tested against noise measurement levels. The second objective is to examine the relative importance of the spatial and temporal variables of location, month of the year, weekday, and hour of the day in predicting urban noise levels using a multinomial logistic regression model. The results show that the transport household characteristics examined do not appear to influence noise levels. The outcome from the regression model demonstrates that location is the most important variable followed in order by hour of the day, month of the year, and weekday in predicting urban noise levels. © 2016 American Society of Civil Engineers."
379,scopus+wos,10.1515/noise-2016-0016,2016,NOISE MAPPING,Urban park soundscape in distinct sociocultural and geographical contexts,"The importance of soundscape in urban public parks has galvanised researchers concerned with improving the sound environment in cities. Existing literature reveals, however, arelative paucity of studiesonsoundscape in particular sociocultural and environmental contexts, and on the influence of these contexts in the perception of the urban sound space. Within this framework, this paper investigates the soundscape of parks in the cities of Belém, Brazil, and Lisbon, Portugal. The influence of geography and climate as determinant of activities and behaviors, the emission of natural and man-made sounds that characterise the soundscape of urban parks, the way park users evaluate the quality of sound environments were analysed, as were other elements that contribute for such an appreciation. The methodology encompassed sound measurements inside and outside the parks, analysis of the audibility of identifiable sound sources, study of local uses and activities through soundwalks and interviews, and assessment of responses to enquiries. The results shows that the soundscape of park depends on different features such as geography, climate, urban architecture, park infrastructure, sound sources, and most importantly the visitors' expectations for the planned activities, together with their other sensorial responses, which proved to be different in distinct sociocultural and environmental contexts. © 2016 A. C. Lobo Soares and J. L. Bento Coelho, published by De Gruyter Open."
380,wos,10.1016/j.jtrangeo.2016.05.002,2016,JOURNAL OF TRANSPORT GEOGRAPHY,Urban transport justice,"Many cities in the world seek to establish more sustainable urban transport systems with a view to reduce accidents, congestion, air and noise pollution, and to improve social interactions, liveability and amenity values. Against this background, this paper frames urban transportation as an issue of justice: contemporary transport systems are characterized by injustice, as they tend to favour and prioritize motorized transport, accepting that considerable environmental and social burdens are put on more sustainable forms of transportation, other traffic participants and society as a whole. To conceptualize 'urban transport justice', the paper discusses three dimensions where injustices are apparent: Exposure to traffic risks and pollutants; distribution of space; and valuation of transport time. It is argued that public and political recognition of urban transport injustices provides significant argument for changes in urban planning, transport infrastructure development and traffic management (C) 2016 Elsevier Ltd. All rights reserved."
381,wos,10.1093/beheco/arv128,2016,BEHAVIORAL ECOLOGY,Wind farm noise suppresses territorial defense behavior in a songbird,"In birds, anthropogenic noise has been linked to reduced breeding densities and success, but the mechanisms by which this occurs are currently unclear. In this study, we investigated whether wind turbine noise, an increasingly common source of anthropogenic noise in remote and rural locations, affects territory defense in a songbird, the European robin (Erithacus rubecula). We showed that robins increase low-frequency song elements in response to territorial intrusion under quiet conditions but that this response did not occur in the presence of wind turbine noise. These results are particularly interesting in light of previous work implicating low-frequency song in aggression, perhaps as a signal of body size. Thus, anthropogenic noise may affect their ability to deter an intruder, leading to expenditure of extra time and energy, to increased risks of injury and, as a consequence, reduced breeding success. Our study contributes to understanding the impact of anthropogenic noise on birds by linking disruptive noise and territorial behavior, which may be a mechanism underlying the reduction in bird breeding densities and success that has been reported in noisy areas."
382,wos,10.3390/urbansci1020017,2017,URBAN SCIENCE,A Conceptual Modeling Approach to Health-Related Urban Well-Being,"In cities, social well-being faces obstacles posed by globalization, demographic and climate change, new forms of social organization, and the fragmentation of lifestyles. These changes affect the vulnerability of city societies and impact their health-related urban well-being (UrbWellth). The conceptual model introduced in this paper systematizes the relevant variables while considering previous research, and establishes the target value UrbWellth. The model differs from existing approaches mainly in the analytical distinctions it suggests. These allow us to group the relevant urban influence variables into four sectors and enable a more general and abstract consideration of health-related urban relations. The introduction of vulnerability as a filter and transfer function acts as an effect modifier between UrbWellth and the various urban variables."
383,scopus+wos,10.1007/s40857-017-0106-7,2017,ACOUSTICS AUSTRALIA,A Tale of Two Soundscapes: Comparing the Acoustic Characteristics of Urban Versus Pristine Coastal Dolphin Habitats in Western Australia,"Underwater noise environments are increasingly being considered in marine spatial planning and habitat quality assessments. Although the overall aim of regulation is to quieten anthropogenically noise-rich habitats whilst maintaining pristine habitats free of man-made noise, effective management plans require knowledge upon which to base decisions. This is particularly true for managers of acoustically specialised species. This study aimed to compare the acoustic environment of coastal dolphins in two locations within Western Australia by comparing a ‘pristine’ habitat (Roebuck Bay) with an ‘urban’ habitat (Fremantle Inner Harbour). Autonomous underwater acoustic recorders collected approximately 940 and 1080 h of data from these two sites, respectively. Additionally, in Roebuck Bay opportunistic in situ recordings with concurrent visual observations were collected in the presence of two dolphin species. Acoustic data were assessed via weekly spectrograms, power spectrum density percentile plots and probability densities, octave band levels, broadband noise levels, and generalised estimating equations. Results indicated that the two sites had highly contrasting acoustic environments. In Roebuck Bay, the local soundscape was dominated by biotic sounds, with only sporadic vessel noise. However, in Fremantle Inner Harbour, anthropogenic noise was prevalent. On average, Roebuck Bay was 20 dB quieter than the Fremantle Inner Harbour over the frequency band 10 Hz–11 kHz. Dolphin communications had a greater potential to be masked in Fremantle Inner Harbour than in Roebuck Bay based on elevated anthropogenic noise levels. If noise levels were to increase in Roebuck Bay, coastal dolphins may show behavioural and/or acoustical responses as observed at other locations. © 2017, Australian Acoustical Society."
384,pubmed+scopus+wos,10.1002/ece3.2608,2017,ECOLOGY AND EVOLUTION,A before-after control-impact assessment to understand the potential impacts of highway construction noise and activity on an endangered songbird,"Anthropogenic noise associated with highway construction and operation can have individual- and population-level consequences for wildlife (e.g., reduced densities, decreased reproductive success, behavioral changes). We used a before–after control–impact study design to examine the potential impacts of highway construction and traffic noise on endangered golden-cheeked warblers (Setophaga chrysoparia; hereafter warbler) in urban Texas. We mapped and monitored warbler territories before (2009–2011), during (2012–2013), and after (2014) highway construction at three study sites: a treatment site exposed to highway construction and traffic noise, a control site exposed only to traffic noise, and a second control site exposed to neither highway construction or traffic noise. We measured noise levels at varying distances from the highway at sites exposed to construction and traffic noise. We examined how highway construction and traffic noise influenced warbler territory density, territory placement, productivity, and song characteristics. In addition, we conducted a playback experiment within study sites to evaluate acute behavioral responses to highway construction noises. Noise decreased with increasing distance from the highways. However, noise did not differ between the construction and traffic noise sites or across time. Warbler territory density increased over time at all study sites, and we found no differences in warbler territory placement, productivity, behavior, or song characteristics that we can attribute to highway construction or traffic noise. As such, we found no evidence to suggest that highway construction or traffic noise had a negative effect on warblers during our study. Because human population growth will require recurring improvements to transportation infrastructure, understanding wildlife responses to anthropogenic noise associated with the construction and operation of roads is essential for effective management and recovery of prioritized s"
385,scopus+wos,10.1016/j.apacoust.2017.01.027,2017,APPLIED ACOUSTICS,A cognitive framework for the categorisation of auditory objects in urban soundscapes,"Categorisation is a fundamental cognitive process that plays a central role in everyday behaviour and action. Whereas previous studies have investigated the categorisation of isolated everyday sounds, this paper presents an experiment to investigate the cognitive categorisation of everyday sounds within their original context. A group of eighteen expert and non-expert listeners took part in a free sorting task using 110 sounds identified within ambisonic reproductions of urban soundscapes. The participants were asked to sort the objects into groups of sounds that served a similar purpose in the overall perception of the soundscape. Following this, the participants, were asked to provide descriptive labels for the groups they had formed. The results were analysed using hierarchical agglomerative clustering and non-metric multidimensional scaling(MDS) to explore both the structure and dimensionality of the data. The resulting hierarchical clustering of objects show three top level categories relating to transient sounds, continuous sounds, and speech and vocalisations. Sub-categories were identified in each of the top level categories which included harmonic and non-harmonic continuous sounds, clear speech, unintelligible speech, vocalisations, transient sounds that indicate actions, and non-salient transient sounds. The first two dimensions revealed by the MDS analysis relate to temporal extent and intelligibility respectively. Interpretation of the third dimension is less clear, but may be related to harmonic content. (C) 2017 The Authors. Published by Elsevier Ltd."
386,scopus+wos,10.3109/13668250.2016.1250251,2017,JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,A comparison of natural and non-natural soundscapes on people with severe or profound intellectual and multiple disabilities,"Background Previous research indicates that there is a relationship between the auditory environment and the core affects (or mood) of people with severe or profound intellectual disability. We conducted a systematic study to further explore this relationship. Method Thirteen participants with severe or profound intellectual disability and challenging behaviour were presented with 5 different soundscapes (Beach, Forest, Urban, Music, and Silence) in a dedicated room. Direct support professionals made core affect observations before and after each trial. Results A trend was visible in the core affect observations, with a prominent and consistent increase in the frequency of observations of a Relaxed core affect across conditions. However, a greater increase in the frequency of observations of a Relaxed core affect and a greater decrease in the frequency of observations of an Interested core affect were associated with the natural conditions (Forest and Beach) rather than the non-natural conditions (Urban and Music). Conclusion This pilot study could serve an important role in raising awareness and stimulating further research regarding the auditory environments of people with severe or profound intellectual disability. © 2016 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group."
387,pubmed+scopus+wos,10.1016/j.scitotenv.2016.12.061,2017,SCIENCE OF THE TOTAL ENVIRONMENT,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape,"The soundscape paradigm is comprised of complex living systems where individuals interact moment-by-moment among one another and with the physical environment. The real environments provide promising conditions to reveal deep soundscape behavior, including the multiple components involved and their interrelations as a whole. However, measuring and analyzing the numerous simultaneous variables of soundscape represents a challenge that is not completely understood. This work proposes and applies a comprehensive methodology for multidimensional and synchronic data collection in soundscape. The soundscapo variables were organized into three main entities: experienced environment, acoustic environment, and extra-acoustic environment, containing, in turn, subgroups of variables called components. The variables contained in these components were acquired through synchronic field techniques that include surveys, acoustic measurements, audio recordings, photography, and video. The proposed methodology was tested, optimized, and applied in diverse open environments, including squares, parks, fountains, university campuses, streets, and pedestrian areas. The systematization of this comprehensive methodology provides a framework for soundscape research, a support for urban and environment management, and a preliminary procedure for standardization in soundscape data collecting. (C) 2016 Elsevier B.V. All rights reserved."
388,wos,10.1038/s41598-017-14511-9,2017,SCIENTIFIC REPORTS,"A random acceleration model of individual animal movement allowing for diffusive, superdiffusive and superballistic regimes","Patterns of individual animal movement attracted considerable attention over the last two decades. In particular, question as to whether animal movement is predominantly diffusive or superdiffusive has been a focus of discussion and controversy. We consider this problem using a theory of stochastic motion based on the Langevin equation with non-Wiener stochastic forcing that originates in animal's response to environmental noise. We show that diffusive and superdiffusive types of motion are inherent parts of the same general movement process that arises as interplay between the force exerted by animals (essentially, by animal's muscles) and the environmental drag. The movement is superballistic with the mean square displacement growing with time as x(2)(t) similar to t(4) at the beginning and eventually slowing down to the diffusive spread x(2)(t) similar to t. We show that the duration of the superballistic and superdiffusive stages can be long depending on the properties of the environmental noise and the intensity of drag. Our findings demonstrate theoretically how the movement pattern that includes diffusive and superdiffusive/superballistic motion arises naturally as a result of the interplay between the dissipative properties of the environment and the animal's biological traits such as the body mass, typical movement velocity and the typical duration of uninterrupted movement."
389,wos,10.1080/09524622.2016.1181574,2017,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,A test of the Acoustic Adaptation Hypothesis in three types of tropical forest: degradation of male and female Rufous-and-white Wren songs,"Many animals produce complex vocalizations that show pronounced variation between populations. The Acoustic Adaptation Hypothesis helps to explain this variation, suggesting that acoustic signals are optimized for transmission through different environments. Little is known about the transmission properties of female vocalizations because most studies of the Acoustic Adaptation Hypothesis have focused on male vocalizations of organisms living at temperate latitudes. We explored the relationship between environmental variation and the transmission properties of songs of Rufous-and-white Wrens, resident Neotropical songbirds where both sexes sing. Using playback, we broadcast and re-recorded elements of male and female songs from three populations of wrens living in three different forest habitats in Costa Rica. We measured four variables of the re-recorded sounds: signal-to-noise ratio, excess attenuation, tail-to-signal ratio and blur ratio. Our results show a significant difference between transmission characteristics of both male and female song elements across the three habitats, indicating that sounds transmit differently through different types of tropical forest. The population from which the broadcast sounds were recorded ( source population) had little effect on sound transmission, however, suggesting that acoustic differences between these populations may not arise through acoustic adaptation to these habitats. Male and female elements showed similar transmission properties overall, although signal-to-noise ratio of male elements was influenced by source population, whereas blur ratio and excess attenuation of female elements were influenced by source population. Our study highlights the differences in transmission characteristics of animal sounds through different habitats, and reveals some sex differences in transmission properties."
390,pubmed,10.1016/j.jenvman.2017.07.041,2017,Journal of environmental management,Acoustic environments matter: Synergistic benefits to humans and ecological communities.,"Protected areas are critical locations worldwide for biodiversity preservation and offer important opportunities for increasingly urbanized humans to experience nature. However, biodiversity preservation and visitor access are often at odds and creative solutions are needed to safeguard protected area natural resources in the face of high visitor use. Managing human impacts to natural soundscapes could serve as a powerful tool for resolving these conflicting objectives. Here, we review emerging research that demonstrates that the acoustic environment is critical to wildlife and that sounds shape the quality of nature-based experiences for humans. Human-made noise is known to affect animal behavior, distributions and reproductive success, and the organization of ecological communities. Additionally, new research suggests that interactions with nature, including natural sounds, confer benefits to human welfare termed psychological ecosystem services. In areas influenced by noise, elevated human-made noise not only limits the variety and abundance of organisms accessible to outdoor recreationists, but also impairs their capacity to perceive the wildlife that remains. Thus soundscape changes can degrade, and potentially limit the benefits derived from experiences with nature via indirect and direct mechanisms. We discuss the effects of noise on wildlife and visitors through the concept of listening area and demonstrate how the perceptual worlds of both birds and humans are reduced by noise. Finally, we discuss how management of soundscapes in protected areas may be an innovative solution to safeguarding both and recommend several key questions and research directions to stimulate new research."
391,scopus,10.1016/j.ecoinf.2017.01.002,2017,Ecological Informatics,"Acoustic patterns at the Samford Ecological Research Facility in South East Queensland, Australia: The Peri-Urban SuperSite of the Terrestrial Ecosystem Research Network","Acoustic signals that emanate from ecosystems are an important ecological variable which can provide evidence of current ecological condition as well as ecological change over time. The Terrestrial Ecosystem Research Network (TERN) established protocols to record sounds in ten SuperSites distributed throughout Australia with the objective of characterizing the soundscape in a representative landscape in different regions of Australia. This acoustic monitoring system enables a comparison of the soundscapes within and between Australian regions to determine similarities and differences in these landscapes and regions. This research quantifies the soundscape patterns in one of these SuperSites, Samford Ecological Research Facility (TERN-SERF), which is part of the South-East Queensland Peri-Urban SuperSite. An analysis and visualization of patterns in the soundscape was conducted using a continuous acoustic recording collected at TERN-SERF. The recording was made using a Song Meter (SM2) in a representative wooded habitat at TERN-SERF from 1 August to 30 September 2013. The recording was made in 16-bit stereo at 44 kHz and stored in wav file format. The recording was split into 1-minute-long recordings comprising 86,196 records and then sub-sampled at a 30-minute interval, providing 2878 one-minute-long recordings every 1/2 h. Soundscape metrics were computed for each of the two recording intervals. Soundscape power values were computed for each of ten frequency intervals (1–11 kHz) for both the 1-minute and the 30-minute interval recordings. In addition, six acoustic indices were computed from each recording. The acoustics metrics derived from the two sets of recordings (1-minute and 30-minute recording intervals) were examined to determine if they revealed different patterns. Several soundscape metrics were calculated for each recording including ten soundscape power values at 1 kHz frequency intervals and six acoustics indices. The soundscape shows a dynamic but con"
392,wos,10.1016/j.envres.2017.07.039,2017,ENVIRONMENTAL RESEARCH,Acute effects of visits to urban green environments on cardiovascular physiology in women: A field experiment,"Background: Epidemiological studies have reported positive associations between the amount of green space in the living environment and mental and cardiovascular human health. In a search for effect mechanisms, field studies have found short-term visits to green environments to be associated with psychological stress relief. Less evidence is available on the effect of visits on cardiovascular physiology. Objectives: To evaluate whether visits to urban green environments, in comparison to visits to a built-up environment, lead to beneficial short-term changes in indicators of cardiovascular health. Methods: Thirty-six adult female volunteers visited three different types of urban environments: an urban forest, an urban park, and a built-up city centre, in Helsinki, Finland. The visits consisted of 15 min of sedentary viewing, and 30 min of walking. During the visits, blood pressure and heart rate were measured, and electrocardiogram recorded for the determination of indicators of heart rate variability. In addition, levels of respirable ambient particles and environmental noise were monitored. Results: Visits to the green environments were associated with lower blood pressure (viewing period only), lower heart rate, and higher indices of heart rate variability [standard deviation of normal-to-normal intervals (SDNN), high frequency power] than visits to the city centre. In the green environments, heart rate decreased and SDNN increased during the visit. Associations between environment and indicators of cardiovascular health weakened slightly after inclusion of particulate air pollution and noise in the models. Conclusions: Visits to urban green environments are associated with beneficial short-term changes in cardiovascular risk factors. This can be explained by psychological stress relief with contribution from reduced air pollution and noise exposure during the visits. Future research should evaluate the amount of exposure to green environments needed for longer-t"
