rec,source,screen,status,doi,year,journal,authors,meta_from,filename,orig_ct_file
979,main-search,,FINAL_INCLUDE,,2023,,,pdf_map,2023_VisuComm_Merlino et al_Walking through the city soundscape an audio-visual analysis of sensory.pdf,
981,main-search,,FINAL_EXCLUDE,,2024,,,pdf_map,2024_Buil_Wu et al_A Study on Spatiotemporal Dynamics and Spatial Dependence of Sound Sourc.pdf,
1069,main-search,,FINAL_INCLUDE,,2024,,,pdf_map,2024_BuildEnv_Chen et al_The impact of the community's sound environment on social interactions a.pdf,
1018,main-search,,FINAL_INCLUDE,,2024,,,pdf_map,2024_EcolIndic_Lai et al_Exploring Acoustic-Visual perception and satisfaction in urban Parks Bas.pdf,
1076,main-search,,FINAL_INCLUDE,,2024,,,pdf_map,2024_Forests_Guo et al_Understanding the Role of Visitor Behavior in Soundscape Restorative Exp.pdf,
1005,main-search,,FINAL_INCLUDE,,2024,,,pdf_map,2024_Heli_Wogan & Kennedy_Crowdsourced cycling data applications to estimate noise pollution expos.pdf,
1009,main-search,,SENS_ONLY,,2024,,,pdf_map,2024_HumaAnd_Cao & Kang_Effect of human sound component on the sociability of urban public space.pdf,
941,main-search,,FINAL_INCLUDE,,2024,,,pdf_map,2024_LandArch_et al_Research on the Combined Effects of Plant Odor and Traffic Noise on Crow.pdf,
984,main-search,,FINAL_INCLUDE,,2024,,,pdf_map,2024_LandRese_Wang & Xiao_A study on the fusion of musical theme landscape and soundscape in Hefei.pdf,
1020,main-search,,FINAL_INCLUDE,,2024,,,pdf_map,2024_Land_Jin et al_Exploring the Impact of Visual and Aural Elements in Urban Parks on Huma.pdf,
999,main-search,,FINAL_INCLUDE,,2024,,,pdf_map,2024_STOTEN_Lu et al_Comparative evaluation of soundscapes in human activities spatial contex.pdf,
1053,main-search,,FINAL_INCLUDE,,2024,,,pdf_map,2024_UrbaEcos_Joo et al_Socio-environmental drivers of human-nature interactions in urban green.pdf,
1177,main-search,,FINAL_INCLUDE,,2025,,,pdf_map,"2025_Acoustics_Mansouri et al_The Impact of Soundscape on Pedestrian Comfort, Perception and Walking E.pdf",
1138,main-search,,FINAL_INCLUDE,,2025,,,pdf_map,2025_Acoustics_Nguyen et al_Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffi.pdf,
1178,main-search,,FINAL_INCLUDE,,2025,,,pdf_map,2025_ApplAcoust_Ba et al_The effects of the interaction between sewage odour and sounds on crowd.pdf,
1149,main-search,,FINAL_INCLUDE,,2025,,,pdf_map,2025_ArtsAmp_Yu_Landscapes of silence designing quiet art spaces for inner peace in urba.pdf,
1154,main-search,,FINAL_EXCLUDE,,2025,,,pdf_map,2025_FronIn_Ke et al_Lunch breaks as a buffer mitigating the negative effects of road traffic.pdf,
1122,main-search,,FINAL_INCLUDE,,2025,,,pdf_map,2025_JEnvPsych_Chen & Kang_Effects of natural sound tempo and social conditions on social Interacti.pdf,
1121,main-search,,FINAL_INCLUDE,,2025,,,pdf_map,2025_JourOf_Lin et al_Effects of interactions between thermal and acoustic environments on sub.pdf,
1115,main-search,,FINAL_INCLUDE,,2025,,,pdf_map,2025_PLOSONE_Calafiore & Tong_Does noise pollution influence modal choices A random forest application.pdf,
1110,main-search,,FINAL_INCLUDE,,2025,,,pdf_map,2025_TransRes_Gao & Fang_Decoding the impact of audiovisual street environment features on cyclin.pdf,
1174,main-search,,FINAL_INCLUDE,,2025,,,pdf_map,2025_TransRes_Zhang et al_Synergistic role of audio-visual perceptions in promoting bikeshare for.pdf,
1141,main-search,,FINAL_EXCLUDE,,2025,,,pdf_map,"2025_UrbaFore_Yang et al_How objective and subjective greenspace, combined with air and noise pol.pdf",
1221,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_ApplAcoust_Zhou et al_Effect of soundscapes and crowd density on economic behavior in commerci.pdf,
1280,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_Buil_Fu et al_Research on the Effect of Rural Composite Environments on the Spatiotemp.pdf,
1226,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_InteJour_Dzhambov et al_Environmental characteristics and physical activity A cross-sectional st.pdf,
1306,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_JourOf_Gao & Fang_Unveiling the nonlinear effects of street-level audiovisual environments.pdf,
1202,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_JourOf_Lin et al_Assessing the impact of landscape context on soundscape quality in multi.pdf,
1242,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_LandArch_et al_How Individual and Sound Characteristics Interactively Determine Perceiv.pdf,
1243,main-search,,FINAL_EXCLUDE,,2026,,,pdf_map,2026_LandArch_et al_Innovations for Healthy Landscapes Review and Perspective on Technologie.pdf,
1253,main-search,,FINAL_EXCLUDE,,2026,,,pdf_map,2026_PLOSONE_Lee & Kim_Mapping urban soundscape patterns using user-generated content A place m.pdf,
1232,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_Sustainability_Ozturk et al_Exploring the Soundscape Perception of Streets A Thematic Analysis of Fo.pdf,
1211,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_TheEuro_Hüg et al_Chromatic recurrences applied to joint walking time series of a blind mo.pdf,
1272,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_TransRes_Sun et al_Perception and response of cyclists interacting with autonomous electric.pdf,
1258,main-search,,FINAL_INCLUDE,,2026,,,pdf_map,2026_UrbaScie_Peng et al_Multisensory Interactions in Greenway Plazas of Differing Openness and E.pdf,
