no,verdict,pdf,year,journal,title,doi
1182,BORDERLINE,N,2025,ERJ OPEN RESEARCH,The role of neighbourhood-level sociodemographic and socioeconomic characteristics on the physical activity of people with COPD,10.1183/23120541.00132-2025
1190,BORDERLINE,N,2025,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,What's your type? A taxonomy of pedestrian route choice behaviour in cities,10.1016/j.trf.2025.01.012
1191,BORDERLINE,N,2026,"Journal of Engineering, Project, and Production Management",A Perceived Acoustic Landscape Model for Zhangjiajie National Forest Park,10.32738/jeppm-2025-228
1200,BORDERLINE,N,2026,Scientific reports,"Assessing noise levels at social events within Kumasi Metropolis, Ghana.",10.1038/s41598-026-61794-y
1202,INCLUDE,Y,2026,Journal of Urban Management,Assessing the impact of landscape context on soundscape quality in multifunctional urban open spaces,10.1016/j.jum.2026.04.003
1203,BORDERLINE,N,2026,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,Assessing the relationship between space-time behaviours and personal noise exposure using isotemporal substitution models in the Grand Paris area,10.1038/s41370-025-00765-3
1211,INCLUDE,Y,2026,EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,Chromatic recurrences applied to joint walking time series of a blind mother-child dyad,10.1140/epjs/s11734-026-02140-1
1215,BORDERLINE,N,2026,DATA IN BRIEF,Data from a public participation GIS survey on the everyday active travel experiences of residents from five European cities,10.1016/j.dib.2026.112981
1218,BORDERLINE,N,2026,LAND,Dynamic Perspectives: Spatiotemporal Characteristics and Time-Segmented Environmental Drivers of Public Recreational Behavior in Urban Parks,10.3390/land15050811
1221,INCLUDE,Y,2026,APPLIED ACOUSTICS,Effect of soundscapes and crowd density on economic behavior in commercial streets,10.1016/j.apacoust.2025.111101
1226,INCLUDE,Y,2026,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,Environmental characteristics and physical activity: A cross-sectional study in Bulgaria's five largest cities,10.1016/j.ijheh.2026.114816
1232,BORDERLINE,Y,2026,SUSTAINABILITY,Exploring the Soundscape Perception of Streets: A Thematic Analysis of Focus Groups with Experts,10.3390/su18094369
1239,BORDERLINE,N,2026,PNAS NEXUS,Heart rate synchrony as a marker of real-world social engagement,10.1093/pnasnexus/pgag181
1242,INCLUDE,Y,2026,LANDSCAPE ARCHITECTURE FRONTIERS,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Restorativeness in Coastal Urban Spaces -An Empirical Study in a Typical Sea-fronting Context,10.15302/j-laf-2026-0017
1243,INCLUDE,Y,2026,Landscape Architecture Frontiers,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Restorativeness in Coastal Urban Spaces —An Empirical Study in a Typical Sea-fronting Context,10.15302/j-laf-2026-0016
1250,BORDERLINE,N,2026,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"Less parking, more life? Promises and challenges of urban parking-space repurposing. Evidence from a controlled before-after quasi-experimental study in Berlin",10.1016/j.tra.2026.105090
1253,BORDERLINE,Y,2026,PLOS ONE,Mapping urban soundscape patterns using user-generated content: A place model approach to acoustic environment perception,10.1371/journal.pone.0343393
1258,INCLUDE,Y,2026,URBAN SCIENCE,Multisensory Interactions in Greenway Plazas of Differing Openness and Effects on User Behaviors,10.3390/urbansci10010060
1264,BORDERLINE,N,2026,ENGINEERING RESEARCH EXPRESS,"Noise pollution of different vehicles: a case study at Agartala city, India",10.1088/2631-8695/ae3b99
1271,BORDERLINE,N,2026,Alam Cipta,"Perception and Display of Folk Activities in Cultural Space – A Case Study of a Dong Ethnic Wedding Ceremony in Chenyang Eight Village, China",10.47836/ac.19.1.paper06
1272,INCLUDE,Y,2026,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,Perception and response of cyclists interacting with autonomous electric vehicles - a virtual reality study,10.1016/j.trf.2026.103707
1275,BORDERLINE,N,2026,LAND,Public Perception of Urban Forests in Portugal,10.3390/land15060919
1276,INCLUDE,N,2026,CITIES & HEALTH,Quieter except on weekend evenings: changes in street-level noise following pedestrianisation,10.1080/23748834.2026.2616563
1280,INCLUDE,Y,2026,BUILDINGS,"Research on the Effect of Rural Composite Environments on the Spatiotemporal Behavior and Perception of the Elderly: A Case Study of Qingdao, China",10.3390/buildings16101973
1291,BORDERLINE,N,2026,Tropical Geography,Soundscape-Based Mitigation of the Tidal Phenomenon in Rural Destinations: Sensory Capital Activation and Spatio-Temporal Fixation,10.13284/j.cnki.rddl.20250846
1305,BORDERLINE,N,2026,GERMAN JOURNAL OF EXERCISE AND SPORT RESEARCH,Transforming urban landscapes: characteristics of urban green spaces for year-round green exercise in Germany,10.1007/s12662-026-01101-z
1306,INCLUDE,Y,2026,JOURNAL OF TRANSPORT & HEALTH,Unveiling the nonlinear effects of street-level audiovisual environments on urban cycling volume,10.1016/j.jth.2026.102313
1315,BORDERLINE,N,2026,JOURNAL OF TRANSPORT GEOGRAPHY,Walking barriers in older age: A comparison of perceived and measured conditions,10.1016/j.jtrangeo.2026.104697
