priority,no,verdict,year,journal,title,doi,proxy_link
P2-BORDERLINE,378,BORDERLINE,2016,Journal of Transportation Engineering,Urban noise analysis using multinomial logistic regression,10.1061/(asce)te.1943-5436.0000843,https://doi-org-ssl.access.yonsei.ac.kr/10.1061/(asce)te.1943-5436.0000843
P2-BORDERLINE,55,BORDERLINE,2004,Journal of the Acoustical Society of America,"Longitudinal surveys on effects of changes in road traffic noise - Annoyance, activity disturbances, and psycho-social well-being",10.1121/1.1639333,https://doi-org-ssl.access.yonsei.ac.kr/10.1121/1.1639333
P2-BORDERLINE,1218,BORDERLINE,2026,LAND,Dynamic Perspectives: Spatiotemporal Characteristics and Time-Segmented Environmental Drivers of Public Recreational Behavior in Urban Parks,10.3390/land15050811,https://doi-org-ssl.access.yonsei.ac.kr/10.3390/land15050811
P2-BORDERLINE,1275,BORDERLINE,2026,LAND,Public Perception of Urban Forests in Portugal,10.3390/land15060919,https://doi-org-ssl.access.yonsei.ac.kr/10.3390/land15060919
P2-BORDERLINE,556,BORDERLINE,2019,LANDSCAPE AND URBAN PLANNING,"Neighbourhood greenness and mental wellbeing in Guangzhou, China: What are the pathways?",10.1016/j.landurbplan.2019.103602,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.landurbplan.2019.103602
P2-BORDERLINE,1169,BORDERLINE,2025,LANDSCAPE ARCHITECTURE AND ART,SOUND STUDIES OF THE ARCHITECTURAL ENVIRONMENT: URBAN SOUNDSCAPE AND SOUND SEMANTICS,10.22616/j.landarchart.2025.27.02,https://doi-org-ssl.access.yonsei.ac.kr/10.22616/j.landarchart.2025.27.02
P2-BORDERLINE,357,BORDERLINE,2016,LANDSCAPE ARCHITECTURE FRONTIERS,PERCEPTION AND PLANNING DESIGN FOR URBAN OUTDOOR PUBLIC SPACE,,
P2-BORDERLINE,365,BORDERLINE,2016,LANDSCAPE ARCHITECTURE FRONTIERS,SOUNDSCAPE PERCEPTION OF URBAN RECREATIONAL GREEN SPACE,,
P2-BORDERLINE,932,BORDERLINE,2023,Mobilities,Negotiating the city during the dark season: a study of recreational running,10.1080/17450101.2023.2226357,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/17450101.2023.2226357
P2-BORDERLINE,485,BORDERLINE,2018,NOISE & HEALTH,Negative impact of noise and noise sensitivity on mental health in childhood,10.4103/nah.nah_9_18,https://doi-org-ssl.access.yonsei.ac.kr/10.4103/nah.nah_9_18
P2-BORDERLINE,194,BORDERLINE,2012,NOISE CONTROL ENGINEERING JOURNAL,Relating the near field noise of passenger cars with the driving behavior,10.3397/1.3682961,https://doi-org-ssl.access.yonsei.ac.kr/10.3397/1.3682961
P2-BORDERLINE,639,BORDERLINE,2020,NOISE MAPPING,"Noise at the time of COVID 19: The impact in some areas in Rome and Milan, Italy",10.1515/noise-2020-0021,https://doi-org-ssl.access.yonsei.ac.kr/10.1515/noise-2020-0021
P2-BORDERLINE,709,BORDERLINE,2021,PEOPLE AND NATURE,Ecosystem services enhanced through soundscape management link people and wildlife,10.1002/pan3.10156,https://doi-org-ssl.access.yonsei.ac.kr/10.1002/pan3.10156
P2-BORDERLINE,1239,BORDERLINE,2026,PNAS NEXUS,Heart rate synchrony as a marker of real-world social engagement,10.1093/pnasnexus/pgag181,https://doi-org-ssl.access.yonsei.ac.kr/10.1093/pnasnexus/pgag181
P2-BORDERLINE,89,BORDERLINE,2009,Park Science,A program of research to support management of visitor-caused noise at Muir Woods National Monument,,
P2-BORDERLINE,103,BORDERLINE,2009,Park Science,Modeling and mapping hikers' exposure to transportation noise in Rocky Mountain National Park,,
P2-BORDERLINE,68,BORDERLINE,2007,ROAD & TRANSPORT RESEARCH,Daytime population tracking for planning and pollution exposure assessment,,
P2-BORDERLINE,387,BORDERLINE,2017,SCIENCE OF THE TOTAL ENVIRONMENT,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape,10.1016/j.scitotenv.2016.12.061,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.scitotenv.2016.12.061
P2-BORDERLINE,1143,BORDERLINE,2025,SCIENTIFIC REPORTS,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas,10.1038/s41598-025-08524-y,https://doi-org-ssl.access.yonsei.ac.kr/10.1038/s41598-025-08524-y
P2-BORDERLINE,1172,BORDERLINE,2025,SCIENTIFIC REPORTS,Study on the correlation between soundscape perception and pro-environmental behaviors in Grand Canal National Cultural Park based on the expert perspective,10.1038/s41598-025-30347-0,https://doi-org-ssl.access.yonsei.ac.kr/10.1038/s41598-025-30347-0
P2-BORDERLINE,1179,BORDERLINE,2025,SCIENTIFIC REPORTS,The impact of spatial distribution of noise pollution from music recreation facilities and residents' perceptions in Chongqing municipality,10.1038/s41598-025-19918-3,https://doi-org-ssl.access.yonsei.ac.kr/10.1038/s41598-025-19918-3
P2-BORDERLINE,1200,BORDERLINE,2026,Scientific reports,"Assessing noise levels at social events within Kumasi Metropolis, Ghana.",10.1038/s41598-026-61794-y,https://doi-org-ssl.access.yonsei.ac.kr/10.1038/s41598-026-61794-y
P2-BORDERLINE,444,BORDERLINE,2017,Social and Cultural Geography,The role of fluctuating soundscapes in shaping the emotional geographies of individuals living with Ménière’s disease,10.1080/14649365.2016.1228116,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/14649365.2016.1228116
P2-BORDERLINE,624,BORDERLINE,2020,TOURISM MANAGEMENT PERSPECTIVES,How do Chinese tourists perceive tranquillity during the tour?,10.1016/j.tmp.2020.100666,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.tmp.2020.100666
P2-BORDERLINE,1250,BORDERLINE,2026,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"Less parking, more life? Promises and challenges of urban parking-space repurposing. Evidence from a controlled before-after quasi-experimental study in Berlin",10.1016/j.tra.2026.105090,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.tra.2026.105090
P2-BORDERLINE,186,BORDERLINE,2012,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Influence of vehicle driving parameters on the noise caused by passenger cars in urban traffic,10.1016/j.trd.2012.06.002,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.trd.2012.06.002
P2-BORDERLINE,562,BORDERLINE,2019,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,"Recreational walking decisions in urban away-from-home environments: The relevance of air quality, noise, traffic, and the natural environment",10.1016/j.trf.2019.08.006,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.trf.2019.08.006
P2-BORDERLINE,1190,BORDERLINE,2025,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,What's your type? A taxonomy of pedestrian route choice behaviour in cities,10.1016/j.trf.2025.01.012,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.trf.2025.01.012
P2-BORDERLINE,1016,BORDERLINE,2024,Tourism Geographies,Experiencing therapeutic soundscapes in rural tourism destinations,10.1080/14616688.2024.2412984,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/14616688.2024.2412984
P2-BORDERLINE,1291,BORDERLINE,2026,Tropical Geography,Soundscape-Based Mitigation of the Tidal Phenomenon in Rural Destinations: Sensory Capital Activation and Spatio-Temporal Fixation,10.13284/j.cnki.rddl.20250846,https://doi-org-ssl.access.yonsei.ac.kr/10.13284/j.cnki.rddl.20250846
P2-BORDERLINE,623,BORDERLINE,2020,UCL open. Environment,How did the 'state of emergency' declaration in Japan due to the COVID-19 pandemic affect the acoustic environment in a rather quiet residential area?,10.14324/111.444/ucloe.000009,https://doi-org-ssl.access.yonsei.ac.kr/10.14324/111.444/ucloe.000009
P2-BORDERLINE,251,BORDERLINE,2014,URBAN FORESTRY & URBAN GREENING,"Elderly visitors of an urban park, health anxiety and individual awareness of nature experiences",10.1016/j.ufug.2014.05.006,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.ufug.2014.05.006
P2-BORDERLINE,499,BORDERLINE,2018,URBAN FORESTRY & URBAN GREENING,Spatial-temporal change analysis of plant soundscapes and their design methods,10.1016/j.ufug.2017.11.002,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.ufug.2017.11.002
P2-BORDERLINE,509,BORDERLINE,2018,Urban Forestry and Urban Greening,Tranquillity Trails for urban areas,10.1016/j.ufug.2017.11.015,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.ufug.2017.11.015
P2-BORDERLINE,684,BORDERLINE,2021,WEATHER CLIMATE AND SOCIETY,A Season for Complaints: How Does Weather Affect Noise Complaints between Neighbors?,10.1175/wcas-d-21-0020.1,https://doi-org-ssl.access.yonsei.ac.kr/10.1175/wcas-d-21-0020.1
