no,verdict,doi,status,pdf_url,title
1143,BORDERLINE,10.1038/s41598-025-08524-y,NOT_PDF_CONTENT,https://www.nature.com/articles/s41598-025-08524-y.pdf,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas
1154,BORDERLINE,10.3389/fpubh.2025.1681862,OK,https://public-pages-files-2025.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1681862/pdf,Lunch breaks as a buffer: mitigating the negative effects of road traffic noise on urban employee wo
1169,BORDERLINE,10.22616/j.landarchart.2025.27.02,ERR:URLError,https://journals.lbtu.lv/laa/article/download/195/128,SOUND STUDIES OF THE ARCHITECTURAL ENVIRONMENT: URBAN SOUNDSCAPE AND SOUND SEMANTICS
1172,BORDERLINE,10.1038/s41598-025-30347-0,NOT_PDF_CONTENT,https://www.nature.com/articles/s41598-025-30347-0_reference.pdf,Study on the correlation between soundscape perception and pro-environmental behaviors in Grand Cana
1175,BORDERLINE,10.1016/j.envint.2025.109876,NO_OA_PDF_URL,,"The ""things"" we adjust for in greenness epidemiology: relationships between greenness and lifestyle "
1177,BORDERLINE,10.3390/acoustics7040064,NOT_PDF_CONTENT,https://www.mdpi.com/2624-599X/7/4/64/pdf?version=1760347841,"The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experience in Béjaïa, Algeria"
1179,BORDERLINE,10.1038/s41598-025-19918-3,NOT_PDF_CONTENT,https://www.nature.com/articles/s41598-025-19918-3.pdf,The impact of spatial distribution of noise pollution from music recreation facilities and residents
1182,BORDERLINE,10.1183/23120541.00132-2025,NO_OA_PDF_URL,,The role of neighbourhood-level sociodemographic and socioeconomic characteristics on the physical a
1190,BORDERLINE,10.1016/j.trf.2025.01.012,NO_OA_PDF_URL,,What's your type? A taxonomy of pedestrian route choice behaviour in cities
1191,BORDERLINE,10.32738/jeppm-2025-228,NO_OA_PDF_URL,,A Perceived Acoustic Landscape Model for Zhangjiajie National Forest Park
1200,BORDERLINE,10.1038/s41598-026-61794-y,NOT_PDF_CONTENT,https://www.nature.com/articles/s41598-026-61794-y_reference.pdf,"Assessing noise levels at social events within Kumasi Metropolis, Ghana."
1203,BORDERLINE,10.1038/s41370-025-00765-3,PAYWALLED,,Assessing the relationship between space-time behaviours and personal noise exposure using isotempor
1215,BORDERLINE,10.1016/j.dib.2026.112981,NO_OA_PDF_URL,,Data from a public participation GIS survey on the everyday active travel experiences of residents f
1218,BORDERLINE,10.3390/land15050811,NO_OA_PDF_URL,,Dynamic Perspectives: Spatiotemporal Characteristics and Time-Segmented Environmental Drivers of Pub
1232,BORDERLINE,10.3390/su18094369,NOT_PDF_CONTENT,https://www.mdpi.com/2071-1050/18/9/4369/pdf?version=1778033257,Exploring the Soundscape Perception of Streets: A Thematic Analysis of Focus Groups with Experts
1239,BORDERLINE,10.1093/pnasnexus/pgag181,NO_OA_PDF_URL,,Heart rate synchrony as a marker of real-world social engagement
1250,BORDERLINE,10.1016/j.tra.2026.105090,NO_OA_PDF_URL,,"Less parking, more life? Promises and challenges of urban parking-space repurposing. Evidence from a"
1253,BORDERLINE,10.1371/journal.pone.0343393,OK,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343393&type=printable,Mapping urban soundscape patterns using user-generated content: A place model approach to acoustic e
1264,BORDERLINE,10.1088/2631-8695/ae3b99,PAYWALLED,,"Noise pollution of different vehicles: a case study at Agartala city, India"
1271,BORDERLINE,10.47836/ac.19.1.paper06,PAYWALLED,,Perception and Display of Folk Activities in Cultural Space – A Case Study of a Dong Ethnic Wedding 
1275,BORDERLINE,10.3390/land15060919,NO_OA_PDF_URL,,Public Perception of Urban Forests in Portugal
1291,BORDERLINE,10.13284/j.cnki.rddl.20250846,NO_OA_PDF_URL,,Soundscape-Based Mitigation of the Tidal Phenomenon in Rural Destinations: Sensory Capital Activatio
1305,BORDERLINE,10.1007/s12662-026-01101-z,NOT_PDF_CONTENT,https://link.springer.com/content/pdf/10.1007/s12662-026-01101-z.pdf,Transforming urban landscapes: characteristics of urban green spaces for year-round green exercise i
1315,BORDERLINE,10.1016/j.jtrangeo.2026.104697,NO_OA_PDF_URL,,Walking barriers in older age: A comparison of perceived and measured conditions
