uid,source,no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
520,db-search,520,FINAL_INCLUDE,2019,ACTA ACUSTICA UNITED WITH ACUSTICA,An Exploratory Study on the Influence of Activities on Public Space Users' Descriptions of,Netherlands,park,survey,92,"Amsterdam Oosterpark 두 하위구역(S1 대형 개방 잔디밭·S2)의 실제 현장 청각환경 — 이용자가 자유기술한 음원(직접적 인간음 우세), 별도 음향 실측 없음",activity; social; staying,자기기술한 공원 내 활동을 사회적 상호작용 수준(solitary vs socially interactive)과 의미범주로 open coding 분류,self-report,reverse,"활동의 사회적 상호작용 수준이 이용자의 청각환경 기술에 관찰가능한 영향을 미쳐, 사회적 상호작용 활동군은 나열한 음원 종류와 구문(syntactic) 수준 기술에서 solitary 군과 달랐다",NR
532,db-search,532,FINAL_INCLUDE,2019,PEERJ,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons,Czech Republic,street,field-experiment,"87 (Experiment 1, 가을) + 65 (Experiment 2, 봄)",헤드폰 재생 birdsong soundtrack 56 dB(A) vs crowded city noise 53 dB(A) vs 무청취 real outdoor 3조건; 1.8 km 도시 보행 루트(구간별 traffic noise Lday 55-80 dB(A)),movement,8개 구간(45-100 m)의 평균 보행속도 — 허리 벨트에 장착한 비디오카메라 영상을 ELAN으로 구간 주석 처리해 산출,sensor-GPS-video,forward,"birdsong 청취는 보행속도를 낮췄으나 이 효과는 봄 실험에서만 유의했고, crowded city noise 조건과 real outdoor 조건 간 보행속도 차이는 유의하지 않았다",NR (two-way mixed ANOVA·Greenhouse-Geisser 보정 수행되었으나 발췌에 수치 없음)
539,db-search,539,FINAL_INCLUDE,2019,URBAN FORESTRY & URBAN GREENING,Factors associated with soundscape experiences in urban green spaces: A case study in Rost,Germany,park (four urban green spaces in Rostock),survey,400 (100 per site),everyday soundscape of green spaces designated quiet areas (Lden < 50 dB) characterised by 12 sounds including street traffic motorcycle noise bird song water sound and tree rustling,staying; activity; space-use,length of stay (<1 h / 1-3 h / >3 h); visit frequency; five visit motivations,self-report (on-site questionnaire),reverse,Among the social/demographic/behavioural factors length of stay was the one most associated with soundscape experience (especially perception of street traffic sound and bird song) and all five visit motivations were positively related to overall soundscape preference with 'Enjoy a quiet environment' the strongest (rho = 0.323).,Spearman rho = 0.323 for 'Enjoy a quiet environment' vs overall soundscape preference (other coefficients in tables not in excerpt)
560,db-search,560,FINAL_INCLUDE,2019,URBAN FORESTRY & URBAN GREENING,Perceptions and use of urban green spaces on the basis of size,Spain,park,survey,210,"Cáceres 대형(22.0·10.6 ha)·소형(0.5-3.2 ha) 도시 녹지의 소음 — 설문과 동시 실측한 Leq(binaural Noise Book·ISO 1996-2), 소음 짜증 8항목(도로교통·아이들·비명·공사·유지관리·동물·물)",activity; space-use; social,"녹지 내 활동 수행 빈도 6항목(reading·taking children outside·relaxing·exercising·walking·talking, 5점 Likert)",self-report,forward,"녹지 규모는 걷기·운동·휴식 빈도와 정적 상관을 보였고, 수목(groves) 존재는 두 유형 모두에서 신체활동을 촉진했으며 대기질과 소음 부재는 대형 공원의 휴식 활동에 기여했다",NR (다항 로지스틱 회귀 Table 3-4에 제시되나 발췌에 수치 없음)
562,db-search,562,SENS_ONLY,2019,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,"Recreational walking decisions in urban away-from-home environments: The relevance of air quality, noise, traffic, and the natural environment",USA,street (hypothetical leisure-time walking route to an unspecified destination in an unfamiliar city; attributes described in text within an online survey),"survey (online adaptive choice-based conjoint stated-preference study, Sawtooth Lighthouse 9.6.1)","501 participants (536 completed; 35 removed for stylistic responding; MTurk, quota-matched to 2017 US Census)","Text-described conjoint attributes with three levels each: noise level (low / medium / high) and noise source (traffic / people / construction), alongside air pollution level and source, natural environment, traffic and time/distance; no acoustic stimuli or sound measurements",movement,"Stated (intended) leisure-time walking route choice across ACBC tasks (build-your-own, 6-9 screening tasks, unacceptable / must-have questions, 10 three-option choice tasks), summarised as zero-centred hierarchical Bayes part-worth utilities per attribute level and relative attribute importance (%)",self-report (online stated-preference route choice tasks),forward,"Participants' intended route choice favoured low over medium over high noise with non-overlapping CIs, and noise level was the third most important attribute (17.04%), statistically on a par with traffic and natural environment but behind air pollution level; people noise was the most tolerated source and construction noise the least. Men placed more weight on noise level and regular leisure walkers more weight on noise source.","Table 3 part-worth utilities (text extraction appears to drop minus signs): noise level Low 45.85 (SD 36.87; 95% CI 42.62, 49.08), Medium 14.30 (SD 21.47; 12.42, 16.18), High 60.15 (SD 43.99; 64.00, 56.30); noise source Traffic 2.72 (SD 17.69; 4.27, 1.17), People 17.04 (SD 16.94; 15.56, 18.52), Construction 14.32 (SD 16.69; 15.78, 12.86). Relative importance: noise level 17.04% (95% CI 16.26, 17.82), noise source 6.23% (95% CI 5.92, 6.55); traffic vs noise level t = 0.63, p = .53; noise level vs natural environment t = 1.41, p = .19 (Section 4.2). Table 4: male gender -> noise level importance B = 3.48, SE 0.82, p < .001, R2 = 0.04; regular walking in leisure time -> noise source importance B = 1.05, SE 0.48, p = .03, R2 = 0.08"
566,db-search,566,FINAL_INCLUDE,2019,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention,Canada,park (pocket park - Parc du Portugal Montreal),mixed (soundscape intervention evaluated with questionnaires interviews behavioural observation and acoustic monitoring),NR (park users and non-users across five project phases; counts not in excerpt),Musikiosk - an unsupervised gazebo installation letting park users play their own audio content over publicly provided speakers during summer 2015,staying; social; space-use,behavioural observations of park use; activity categorisation before vs after installation; lingering interaction and sharing behaviours,observation (behavioural observation) plus self-report (questionnaires and interviews) plus acoustic monitoring,both,The user-controlled music installation increased social interaction and lingering behaviours and animated an underused section of the park without displacing existing users while perceived soundscape calmness and appropriateness were not affected.,NR
602,db-search,602,FINAL_INCLUDE,2020,BUILDING AND ENVIRONMENT,"Comparing associations among sound sources, human behaviors, and soundscapes on central bu",South Korea,street,mixed,120 soundscape data sets (CBD 48·commercial 72 sessions; 참가자 수 NR),"서울 8개 가로(CBD 3·상업 5)의 음환경 — 5분 바이노럴 녹음 기반 음향 파라미터(레벨·스펙트로-시간 특성), 설문상 음원 우세도 5점 척도(traffic·human·natural·music·others)",space-use,가로별 비디오 녹화 관찰로 산출한 crowd density(군집밀도),observation,reverse,"상업가로에서는 crowd density가 사운드스케이프 예측의 핵심 지표였고 인간활동 음이 Pleasantness와 Eventfulness를 함께 높인 반면, CBD에서는 교통소음 음향 파라미터가 지배적이어서 Eventfulness 증가가 Pleasantness 감소로 이어졌다",NR (Spearman correlation·예측모형 계수가 Table 2·4에 제시되나 발췌에 수치 없음)
617,db-search,617,FINAL_INCLUDE,2020,SUSTAINABILITY,Examining the Associations between Oases Soundscape Components and Walking Speed: Correlat,Algeria,street,field-observation,27,oasis soundscape components in 3 Algerian oases (Branis; Chetma; M'Chouneche) identified from binaural recordings at 738 stations and 6 soundwalk routes (18 sections); dominant sound category per section - anthrophony vs biophony vs geophony,movement,mean walking speed (m/s) per route section = distance / stopwatch-timed duration,observation (stopwatch-timed individual soundwalk with binaural recording),forward,Geophonic and biophonic sound dominance showed a moderate significant negative correlation with mean walking speed while human (anthrophonic) sound was identified as the cause of increased mean walking speed (one-way ANOVA + Tukey post hoc); no significant Spearman correlation for anthrophonic sounds,NR
661,db-search,661,FINAL_INCLUDE,2020,APPLIED SCIENCES-BASEL,The Influence of Noise Emitted by Vehicles on Pedestrian Crossing Decision-Making: A Study,Portugal,VR-lab,lab-VR-experiment,10,approaching-vehicle auditory condition in a virtual replica of two real streets: gasoline combustion engine noise vs electric vehicle noise vs no sound; controlled pass-by recordings at speeds <=30 km/h with 3 speed patterns (constant / slow down / stop),movement,percentage of crossings and crossing response time (moment participant indicated the decision to cross),sensor (VR simulator response logging),forward,Crossing decisions were driven mainly by vehicle distance and speed pattern with no apparent influence of the auditory condition (electric vs combustion vs silent) when the vehicle approached from a short distance without visual occlusion,NR
665,db-search,665,FINAL_INCLUDE,2020,BUILDING AND ENVIRONMENT,The effects of sounds and food odour on crowd behaviours in urban public open spaces,China,street,field-experiment,NR (numbers of behavioural observation samples per condition given in Table 1; not in excerpt),loudspeaker-played sound in a commercial pedestrian street: music (Annie's Wonderland; 100.99 bpm) vs fan sound (highest annoyance rating >6/7) vs no played sound; crossed with bakery food odour present vs absent,movement; staying; space-use,crowd path (ordinate y at path/longitudinal-line intersections = distance from sensory source); crowd walking speed; duration time per 3 m x 3 m grid,observation (covert behavioural observation on a gridded site),forward,Music significantly attracted crowd paths toward the source; reduced crowd speed (slower with greater proximity) and increased duration time; fan sound pushed paths away; increased speed and decreased duration; bakery odour drew paths closer under both sounds and significantly increased duration; sound x odour interaction on speed and duration was not significant,NR
666,db-search,666,FINAL_INCLUDE,2020,LANDSCAPE AND URBAN PLANNING,The influence of human behavioral characteristics on soundscape perception in urban parks:,France (공원 촬영지); 실험실 소재 국가 NR,VR-lab,lab-VR-experiment,"30 (male 17·female 13, mean age 25.2, SD 2.11)",파리 3개 공원(Arènes de Lutèce·Champ de Mars·Jardin des Tuileries) 12개 지점의 360도 오디오-비주얼 VR 자극(지점별 30초 간격 5개 시점) — 음원 요소 traffic·humans·birdsong·water 지각 평가,social; staying; activity; space-use,"영상 관찰로 정량화한 인간 행태 특성 — 사회적 상호작용(alone vs group), 체류 조건(공원 내 체류 vs 통과), 활동 유형(walking·jogging/running 등)별 인원수",observation,reverse,"다른 사람이 내는 소리는 지각된 tranquility·peacefulness를 낮추고 dynamic·lively 경험을 높였으며, 공원 선호의 1차 결정요인은 활동 유형이 아니라 사람의 유무였다",NR (two-way ANOVA·PCA 수행되었으나 발췌에 수치 없음)
694,db-search,694,FINAL_INCLUDE,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Associations between Personal Attitudes towards COVID-19 and Public Space Soundscape Asses,Belgium,park,survey,109,"Ring road 고속도로 교통소음이 지배적인 녹지 자전거·보행로, LA,50 62-65 dBA, 식생 berm 방음·조경 개입 구간",movement; space-use,자기보고 코로나 대응 행태 변화(대중교통 이용 감소·자전거 이용 증가·공공장소 회피)와 공공공간 환경질 중요도 변화,self-report (현장 인터셉트 설문 + 음압레벨 실측),reverse,"대중교통을 피하고 자전거를 더 타는 등 실제로 행태를 바꾼 응답자는 같은 장소의 사운드스케이프를 덜 vibrant/exciting 하게 평가했고, 팬데믹 우려가 큰 집단은 자연음과 인근 도로 교통음을 더 많이 지각했다",NR
709,db-search,709,FINAL_INCLUDE,2021,PEOPLE AND NATURE,Ecosystem services enhanced through soundscape management link people and wildlife,USA,"recreation (Muir Woods National Monument, California; 559-acre old-growth coast redwood forest trail system, ~0.6 km main-trail segment with 19 mitigation signs; >1 million visitors per year)","field-experiment (non-randomised paired week-on/week-off signage manipulation over 10 weekly blocks, 14 March-22 May 2016; continuous acoustic recording, calibrated trail counters, walking-speed timing and visitor-intercept survey)","537 survey respondents (55% response; analytic subsets 240 / 434-453 / 453-535); 1,932 timed walking-speed observations (958 sign absent, 974 sign present); acoustic unit: 13 ARUs, 14,040 measured hours (792 site-days in Wilcoxon test; 3,650 hourly observations from 5 counter-ARU pairs in GAM)","Reverse: educational A-frame signs (e.g. 'Enter Quietly') asking visitors to speak softly, mute phones/electronics and have children walk quietly, placed in alternating weekly blocks (existing quiet signage covered in sign-absent weeks); hourly visitor counts from calibrated trail counters. Acoustic outcome: hourly and daily-averaged background L50 dB(A) from 13 Roland R-05 acoustic recording units 2-250 m from the trails (05:00-21:00). Soundscape perception outcomes: self-reported ability to hear natural sounds, perceived number of bird types, and 6-point soundscape pleasantness (the latter modelled on hourly L50).",movement; space-use,"Visitor walking speed (m/s) timed between visual markers on 9 trail walkways (23.6-59.1 m); hourly visitor count on the trail (log10, calibrated counters) as the crowd/visitation predictor of sound level; the sign-prompted quiet behaviour itself (voice level, electronics use) was not directly measured",observation (stopwatch timing of identified visitors between markers); sensor-GPS-video (calibrated trail counters for visitor counts); self-report (on-site visitor-intercept tablet survey for soundscape perception),both,"Quiet-behaviour signage lowered daily-averaged L50 from 40.8 to 39.6 dB(A) (-1.19 dB(A)), and sound level rose more slowly with visitor numbers when signs were present (500 visitors: 44.0 vs 38.4 dB(A)), an acoustic equivalent of a 20.6% reduction in visitation. Walking speed did not differ between sign-absent and sign-present blocks (1.03 vs 1.01 m/s). Reported ability to hear natural sounds did not differ by treatment, but visitors perceived more bird diversity under mitigation and higher hourly L50 lowered the probability of a 'very pleasant' soundscape rating.","§3.1: daily L50 signs absent 40.8 ± 0.13 vs present 39.6 ± 0.12 dB(A) (mean ± SE), Wilcoxon rank-sum n = 792, W = 85,337, p = 0.016; GAM n = 3,650: log10Visitor Count β = 2.39, F = 880.7, df = 1, p < 0.001; s(Hour, df = 4) β = -0.14, F = 103.8, df = 1, p < 0.001; Treatment β = -0.49, F = 19.1, df = 1, p < 0.001 (Figure 2a). §3.3: walking speed 1.03 ± 0.02 vs 1.01 ± 0.02 m/s, Kruskal-Wallis χ2 = 3.2, df = 1, p = 0.08; ability to hear natural sounds by treatment β = -0.08 ± 0.16, p > 0.05, 95% CI -0.3 to 0.22 (Table 2, n = 199 vs 254); perceived bird types treatment × species β = 0.30 ± 0.14, p = 0.03, 95% CI 0.03-0.60 (n = 240); pleasantness ~ hourly L50 β = -0.18 ± 0.07, p = 0.01, 95% CI -0.32 to -0.04 (n = 453)."
713,db-search,713,FINAL_INCLUDE,2021,APPLIED ACOUSTICS,Effects of environmental sound quality on soundscape preference in a public urban space,China (Hong Kong),"park (Sha Tin Park, Hong Kong - 8.05 ha riverside urban park; five locations: North garden, South garden, South garden entrance and two children's playgrounds)",survey (on-site objective acoustic and psychoacoustic measurement at five locations + self-administered visitor questionnaire on one weekday),150 visitors (30 per location x 5 locations),"Reverse: self-reported visit behaviour (visit frequency, duration of stay, aim of visit) as predictors of soundscape evaluation. Acoustic environment: 10-min Bruel & Kjaer 2270 measurements per location of LZeq, LAeq, LZmax, LAmax, LA10/LA50/LA90, LA10-LA90, and psychoacoustic Neq, Nmax (ISO 532-1) and Seq (Table 2); outcomes: pleasantness, loudness, sound variation and satisfaction ratings, preferences for 11 sound elements and overall preference for a good soundscape (1-5 semantic differential)",space-use; staying,"Self-reported visit frequency (ordinal 1 = monthly to 4 = every day), duration of stay (<30, 30-60, 60-120, >120 min) and aim of visit (reported descriptively only: playing with children 32.0%, sports 24.7%, rest 14.6%)",self-report (questionnaire Part I),reverse,"Visit frequency was retained, together with perceived pleasantness and preference for natural sounds, as a positive predictor of overall preference for a good soundscape (beta = 0.18), i.e. more frequent park users expressed stronger preference for a good soundscape, whereas visit frequency and duration of stay were not retained as predictors of soundscape satisfaction. Playgrounds, where human activity raised LAmax and lowered sharpness, were perceived as louder and less satisfying than gardens.","Table 7 stepwise linear regression of overall preference for a good soundscape (n = 150): Visit frequency B = 0.17 (SEB 0.07), 95% CI [0.03, 0.32], b = 0.18, p = 0.017; model R2 = 0.22, F (3146) = 13.9, p < 0.001. Section 3.2: gender, visit frequency, duration of staying and sound variation perception excluded from the satisfaction regression (p >= 0.05; values NR)"
724,db-search,724,FINAL_INCLUDE,2021,EMOTION SPACE AND SOCIETY,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festival in Ital,Italy,street,mixed,120 (축제 당일 인터뷰 참여자; bearers·non-bearers),"Gigli di Nola 축제 사운드스케이프 — Macchine 인근과 관람 동선에서 바이노럴 녹음(LAmin·LAeq·LAmax·percentile), 베이스드럼 120-150 Hz 대역 필터로 추출한 약 108 bpm의 2/4 및 6/8 리듬",movement; social; activity; space-use,"bearers의 공간 기동(marcia·mezzo·girata 등 Giglio 전진·회전 동작)과 박자 대응 관계, non-bearers의 축제 참여·동선 — 현장노트·사진·스펙트로그램 대조로 기록",observation,both,"약 108 bpm(Andante)의 음악 리듬이 bearers의 기동과 행렬 진행을 유도하고 사운드스케이프가 축제 분위기를 지배해 bearers·non-bearers 행태에 영향을 미치는 한편, 참여자들의 행위가 그 사운드스케이프를 만들어내는 상호구성 관계가 확인되었다","NR (약 108 bpm·LAeq 변동은 Fig. 7로만 제시, 통계 검정 없음)"
725,db-search,725,FINAL_INCLUDE,2021,FRONTIERS IN PUBLIC HEALTH,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spaces During,China,park,survey,628,perceived quality/quantity of urban green space soundscape rated on a 5-point Likert scale as one of 15 UGS component items (landscape characteristics block) during the COVID-19 pandemic,space-use; activity,frequency of visits; duration of visits; activity intensity,self-report,forward,Soundscape (together with green space access and maintenance) significantly predicted perceived physical/mental/social health benefits; but use behaviours (visit frequency; duration; activity intensity) were determined mainly by sociodemographic context and only weakly by UGS components; with place attachment mediating effects on visit frequency and duration,NR
726,db-search,726,FINAL_INCLUDE,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Forest Therapy Alone or with a Guide: Is There a Difference between Self-Guided Forest The,South Korea,"campus (충북대 캠퍼스 숲 약 315,000 m2 · 1.7 km 루프 탐방로)",field-experiment (무작위 배정 2군 8주 8회 개입 + 에세이 질적 내용분석 NVivo 12.0 · 카이제곱 검정),37 (자율형 19·안내형 18; 에세이 111편; 평균 21.4세),산림치유 활동 유형 — 자율형(가이드 없이 1.7 km 루프 단독 보행·스트레칭·호흡·명상) vs 안내형(치료사 인솔 집단활동: 숲길 걷기·맨발 걷기·포크댄스·오리엔티어링·로프게임); 음환경은 별도 측정 없이 에세이 내 청각요소(새소리·바람소리·낙엽 밟는 소리) 언급으로 포착,activity; movement; social,무작위 배정된 산림활동 유형(단독 자율 보행 vs 집단 가이드 활동)과 에세이에 보고된 사회적 상호작용 범주 언급 빈도,self-report (자기보고 에세이 내용분석) + 무작위 배정 프로토콜,reverse,"단독 자율형 보행군은 청각요소(새소리·낙엽 밟는 소리)를 치유인자로 언급한 비율이 47.4%로 안내형 집단활동군 20.4%보다 유의하게 높아 활동 형태가 옥외 사운드스케이프 지각의 현저성을 좌우했고, 반대로 안내형 집단활동군은 사회적 상호작용 언급이 48.1% 대 8.8%로 우세했다","auditory element 47.4% (27/57) vs 20.4% (11/54), chi2 = 8.977, p = 0.003, Cramer's V = 0.284 (moderate); social interaction 8.8% vs 48.1%, chi2 = 21.360, p < 0.001, V = 0.439; introspection 63.2% vs 37.0%, chi2 = 7.569, p = 0.006"
732,db-search,732,FINAL_INCLUDE,2021,BUILDING AND ENVIRONMENT,Investigating contextual influences on urban soundscape evaluations with structural equati,Canada,square/park/street,survey,1429,몬트리올 도심 4개 공공공간(Public Square·Pocket Park·Green Park·Pedestrian Zone)의 현장 음환경 — 들린 음원 자유응답·SSQP 8개 척도·Loudness·Appropriateness·Restorativeness 평가(개입 없음),social; space-use,자기보고 사회적 상호작용(혼자 방문 vs 그룹 방문 이분변수)과 방문 중 수행 활동(자유응답),self-report (현장 인터셉트 설문),reverse,"그룹으로 공공공간을 이용한 사람은 혼자인 사람보다 사운드스케이프를 더 pleasant하고 덜 eventful하게 평가했으며, 젊을수록·여성·외향적일수록 그룹으로 공간을 점유하는 경향이 컸다",NR (CFA 표준화 부하량 0.28-0.75만 발췌에 제시·그룹 여부 관련 SEM 경로계수는 발췌에 없음)
746,db-search,746,FINAL_INCLUDE,2021,TRAVEL BEHAVIOUR AND SOCIETY,"Perception of the built environment and walking in pericentral neighbourhoods in Santiago,",Chile,street,survey,120,"산티아고 6개 도심인접(pericentral) 근린 보행경로의 환경요소 — 교통소음·자동차 통행이 주요 부정 요소, 가로수·넓은 보도·활성 용도가 긍정 요소(음압레벨 실측 없음)",movement; activity,"walking interview(고얼롱) 중 자기보고한 보행 용이·방해 요인, 경로 선택과 회피, 유발 정서",self-report (이동 중 질적 인터뷰),forward,"교통소음은 자동차 통행·좁고 훼손된 보도·어려운 횡단과 함께 보행을 방해하는 요소로 보고되었고 스트레스·공포·분노를 유발했으며, 특히 고령자와 여성에서 두드러졌다",NR (질적 연구·발췌에 통계량 없음)
760,db-search,760,FINAL_INCLUDE,2021,International Journal of Human Capital in Urban Management,Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method and Kano Model,Iran,square/street,mixed,129,"시라즈 Zandieh 역사도심 공공공간의 음원 — 자연·인공·인간 음원 분류, 지하도 환기팬 소음과 가로 교통소음이 지배적, 사운드워크 기반 sound map·noise map 작성",space-use; staying,음원 근접도에 따른 이용자 행태 관찰(평일 오전·정오·야간 각 20분씩 3회 관찰·behavioral pattern 도면화),observation (+ narrative interview·Kano 설문),forward,"이용자의 69%가 지하도 환기팬 등 소음을 가장 크게 지각해 공간 수용성이 낮아졌고 음원 근접도에 따라 관찰된 행태 패턴이 달라졌으며, 59%가 자연음을 76%가 정온함을 선호한 반면 vibrant 공간 선호는 11%에 그쳤다",descriptive only: 69% perceive underpass fan noise most; 59% prefer natural over human sounds; 76% prefer tranquillity; 11% prefer vibrant space; questionnaire Cronbach alpha = 0.805
761,db-search,761,FINAL_INCLUDE,2021,FORESTS,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Recreational,China,park,survey,2034,22 sounds regularly heard in 6 urban recreational forest parks - natural (birds; insects; dogs; ducks; leaves; wind; water); artificial (mowing; construction; engines; bicycles; speech; children; footsteps; diabolo; trains; automobiles; motorbikes) and musical (square dancing; broadcast music; singing; instruments) - each rated for perceived occurrence; loudness and preference,staying; activity; social; space-use,length of stay in the park; visit frequency; park familiarity; presence of companions; type of recreational activity,self-report,reverse,The longer attendees remained in the park the more positive their overall soundscape preference; having companions and specific types of recreational use increased the frequent perception of artificial sounds; and greater park familiarity and older age raised tolerance toward sounds others find annoying,NR
762,db-search,762,FINAL_INCLUDE,2021,FRONTIERS IN PSYCHOLOGY,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lock,Spain,square,natural-experiment,"50 recording days (69-day period); expert raters N = 11 (pleasantness/eventfulness), N = 12 (sound event annotation)","COVID-19 락다운 3단계에 따른 근린 광장 음환경 변화 — 5분 현장 녹음, Loudness·Acoustic Complexity·Acoustic Richness, Natural/Human/Technological 음원 분류",movement; space-use; activity; social,"지각된 인간 음원(대화·보행음) 비중, 자동차 대비 personal mobility device 음원 비중, 관찰 일지·사진에 기록된 거리 활동",observation + sensor (오디오 녹음·사진·일지) + 전문가 지각평가,reverse,"옥외 인간활동의 중단과 재개가 사운드스케이프를 좌우해 Eventfulness·Acoustic Complexity·Acoustic Richness는 기간 중 유의하게 증가하고 Technological sounds는 감소했으며, 3단계의 거리생활 복귀와 개인이동수단 확산이 Eventfulness·Loudness 증가를 이끌었다",NR (유의 증가로만 보고·발췌에 통계량 없음)
791,db-search,791,FINAL_INCLUDE,2022,SENSORS,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus,Spain,campus (말라가대학교 Teatinos 캠퍼스 옥외 0.71 km² — 캠퍼스 가로·학부 건물 주출입구 4개 지점),observational,"NR (개인 표본 없음; 센서 4대·61일(2019-01-09~03-09), 평일 일평균 검출기기 19,548–22,877대)","센서 내장 사운드미터(BENE TECH GM1356, 30–130 dB)로 1분 단위 Leq 산출한 캠퍼스 환경소음; 주 소음원은 교내 통행·도로교통, 말라가시 조례 기준(야간 50 dB·주간 60 dB) 초과 상태",movement; space-use,"Bluetooth·Wi-Fi MAC 주소 비참여 탐지 기반 통행 계측 — 10분 단위 검출 기기 수(요일·시간대별), 센서 간 이동 플로우 4종(Flow A–D)의 시간대 분포, 이동 속도",observation,reverse,"인원 검출량과 이동 플로우가 8:30·14:00·19:30에 피크를 보였고 다항곡선 적합한 소음 레벨의 극대·극소가 동일 시간대에 나타나, 캠퍼스 소음의 주 원천이 사람들의 통행(도로교통)이라고 결론; 통계적 상관계수는 제시하지 않음","average speed of the human flows 2.95 m/s (10.62 km/h), highest tracked flow 13.1 m/s (47.2 km/h); noise levels higher than 50 dB during the night and higher than 60 dB during the day; Wi-Fi devices/day 19,803.1(Mon)–23,655.2(Fri) vs 12,790.6 (Sun & Holi)"
799,db-search,799,FINAL_INCLUDE,2022,APPLIED SCIENCES-BASEL,Analysis of the Effects and Causes of Driver Horn Use on the Acoustic Environment at Urban,Taiwan,street,field-observation,"3개 교차로 x 각 평일 1일·주말 1일, 07:00-19:00 12시간 측정(교통량은 매시 10분 영상 계수)","운전자 경적(horn) 사용, 도로교통소음 A-weighted SPL(LAeq,10min·LAmax), 차종별 교통량, 신호주기·녹색신호 phase",social; movement,"경적 취명 빈도와 신호주기 내 취명 시점, 좌회전 진입 후 취명, 선행차 출발 대기시간(4초 초과), 차종별(오토바이·표준·대형) 통행량",observation (2대 camcorder 영상 계수) + sensor (RION NL-52 소음계; AS-60로 경적 시점 추출),reverse,"경적 사용은 표준차량 교통량과 정적 관계를 보였고 녹색신호 후 선행차가 4초 넘게 정지해 있을 때 좌회전 진입 후 집중적으로 취명됐으며, 경적 빈도가 증가할수록 LAmax가 상승한 반면 LAeq,10min은 경적과 무관하고 오토바이 교통량에 따라 증가했다","NR (다중회귀에서 LAmax가 경적 빈도와 함께 증가, 차종별 교통량-경적 빈도 상관계수는 Table 5에 제시되나 발췌에 수치 없음)"
804,db-search,804,FINAL_INCLUDE,2022,FORESTS,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Parks in Chi,China,park,survey,NR,stated preference for 16 sounds heard in Beigushan urban forest park - natural (wind; birdsong; insects; rustling leaves; water flow); human activity (conversation; children playing; footsteps; exercise sound) and artificial (traffic; entertainment; device music; construction; machine; broadcast) - on a 5-point scale (-2 to +2),activity; movement,exercise form (slow walking; running; brisk walking; fitness equipment use); exercise intensity; exercise duration; exercise frequency; exercise location; non-exercise activity types,self-report,reverse,Exercise behaviour differentiated soundscape preference - people who slowly walk; run and briskly walk showed stronger preference for natural soundscape while fitness-equipment users were more inclusive of human activity sounds - and exercise intensity and frequency significantly affected audio-visual preferences; whereas overall soundscape preference had only a weak direct effect on exercise feelings (natural sound still positive),NR
818,db-search,818,SENS_ONLY,2022,LAND,Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in L,China,recreation,survey,510 valid (550 distributed; 92.7% return rate),soundscape perception of a national forest park as a second-order construct with three subdimensions - physical (PSP); psychological (SSP) and regional (RSP) soundscape perception - 13 items on a 5-point Likert scale; park contains both natural and humanistic soundscapes,social,tourists' environmentally responsible behaviour (ERB) including high-effort ERB (HERB); self-report scale adapted from Cheng; items in Appendix A and not shown in excerpt,self-report,forward,Place attachment mediated the effect of all three soundscape perception subdimensions on high-effort environmentally responsible behaviour and enhancement of psychological soundscape perception (SSP) fostered tourists' ERB via a significant indirect effect,three-factor SP solution explained 67.966% of variance; Cronbach's alpha 0.788-0.828; standardized factor loadings 0.536-0.918; structural model chi2 = 654.856; path coefficients NR (Table 6 not in excerpt)
