tier,route,freq,doi,year,journal,cited_by,title
T4-low,backward,3,10.1249/mss.0b013e31817c67a4,2008,Medicine & Science in Sports & Exercise,1911,Built Environment Correlates of Walking
T4-low,backward,3,10.1177/00139160121973115,2001,Environment and Behavior,1162,The Nature of the View from Home
T4-low,backward,3,10.1016/j.landurbplan.2021.104217,2021,Landscape and Urban Planning,841,Street view imagery in urban analytics and GIS: A review
T4-low,backward,3,10.1289/ehp.00108s1123,2000,Environmental Health Perspectives,794,Noise exposure and public health.
T4-low,backward,3,10.1121/1.382013,1978,The Journal of the Acoustical Society of America,699,Synthesis of social surveys on noise annoyance
T4-low,backward,3,10.1016/j.physbeh.2013.05.023,2013,Physiology & Behavior,637,Inducing physiological stress recovery with sounds of nature in a virtual reality forest — Results from a pilot study
T4-low,backward,3,10.1016/j.ufug.2020.126888,2020,Urban forestry & urban greening,622,Effects of the COVID-19 pandemic on the use and perceptions of urban green space: An international exploratory study
T4-low,backward,3,10.1006/jevp.1997.0051,1997,Journal of Environmental Psychology,509,REFLECTION AND ATTENTIONAL RECOVERY AS DISTINCTIVE BENEFITS OF RESTORATIVE ENVIRONMENTS
T4-low,backward,3,10.1080/13658816.2019.1643024,2019,International Journal of Geographical Information Systems,418,A human-machine adversarial scoring framework for urban perception assessment using street-view images
T4-low,backward,3,10.1021/es305019p,2013,Environmental Science & Technology,411,Viewing Nature Scenes Positively Affects Recovery of Autonomic Function Following Acute-Mental Stress
T4-low,backward,3,10.1121/1.424662,1999,The Journal of the Acoustical Society of America,341,Demographic and attitudinal factors that modify annoyance from transportation noise
T4-low,backward,3,10.1016/j.landurbplan.2012.12.013,2013,Landscape and Urban Planning,337,Associations between park characteristics and perceived restorativeness of small public urban green spaces
T4-low,backward,3,10.2307/3454637,2000,Environmental Health Perspectives,304,Noise Exposure and Public Health
T4-low,backward,3,10.1121/1.410457,1994,The Journal of the Acoustical Society of America,252,<i>Auditorium Acoustics and Architectural Design</i>
T4-low,backward,3,10.1037/0033-2909.85.1.117,1978,Psychological Bulletin,245,Personal space: An evaluative and orienting overview.
T4-low,backward,3,10.1016/j.apacoust.2012.06.011,2012,Applied Acoustics,225,Experimental analysis on the noise of propellers for small UAV
T4-low,backward,3,10.1016/j.envpol.2014.08.015,2014,Environmental Pollution,193,"The impact of an urban park on air pollution and noise levels in the Mediterranean city of Tel-Aviv, Israel"
T4-low,backward,3,10.1121/1.3567073,2011,The Journal of the Acoustical Society of America,180,Effects of natural sounds on the perception of road traffic noise
T4-low,backward,3,10.1016/s0003-682x(03)00061-6,2003,Applied Acoustics,156,Ambient sound assessment of urban environments: field studies in two French cities
T4-low,backward,3,10.1121/1.1350402,2001,The Journal of the Acoustical Society of America,146,Psychoacoustic correlates of individual noise sensitivity
T4-low,backward,3,10.1080/01426397.2014.894006,2014,Landscape Research,131,Identifying Features of Pocket Parks that May Be Related to Health Promoting Use
T4-low,backward,3,10.1016/j.landurbplan.2014.02.001,2014,Landscape and Urban Planning,127,The effects of audio–visual factors on perceptions of environmental noise barrier performance
T4-low,backward,3,10.1016/j.landurbplan.2019.103593,2019,Landscape and Urban Planning,121,Sensitivity analysis of changes in human physiological indicators observed in soundscapes
T4-low,backward,3,10.1080/01426399208706361,1992,Landscape Research,111,Audio‐visual interactions and soundscape preferences
T4-low,backward,3,10.3390/app7060627,2017,Applied Sciences,108,Spatial Audio for Soundscape Design: Recording and Reproduction
T4-low,backward,3,10.1016/j.scitotenv.2015.03.128,2015,The Science of The Total Environment,106,Audio-visual interactions in environment assessment
T4-low,backward,3,10.1016/j.ecolmodel.2006.02.001,2006,Ecological Modelling,106,Measurement and evaluation of interactions in complex urban ecosystem
T4-low,backward,3,10.1037/cjep2007006,2007,Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale,104,Categorization of environmental sounds.
T4-low,backward,3,10.3390/environments5010001,2017,Environments,91,Audio-Visual Preferences and Tranquillity Ratings in Urban Areas
T4-low,backward,3,10.1080/02642069.2017.1382479,2017,Service Industries Journal,80,Soundscape and its influence on tourist satisfaction
T4-low,backward,3,10.2466/06.50.pms.116.3.992-1019,2013,Perceptual and Motor Skills,63,Environmental Factors Influencing Pedestrian Walking Speed
T4-low,backward,3,10.1362/026725708x326002,2008,Journal of Marketing Management,63,Using music to influence cognitive and affective responses in queues of low and high crowd density
T4-low,backward,3,10.1016/j.apacoust.2016.04.020,2016,Applied Acoustics,62,Soundscape evaluation in Han Chinese Buddhist temples
T4-low,backward,3,10.1080/01490400.2014.888022,2014,Leisure Sciences,62,Human Responses to Simulated Motorized Noise in National Parks
T4-low,backward,3,10.1016/j.scitotenv.2013.07.026,2013,The Science of The Total Environment,59,Assessment of rural soundscapes with high-speed train noise
T4-low,backward,3,10.1016/j.ufug.2021.127090,2021,Urban forestry & urban greening,52,Audio-visual interactions enhance soundscape perception in China’s protected areas
T4-low,backward,3,10.1016/j.scitotenv.2013.10.107,2013,The Science of The Total Environment,46,Soundscape in the sustainable living environment: A cross-cultural comparison between the UK and Taiwan
T4-low,backward,3,10.1016/j.apacoust.2016.03.011,2016,Applied Acoustics,44,The effect of sound level on perception of reproduced soundscapes
T4-low,backward,3,10.3390/ijerph16101845,2019,International Journal of Environmental Research and Public Health,44,The Influence of Audio-Visual Interactions on Psychological Responses of Young People in Urban Green Areas: A Case Study in Two Parks in China
T4-low,backward,3,10.1080/00224545.1971.9922469,1971,The Journal of Social Psychology,42,The Pace of Life and Sensitivity to Time in Urban and Rural Settings: A Preliminary Study
T4-low,backward,3,10.1016/0022-460x(83)90680-6,1983,Journal of Sound and Vibration,33,Traffic noise annoyance and noise sensitivity in persons with normal and impaired hearing
T4-low,backward,3,10.1121/1.5102164,2019,The Journal of the Acoustical Society of America,30,Soundscape evaluation: Binaural or monaural?
T4-low,backward,3,10.1016/j.cities.2024.105573,2024,Cities,29,Pedaling through the cityscape: Unveiling the association of urban environment and cycling volume through street view imagery analysis
T4-low,backward,3,10.1121/1.4979335,2017,The Journal of the Acoustical Society of America,26,Perceptions and effects of the acoustic environment in quiet residential areas
T4-low,backward,3,10.1016/j.cities.2018.06.020,2018,Cities,26,Perceptual studies on air quality and sound through urban walks
T4-low,forward,3,10.1007/s40726-023-00283-6,2023,Current Pollution Reports,24,Adoption of ISO/TS 12913-2:2018 Protocols for Data Collection From Individuals in Soundscape Studies: an Overview of the Literature
T4-low,backward,3,10.1177/0305735614543216,2014,Psychology of Music,22,Speeding up the tempo of background sounds accelerates the pace of behavior
T4-low,backward,3,10.3390/su11113000,2019,Sustainability,21,The Effect of Soundscapes and Lightscapes on the Perception of Safety and Social Presence Analyzed in a Laboratory Experiment
T4-low,forward,3,10.1007/s44327-024-00036-0,2024,Discover Cities,7,A review of tools and techniques for audio-visual assessment of urbanscape
T4-low,forward,3,10.1016/j.apacoust.2025.111052,2025,Applied Acoustics,4,Emotional impact of the number and combination of sound sources in green and blue spaces: An auditory study
T4-low,backward,2,10.1177/002224378101800104,1981,Journal of Marketing Research,69320,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error
T4-low,backward,2,10.1016/0198-9715(90)90050-4,1990,Computers Environment and Urban Systems,65684,Statistical power analysis for the behavioral sciences
T4-low,backward,2,10.1007/bf02723327,1988,Journal of the Academy of Marketing Science,20722,On the evaluation of structural equation models
T4-low,backward,2,10.1037/h0077714,1980,Journal of Personality and Social Psychology,16101,A circumplex model of affect.
T4-low,backward,2,10.2307/794509,1962,The Yale Law Journal,9182,The Death and Life of Great American Cities
T4-low,backward,2,10.1016/s1361-9209(97)00009-6,1997,Transportation Research Part D Transport and Environment,4481,"Travel demand and the 3Ds: Density, diversity, and design"
T4-low,backward,2,10.1016/j.landurbplan.2014.01.017,2014,Landscape and Urban Planning,4220,"Urban green space, public health, and environmental justice: The challenge of making cities ‘just green enough’"
T4-low,backward,2,10.1016/j.landurbplan.2007.02.001,2007,Landscape and Urban Planning,2798,Promoting ecosystem and human health in urban areas using Green Infrastructure: A literature review
T4-low,backward,2,10.1093/ageing/26.1.15,1997,Age and Ageing,2345,Comfortable and maximum walking speed of adults aged 20—79 years: reference values and determinants
T4-low,backward,2,10.1177/0013916508318748,2008,Environment and Behavior,1910,The Nature Relatedness Scale
T4-low,backward,2,10.1006/jevp.2001.0227,2001,Journal of Environmental Psychology,1894,"THE STRUCTURE OF ENVIRONMENTAL CONCERN: CONCERN FOR SELF, OTHER PEOPLE, AND THE BIOSPHERE"
T4-low,backward,2,10.1016/s0749-3797(02)00475-0,2002,American Journal of Preventive Medicine,1890,How the built environment affects physical activity
T4-low,backward,2,10.1177/146613810343007,2003,Ethnography,1850,Street Phenomenology
T4-low,backward,2,10.1021/es903183r,2010,Environmental Science & Technology,1580,What is the Best Dose of Nature and Green Exercise for Improving Mental Health? A Multi-Study Analysis
T4-low,backward,2,10.1016/j.amepre.2004.10.018,2005,American Journal of Preventive Medicine,1506,Increasing walking
T4-low,backward,2,10.1080/13574800802451155,2008,Journal of Urban Design,1476,Measuring the Unmeasurable: Urban Design Qualities Related to Walkability
T4-low,backward,2,10.1080/01490409209513155,1992,Leisure Sciences,1395,Beyond the commodity metaphor: Examining emotional and symbolic attachment to place
T4-low,backward,2,10.1126/science.167.3924.1461,1970,Science,1266,The Experience of Living in Cities
T4-low,backward,2,10.1068/a35111,2003,Environment and Planning A Economy and Space,1255,Natural Environments—Healthy Environments? An Exploratory Analysis of the Relationship between Greenspace and Health
T4-low,backward,2,10.1177/0013916581135001,1981,Environment and Behavior,1241,Natural Versus Urban Scenes
T4-low,backward,2,10.1146/annurev-soc-070308-120011,2010,Annual Review of Sociology,1241,Social Relationships and Health Behavior Across the Life Course
T4-low,backward,2,10.3390/ijerph10030913,2013,International Journal of Environmental Research and Public Health,1206,What are the Benefits of Interacting with Nature?
T4-low,backward,2,10.1016/j.healthplace.2008.09.006,2008,Health & Place,1192,Social contacts as a possible mechanism behind the relation between green space and health
T4-low,backward,2,10.1016/j.jenvp.2005.07.001,2005,Journal of Environmental Psychology,1173,Exposure to restorative environments helps restore attentional capacity
T4-low,backward,2,10.1016/j.landurbplan.2011.12.015,2012,Landscape and Urban Planning,1121,More green space is linked to less stress in deprived communities: Evidence from salivary cortisol patterns
T4-low,backward,2,10.1093/bmb/ldg033,2003,British Medical Bulletin,1117,Noise pollution: non-auditory effects on health
T4-low,backward,2,10.1371/journal.pone.0010047,2010,PLoS ONE,1109,The Walking Behaviour of Pedestrian Social Groups and Its Impact on Crowd Dynamics
T4-low,backward,2,10.1080/00958960109598658,2001,The Journal of Environmental Education,1107,Place Attachment and Environmentally Responsible Behavior
T4-low,backward,2,10.1016/j.healthplace.2008.05.003,2008,Health & Place,1089,Come take a walk with me: The “Go-Along” interview as a novel method for studying the implications of place for health and well-being
T4-low,backward,2,10.1016/j.apgeog.2010.09.005,2010,Applied Geography,1058,"The walking interview: Methodology, mobility and place"
T4-low,backward,2,10.1007/s40471-015-0043-7,2015,Current Epidemiology Reports,996,A Review of the Health Benefits of Greenness
T4-low,backward,2,10.1016/j.jenvp.2013.12.005,2013,Journal of Environmental Psychology,995,The influence of urban green environments on stress relief measures: A field experiment
T4-low,backward,2,10.1078/1618-8667-00019,2003,Urban forestry & urban greening,973,Landscape planning and stress
T4-low,backward,2,10.1016/j.landurbplan.2009.10.012,2009,Landscape and Urban Planning,899,The relation between perceived sensory dimensions of urban green space and stress restoration
T4-low,backward,2,10.1207/s15326969eco0501_1,1993,Ecological Psychology,897,What in the World Do We Hear?: An Ecological Approach to Auditory Event Perception
T4-low,backward,2,10.1016/j.tourman.2012.09.003,2012,Tourism Management,887,Testing the dimensionality of place attachment and its relationships with place satisfaction and pro-environmental behaviours: A structural equation modelling approach
T4-low,backward,2,10.1289/ehp.01109409,2001,Environmental Health Perspectives,885,Annoyance from transportation noise: relationships with exposure metrics DNL and DENL and their confidence intervals.
T4-low,backward,2,10.1289/ehp.0901747,2010,Environmental Health Perspectives,877,Do the Health Benefits of Cycling Outweigh the Risks?
T4-low,backward,2,10.1080/01426397908705892,1979,Landscape Research,841,Visual landscapes and psychological well‐being
T4-low,backward,2,10.1016/j.jad.2012.03.012,2012,Journal of Affective Disorders,805,Interacting with nature improves cognition and affect for individuals with depression
T4-low,backward,2,10.1038/srep28551,2016,Scientific Reports,793,Health Benefits from Nature Experiences Depend on Dose
T4-low,backward,2,10.1016/j.landurbplan.2018.08.020,2018,Landscape and Urban Planning,774,Measuring human perceptions of a large-scale urban region using machine learning
T4-low,backward,2,10.1016/0272-4944(95)90016-0,1995,Journal of Environmental Psychology,764,Views to nature: Effects on attention
T4-low,backward,2,10.2307/40285811,1999,Music Perception An Interdisciplinary Journal,752,A Cross-Cultural Investigation of the Perception of Emotion in Music: Psychophysical and Cultural Cues
T4-low,backward,2,10.1111/j.1540-4560.2007.00497.x,2007,Journal of Social Issues,727,"Preference for Nature in Urbanized Societies: Stress, Restoration, and the Pursuit of Sustainability"
T4-low,backward,2,10.1016/s0140-6736(05)66660-3,2005,The Lancet,680,Aircraft and road traffic noise and children's cognition and health: a cross-national study
T4-low,backward,2,10.1080/23748834.2020.1780074,2020,Cities & Health,629,"The impact of COVID-19 on public space: an early review of the emerging questions – design, perceptions and inequities"
T4-low,backward,2,10.1177/0263276414548490,2014,Theory Culture & Society,605,Lively Infrastructure
T4-low,backward,2,10.1016/s0169-2046(02)00230-x,2002,Landscape and Urban Planning,573,The relationship of urban design to human health and condition
T4-low,backward,2,10.1016/j.landurbplan.2014.08.005,2014,Landscape and Urban Planning,566,"A dose of nature: Tree cover, stress reduction, and gender differences"
T4-low,backward,2,10.1016/j.envres.2020.110169,2020,Environmental Research,563,"Blue space, health and well-being: A narrative overview and synthesis of potential benefits"
T4-low,backward,2,10.1177/0013916506298794,2007,Environment and Behavior,532,Connectivity With Nature as a Measure of Environmental Values
T4-low,backward,2,10.1016/0037-7856(73)90020-6,1973,Social Science & Medicine (1967),497,Urban stress: Experiments on noise and social stressors
T4-low,backward,2,10.1016/j.envint.2020.105954,2020,Environment International,480,"Air pollution, physical activity and health: A mapping review of the evidence"
T4-low,backward,2,10.1289/ehp.1206154,2014,Environmental Health Perspectives,473,Environmental Burden of Disease in Europe: Assessing Nine Risk Factors in Six Countries
T4-low,backward,2,10.1016/j.envint.2003.12.001,2004,Environment International,468,Risk perception research: socio-cultural perspectives on the public experience of air pollution
T4-low,backward,2,10.3389/fpsyg.2013.00578,2013,Frontiers in Psychology,446,Does noise affect learning? A short review on noise effects on cognitive performance in children
T4-low,backward,2,10.1016/j.ufug.2016.06.008,2016,Urban forestry & urban greening,436,"The effects of naturalness, gender, and age on how urban green space is perceived and used"
T4-low,backward,2,10.1371/journal.pone.0087422,2014,PLoS ONE,419,Opportunity or Orientation? Who Uses Urban Parks and Why
T4-low,backward,2,10.1016/j.landurbplan.2016.07.002,2016,Landscape and Urban Planning,403,Measuring walkability for distinct pedestrian groups with a participatory assessment method: A case study in Lisbon
T4-low,backward,2,10.1016/j.ecolind.2011.05.006,2011,Ecological Indicators,403,Monitoring animal diversity using acoustic indices: Implementation in a temperate woodland
T4-low,backward,2,10.1111/j.1467-9450.1996.tb00670.x,1996,Scandinavian Journal of Psychology,398,Environmental influences on psychological restoration
T4-low,backward,2,10.1121/1.405851,1993,The Journal of the Acoustical Society of America,384,Effect of personal and situational variables on noise annoyance in residential areas
T4-low,backward,2,10.1016/j.jenvp.2011.07.002,2011,Journal of Environmental Psychology,380,Open-plan office noise: Cognitive performance and restoration
T4-low,backward,2,10.1016/j.ijhcs.2015.05.004,2015,International Journal of Human-Computer Studies,374,Is virtual reality emotionally arousing? Investigating five emotion inducing virtual park scenarios
T4-low,backward,2,10.1089/cyber.2009.0308,2010,Cyberpsychology Behavior and Social Networking,357,Restorative Effects of Virtual Nature Settings
T4-low,backward,2,10.1016/j.jsv.2005.11.034,2006,Journal of Sound and Vibration,343,Effects of road traffic noise and the benefit of access to quietness
T4-low,backward,2,10.1017/s0264180100001119,1992,Psychological Medicine Monograph Supplement,334,"Noise, noise sensitivity and psychiatric disorder: epidemiological and psychophysiological studies"
T4-low,backward,2,10.1016/j.cities.2020.103086,2021,Cities,330,Measuring human perceptions of streetscapes to better inform urban renewal: A perspective of scene semantic parsing
T4-low,backward,2,10.1121/1.396524,1988,The Journal of the Acoustical Society of America,315,Community response to noise: A review of factors influencing the relationship between noise exposure and reaction
T4-low,backward,2,10.1016/j.ufug.2012.04.002,2012,Urban forestry & urban greening,315,Use of Small Public Urban Green Spaces (SPUGS)
T4-low,backward,2,10.1016/j.jenvp.2006.09.001,2006,Journal of Environmental Psychology,306,What's wrong with virtual trees? Restoring from stress in a mediated environment
T4-low,backward,2,10.1016/j.landurbplan.2011.03.005,2011,Landscape and Urban Planning,298,Relationship between psychological responses and physical environments in forest settings
T4-low,backward,2,10.1016/j.cities.2019.04.015,2019,Cities,294,Neighbourhood walkability: A review and bibliometric analysis
T4-low,backward,2,10.1080/00140130600899104,2006,Ergonomics,284,The effects of music tempo and loudness level on treadmill exercise
T4-low,backward,2,10.1371/journal.pone.0155357,2016,PLoS ONE,276,Noise Annoyance Is Associated with Depression and Anxiety in the General Population- The Contribution of Aircraft Noise
T4-low,backward,2,10.3390/su12176751,2020,Sustainability,276,Urban Parks as Green Buffers During the COVID-19 Pandemic
T4-low,backward,2,10.4103/1463-1741.39005,2008,Noise and Health,272,Road traffic noise and cardiovascular risk
T4-low,backward,2,10.1260/0957456001497535,2000,Noise & Vibration Worldwide,272,New Who Guidelines for Community Noise
T4-low,backward,2,10.1016/j.landurbplan.2015.06.013,2015,Landscape and Urban Planning,260,"Exploring associations between urban green, street design and walking: Results from the Greater London boroughs"
T4-low,backward,2,10.1016/j.landurbplan.2009.07.016,2009,Landscape and Urban Planning,257,Emerging relationships between design and use of urban park spaces
T4-low,backward,2,10.1016/j.landurbplan.2005.05.003,2005,Landscape and Urban Planning,246,Relationship between landscape visual attributes and spatial pattern indices: A test study in Mediterranean-climate landscapes
T4-low,backward,2,10.1249/mss.0b013e3181cea27a,2010,Medicine & Science in Sports & Exercise,244,Behavior Mapping
T4-low,backward,2,10.1016/j.landurbplan.2014.09.007,2014,Landscape and Urban Planning,243,The physical and non-physical factors that influence perceived access to urban parks
T4-low,backward,2,10.1016/j.jsv.2012.01.006,2012,Journal of Sound and Vibration,222,Road traffic noise shielding by vegetation belts of limited depth
T4-low,backward,2,10.1016/j.ufug.2020.126702,2020,Urban forestry & urban greening,213,Effects of integration between visual stimuli and auditory stimuli on restorative potential and aesthetic preference in urban green spaces
T4-low,backward,2,10.1038/259557a0,1976,Nature,189,The pace of life
T4-low,backward,2,10.1177/0013916583155001,1983,Environment and Behavior,180,Effects of Sounds on Preferences for Outdoor Settings
T4-low,backward,2,10.1007/s40726-018-0095-7,2018,Current Pollution Reports,179,Noise Pollution and Urban Planning
T4-low,backward,2,10.1016/j.landurbplan.2016.11.012,2016,Landscape and Urban Planning,177,Forest design for mental health promotion—Using perceived sensory dimensions to elicit restorative responses
T4-low,backward,2,10.1016/j.landurbplan.2023.104756,2023,Landscape and Urban Planning,176,Assessing impacts of objective features and subjective perceptions of street environment on running amount: A case study of Boston
T4-low,backward,2,10.1016/j.tust.2022.104931,2022,Tunnelling and Underground Space Technology,173,Time-varying and non-linear associations between metro ridership and the built environment
T4-low,backward,2,10.1016/j.jth.2015.03.002,2015,Journal of Transport & Health,169,Associations between the objective and perceived built environment and bicycling for transportation
T4-low,backward,2,10.1007/s10980-011-9635-x,2011,Landscape Ecology,165,Soundscape conservation
T4-low,backward,2,10.1016/j.healthplace.2013.10.005,2013,Health & Place,162,The impact of neighborhood walkability on walking: Does it differ across adult life stage and does neighborhood buffer size matter?
T4-low,backward,2,10.1177/0013916507302246,2008,Environment and Behavior,155,"Nonpermanent Residents, Place Attachment, and “Sea Change” Communities"
T4-low,backward,2,10.1016/j.ufug.2013.01.007,2013,Urban forestry & urban greening,153,Stress rehabilitation through garden therapy: The garden as a place in the recovery from stress
T4-low,backward,2,10.1016/j.apacoust.2018.07.001,2018,Applied Acoustics,147,Effects of auditory-visual combinations on perceived restorative potential of urban green space
T4-low,backward,2,10.1016/j.envint.2015.12.001,2016,Environment International,145,Spatial and temporal associations of road traffic noise and air pollution in London: Implications for epidemiological studies
T4-low,backward,2,10.4103/1463-1741.59995,2010,Noise and Health,144,"The associations between noise sensitivity, reported physical and mental health, perceived environmental quality, and noise annoyance"
T4-low,backward,2,10.1016/j.ufug.2020.126689,2020,Urban forestry & urban greening,144,How do travel distance and park size influence urban park visits?
T4-low,backward,2,10.1016/j.landurbplan.2020.103763,2020,Landscape and Urban Planning,139,"More meaningful, more restorative? Linking local landscape characteristics and place attachment to restorative perceptions of urban park visitors"
T4-low,backward,2,10.1016/j.scs.2020.102201,2020,Sustainable Cities and Society,137,"Relationship between eye-level greenness and cycling frequency around metro stations in Shenzhen, China: A big data approach"
T4-low,backward,2,10.1186/s12940-021-00720-3,2021,Environmental Health,136,"Road traffic noise, noise sensitivity, noise annoyance, psychological and physical health and mortality"
T4-low,backward,2,10.3390/ijerph10041439,2013,International Journal of Environmental Research and Public Health,132,How Pleasant Sounds Promote and Annoying Sounds Impede Health: A Cognitive Approach
T4-low,backward,2,10.1016/j.envres.2016.12.012,2017,Environmental Research,126,"Particulates and noise exposure during bicycle, bus and car commuting: A study in three European cities"
T4-low,forward,2,10.1016/j.scitotenv.2012.06.112,2012,The Science of The Total Environment,119,Annoyance and other reaction measures to changes in noise exposure — A review
T4-low,backward,2,10.1016/0022-460x(76)90720-3,1976,Journal of Sound and Vibration,117,Noise nuisance caused by road traffic in residential areas: Part I
T4-low,backward,2,10.1016/j.ijnurstu.2012.11.018,2012,International Journal of Nursing Studies,114,"Effect of nature-based sounds’ intervention on agitation, anxiety, and stress in patients under mechanical ventilator support: A randomised controlled trial"
T4-low,backward,2,10.1111/j.1530-0277.2008.00764.x,2008,Alcoholism Clinical and Experimental Research,112,Sound Level of Environmental Music and Drinking Behavior: A Field Experiment With Beer Drinkers
T4-low,backward,2,10.1121/1.4770242,2013,The Journal of the Acoustical Society of America,112,Acoustical and perceptual assessment of water sounds and their use over road traffic noise
T4-low,backward,2,10.1016/0022-460x(80)90468-x,1980,Journal of Sound and Vibration,110,Individual differences in critical tendencies and noise annoyance
T4-low,backward,2,10.1016/j.buildenv.2019.106593,2019,Building and Environment,110,"Combined effects of acoustic, thermal, and illumination on human perception and performance: A review"
T4-low,backward,2,10.1016/j.ufug.2021.126985,2021,Urban forestry & urban greening,107,Factors contributing to the usage of pocket parks―A review of the evidence
T4-low,backward,2,10.1016/j.puhe.2013.01.003,2013,Public Health,104,Use of neighbourhood parks: does socio-economic status matter? A four-city study
T4-low,backward,2,10.1177/0022002184015002009,1984,Journal of Cross-Cultural Psychology,104,"Pace of Life, Punctuality, and Coronary Heart Disease in Six Countries"
T4-low,backward,2,10.1016/j.enbuild.2023.112813,2023,Energy and Buildings,102,Multiple effects of visual-acoustic-thermal perceptions on the overall comfort of elderly adults in residential outdoor environments
T4-low,backward,2,10.1016/j.healthplace.2016.08.005,2016,Health & Place,101,Examining the role of urban street design in enhancing community engagement: A literature review
T4-low,backward,2,10.1016/j.amepre.2013.04.020,2013,American Journal of Preventive Medicine,100,Walkability and Physical Activity
T4-low,backward,2,10.1080/01441647.2020.1712494,2020,Transport Reviews,98,Persistence of walking in Chile: lessons for urban sustainability
T4-low,backward,2,10.1007/s10980-015-0323-0,2015,Landscape Ecology,98,Temporal and spatial variation of a winter soundscape in south-central Alaska
T4-low,backward,2,10.1016/j.buildenv.2017.11.040,2017,Building and Environment,93,Relationship between street scale and subjective assessment of audio-visual environment comfort based on 3D virtual reality and dual-channel acoustic tests
T4-low,backward,2,10.1108/09564230810855716,2008,International Journal of Service Industry Management,93,Reviewing congruity effects in the service environment musicscape
T4-low,backward,2,10.1016/j.jenvp.2021.101660,2021,Journal of Environmental Psychology,90,Psychological well-being and demographic factors can mediate soundscape pleasantness and eventfulness: A large sample study
T4-low,backward,2,10.1016/j.healthplace.2021.102609,2021,Health & Place,89,The stationarity bias in research on the environmental determinants of health
T4-low,backward,2,10.1016/j.scs.2021.103622,2021,Sustainable Cities and Society,88,"The multisensory interaction between auditory, visual, and thermal to the overall comfort in public open space: A study in a tropical climate"
T4-low,backward,2,10.1016/j.buildenv.2018.10.019,2018,Building and Environment,87,A laboratory study of the sound-odour interaction in urban environments
T4-low,backward,2,10.3390/ijerph16244943,2019,International Journal of Environmental Research and Public Health,85,"Restorative Effects of Multi-Sensory Perception in Urban Green Space: A Case Study of Urban Park in Guangzhou, China"
T4-low,backward,2,10.1078/1438-4639-00202,2003,International Journal of Hygiene and Environmental Health,84,Community noise: Health effects and management
T4-low,backward,2,10.1016/j.buildenv.2019.04.022,2019,Building and Environment,83,Effect of a fragrant tree on the perception of traffic noise
T4-low,backward,2,10.1121/10.0009794,2022,JASA Express Letters,83,How to analyse and represent quantitative soundscape data
T4-low,backward,2,10.3813/aaa.918605,2013,Acta acustica united with Acustica,79,Effects of Sounds from Water on Perception of Acoustic Environments Dominated by Road-Traffic Noise
T4-low,backward,2,10.1093/forestry/cpi042,2005,Forestry An International Journal of Forest Research,78,"Publics* and woodlands in England: well-being, local identity, social learning, conflict and management"
T4-low,backward,2,10.1016/j.ufug.2016.06.019,2016,Urban forestry & urban greening,74,A methodological approach to understanding the wellbeing and restorative benefits associated with greenspace
T4-low,backward,2,10.1016/j.apacoust.2015.03.020,2015,Applied Acoustics,73,Relationship between objective acoustic indices and subjective assessments for the quality of soundscapes
T4-low,backward,2,10.1016/j.jtrangeo.2018.11.018,2018,Journal of Transport Geography,71,Visualising where commuting cyclists travel using crowdsourced data
T4-low,backward,2,10.1016/j.apacoust.2018.01.001,2018,Applied Acoustics,68,Effect of interaction between attention focusing capability and visual factors on road traffic noise annoyance
T4-low,backward,2,10.1016/j.jobe.2020.101839,2020,Journal of Building Engineering,68,"Investigation of the relationships between thermal, acoustic, illuminous environments and human perceptions"
T4-low,backward,2,10.1177/0013916517712002,2017,Environment and Behavior,67,Time- and Self-Related Memories Predict Restorative Perceptions of Favorite Places Via Place Identity
T4-low,backward,2,10.4103/1463-1741.149559,2015,Noise and Health,64,The effects of auditive and visual settings on perceived restoration likelihood
T4-low,backward,2,10.1016/j.trd.2023.103670,2023,Transportation Research Part D Transport and Environment,64,Designing bike-friendly cities: Interactive effects of built environment factors on bike-sharing
T4-low,backward,2,,1999,ACR European Advances,61,Play That One Again: the Effect of Music Tempo on Consumer Behaviour in a Restaurant
T4-low,backward,2,10.1080/10548408.2018.1445064,2018,Journal of Travel & Tourism Marketing,60,Is looking always more important than listening in tourist experience?
T4-low,backward,2,10.1016/j.apacoust.2013.09.012,2013,Applied Acoustics,57,The role of messaging on acceptability of military aircraft sounds in Sequoia National Park
T4-low,backward,2,10.1016/j.apacoust.2016.04.003,2016,Applied Acoustics,57,Honking noise corrections for traffic noise prediction models in heterogeneous traffic conditions like India
T4-low,backward,2,10.1016/j.scitotenv.2018.06.023,2018,The Science of The Total Environment,53,A Green Soundscape Index (GSI): The potential of assessing the perceived balance between natural sound and traffic noise
T4-low,backward,2,10.1016/0191-8869(90)90283-w,1990,Personality and Individual Differences,52,"Extraversion, neuroticism, and noise sensitivity"
T4-low,backward,2,10.1080/00224545.1975.9918701,1975,The Journal of Social Psychology,52,Response to Altruistic Opportunities in Urban and Nonurban Settings
T4-low,backward,2,10.1016/j.landurbplan.2017.04.012,2017,Landscape and Urban Planning,52,Audio-visual perception of new wind parks
T4-low,backward,2,10.1016/j.healthplace.2021.102584,2021,Health & Place,52,Environmental exposure during travel: A research review and suggestions forward
