no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
732,FINAL_INCLUDE,2021,BUILDING AND ENVIRONMENT,Investigating contextual influences on urban soundscape evaluations with structural equati,Canada,square/park/street,survey,1429,몬트리올 도심 4개 공공공간(Public Square·Pocket Park·Green Park·Pedestrian Zone)의 현장 음환경 — 들린 음원 자유응답·SSQP 8개 척도·Loudness·Appropriateness·Restorativeness 평가(개입 없음),social; space-use,자기보고 사회적 상호작용(혼자 방문 vs 그룹 방문 이분변수)과 방문 중 수행 활동(자유응답),self-report (현장 인터셉트 설문),reverse,"그룹으로 공공공간을 이용한 사람은 혼자인 사람보다 사운드스케이프를 더 pleasant하고 덜 eventful하게 평가했으며, 젊을수록·여성·외향적일수록 그룹으로 공간을 점유하는 경향이 컸다",NR (CFA 표준화 부하량 0.28-0.75만 발췌에 제시·그룹 여부 관련 SEM 경로계수는 발췌에 없음)
746,FINAL_INCLUDE,2021,TRAVEL BEHAVIOUR AND SOCIETY,"Perception of the built environment and walking in pericentral neighbourhoods in Santiago,",Chile,street,survey,120,"산티아고 6개 도심인접(pericentral) 근린 보행경로의 환경요소 — 교통소음·자동차 통행이 주요 부정 요소, 가로수·넓은 보도·활성 용도가 긍정 요소(음압레벨 실측 없음)",movement; activity,"walking interview(고얼롱) 중 자기보고한 보행 용이·방해 요인, 경로 선택과 회피, 유발 정서",self-report (이동 중 질적 인터뷰),forward,"교통소음은 자동차 통행·좁고 훼손된 보도·어려운 횡단과 함께 보행을 방해하는 요소로 보고되었고 스트레스·공포·분노를 유발했으며, 특히 고령자와 여성에서 두드러졌다",NR (질적 연구·발췌에 통계량 없음)
760,FINAL_INCLUDE,2021,International Journal of Human Capital in Urban Management,Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method and Kano Model,Iran,square/street,mixed,129,"시라즈 Zandieh 역사도심 공공공간의 음원 — 자연·인공·인간 음원 분류, 지하도 환기팬 소음과 가로 교통소음이 지배적, 사운드워크 기반 sound map·noise map 작성",space-use; staying,음원 근접도에 따른 이용자 행태 관찰(평일 오전·정오·야간 각 20분씩 3회 관찰·behavioral pattern 도면화),observation (+ narrative interview·Kano 설문),forward,"이용자의 69%가 지하도 환기팬 등 소음을 가장 크게 지각해 공간 수용성이 낮아졌고 음원 근접도에 따라 관찰된 행태 패턴이 달라졌으며, 59%가 자연음을 76%가 정온함을 선호한 반면 vibrant 공간 선호는 11%에 그쳤다",descriptive only: 69% perceive underpass fan noise most; 59% prefer natural over human sounds; 76% prefer tranquillity; 11% prefer vibrant space; questionnaire Cronbach alpha = 0.805
761,FINAL_INCLUDE,2021,FORESTS,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Recreational,China,park,survey,2034,22 sounds regularly heard in 6 urban recreational forest parks - natural (birds; insects; dogs; ducks; leaves; wind; water); artificial (mowing; construction; engines; bicycles; speech; children; footsteps; diabolo; trains; automobiles; motorbikes) and musical (square dancing; broadcast music; singing; instruments) - each rated for perceived occurrence; loudness and preference,staying; activity; social; space-use,length of stay in the park; visit frequency; park familiarity; presence of companions; type of recreational activity,self-report,reverse,The longer attendees remained in the park the more positive their overall soundscape preference; having companions and specific types of recreational use increased the frequent perception of artificial sounds; and greater park familiarity and older age raised tolerance toward sounds others find annoying,NR
762,FINAL_INCLUDE,2021,FRONTIERS IN PSYCHOLOGY,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lock,Spain,square,natural-experiment,"50 recording days (69-day period); expert raters N = 11 (pleasantness/eventfulness), N = 12 (sound event annotation)","COVID-19 락다운 3단계에 따른 근린 광장 음환경 변화 — 5분 현장 녹음, Loudness·Acoustic Complexity·Acoustic Richness, Natural/Human/Technological 음원 분류",movement; space-use; activity; social,"지각된 인간 음원(대화·보행음) 비중, 자동차 대비 personal mobility device 음원 비중, 관찰 일지·사진에 기록된 거리 활동",observation + sensor (오디오 녹음·사진·일지) + 전문가 지각평가,reverse,"옥외 인간활동의 중단과 재개가 사운드스케이프를 좌우해 Eventfulness·Acoustic Complexity·Acoustic Richness는 기간 중 유의하게 증가하고 Technological sounds는 감소했으며, 3단계의 거리생활 복귀와 개인이동수단 확산이 Eventfulness·Loudness 증가를 이끌었다",NR (유의 증가로만 보고·발췌에 통계량 없음)
770,UNCERTAIN,2021,International Journal of Environmental Research and Public H,The influence of emotional health on the activity characteristics of the elderly and the s,China,residential,mixed,306 valid questionnaires (312 distributed) plus 3 observed residential samples,perceived acoustic environment rated on a 5-point scale as one residential environmental quality factor in a hierarchical linear model; alongside greening quality; environmental cleanliness; spatial scale; sky openness; vegetation type; facilities,activity; staying; space-use,activity frequency (1-2 to 7+ times/day); activity duration (<0.5 h to 3 h+); number of activity types (walking; sitting idle; basking; chatting; watching children; chess/cards; dog walking; sightseeing); half-hourly outdoor activity trajectories,self-report + observation (two-day half-hourly behavioural trajectory mapping in ArcMap),forward,Acoustic environment was the environmental quality factor with the strongest influence on elderly emotional status in flat-land enclosed residences (0.167) and emotional status in turn significantly differentiated activity frequency; duration and type - but a direct acoustic-environment-to-behaviour association is not reported in the excerpt,acoustic environment 0.167 (flat land enclosed); greening quality 0.395 (flat land in rows) and 0.230 (mountainous); environmental cleanliness 0.269 (slope); environmental factor contribution to emotional status 39.7% / 23.3% / 8.9% / 20.1%
779,UNCERTAIN,2021,ENVIRONMENT INTERNATIONAL,Urban environment and obesity and weight-related behaviours in primary school children,Spain,residential,survey,2213,사바델 거주지 주소 기반 28개 도시환경 노출 — 도로교통소음·대기오염·녹지·건조환경·먹거리환경·도로교통량을 다중 버퍼 GIS로 추정,activity,부모 보고 주간 신체활동 시간(CLASS 설문)·좌식행동·수면시간·패스트푸드 및 가당음료 섭취 빈도,self-report (부모 대리보고 설문),forward,"대기오염·도로교통·도로교통소음이 모두 높은 노출 클러스터는 zBMI 상승과 과체중·비만 위험 증가와 연관됐으나, 신체활동 등 체중 관련 행태와는 어떤 클러스터도 연관되지 않았다","high air pollution/road traffic/road noise cluster: beta (zBMI) = 0.17 [95% CI: 0.01, 0.17]; OR (overweight/obesity) = 1.36 [95% CI: 0.99, 1.85]; clusters not associated with the weight-related behaviours"
791,UNCERTAIN,2022,SENSORS,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus,Spain,campus,sensor-bigdata,"NR (61일 연속 수집, 인원 표본 미제시)",센서에 병설된 환경소음 레벨 측정; 캠퍼스 소음이 규제 기준을 초과하는 acoustic pollution 수준으로 보고,movement; space-use,센서별·시간대별·요일별 검출 스마트기기(Bluetooth/Wi-Fi MAC) 수로 산출한 보행자·차량 통행량과 시공간 분포,sensor-GPS-video (Bluetooth/Wi-Fi MAC 검출 IoT 센서),NR,"캠퍼스 구성원 대부분이 유사 시간대에 이동해 혼잡 패턴이 형성되고 캠퍼스는 규정 초과 소음 상태였으나, 소음 수준과 이동행태를 직접 결합한 분석은 발췌에 없다",NR
799,FINAL_INCLUDE,2022,APPLIED SCIENCES-BASEL,Analysis of the Effects and Causes of Driver Horn Use on the Acoustic Environment at Urban,Taiwan,street,field-observation,"3개 교차로 x 각 평일 1일·주말 1일, 07:00-19:00 12시간 측정(교통량은 매시 10분 영상 계수)","운전자 경적(horn) 사용, 도로교통소음 A-weighted SPL(LAeq,10min·LAmax), 차종별 교통량, 신호주기·녹색신호 phase",social; movement,"경적 취명 빈도와 신호주기 내 취명 시점, 좌회전 진입 후 취명, 선행차 출발 대기시간(4초 초과), 차종별(오토바이·표준·대형) 통행량","observation (2대 camcorder 영상 계수) + sensor (RION NL-52 소음계, AS-60로 경적 시점 추출)",reverse,"경적 사용은 표준차량 교통량과 정적 관계를 보였고 녹색신호 후 선행차가 4초 넘게 정지해 있을 때 좌회전 진입 후 집중적으로 취명됐으며, 경적 빈도가 증가할수록 LAmax가 상승한 반면 LAeq,10min은 경적과 무관하고 오토바이 교통량에 따라 증가했다","NR (다중회귀에서 LAmax가 경적 빈도와 함께 증가, 차종별 교통량-경적 빈도 상관계수는 Table 5에 제시되나 발췌에 수치 없음)"
804,FINAL_INCLUDE,2022,FORESTS,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Parks in Chi,China,park,survey,NR,stated preference for 16 sounds heard in Beigushan urban forest park - natural (wind; birdsong; insects; rustling leaves; water flow); human activity (conversation; children playing; footsteps; exercise sound) and artificial (traffic; entertainment; device music; construction; machine; broadcast) - on a 5-point scale (-2 to +2),activity; movement,exercise form (slow walking; running; brisk walking; fitness equipment use); exercise intensity; exercise duration; exercise frequency; exercise location; non-exercise activity types,self-report,reverse,Exercise behaviour differentiated soundscape preference - people who slowly walk; run and briskly walk showed stronger preference for natural soundscape while fitness-equipment users were more inclusive of human activity sounds - and exercise intensity and frequency significantly affected audio-visual preferences; whereas overall soundscape preference had only a weak direct effect on exercise feelings (natural sound still positive),NR
818,UNCERTAIN,2022,LAND,Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in L,China,recreation,survey,510 valid (550 distributed; 92.7% return rate),soundscape perception of a national forest park as a second-order construct with three subdimensions - physical (PSP); psychological (SSP) and regional (RSP) soundscape perception - 13 items on a 5-point Likert scale; park contains both natural and humanistic soundscapes,social,tourists' environmentally responsible behaviour (ERB) including high-effort ERB (HERB); self-report scale adapted from Cheng; items in Appendix A and not shown in excerpt,self-report,forward,Place attachment mediated the effect of all three soundscape perception subdimensions on high-effort environmentally responsible behaviour and enhancement of psychological soundscape perception (SSP) fostered tourists' ERB via a significant indirect effect,three-factor SP solution explained 67.966% of variance; Cronbach's alpha 0.788-0.828; standardized factor loadings 0.536-0.918; structural model chi2 = 654.856; path coefficients NR (Table 6 not in excerpt)
821,FINAL_INCLUDE,2022,SUSTAINABILITY,Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Vis,China,park,survey,266 (유효 설문),"도시숲공원 9개 표본지점의 음원 유형 — 자연음(새소리·매미·물흐름·바람에 흔들리는 잎), 인공설비음(교통·방송음악·항공기·공사), 인간활동음(대화·발자국·청소·아이들 놀이)",space-use; activity,"자기보고 이용행태 지표 — 주간 공원 이용 빈도, 방문 시간대, 방문 시간(체류) 및 이용 유형",self-report,reverse,"방문 빈도가 높을수록 음원 지각 민감도가 높았고 방문 시간대·연령·학력에 따라 사운드스케이프 지각과 스트레스 완화 평가가 유의하게 달랐으며, 새소리 등 자연음이 심리적 스트레스 완화에 가장 크게 기여했다","NR (Spearman rho 상관·Kruskal-Wallis 비모수 검정·다중회귀 유의로만 보고, 계수 발췌 없음)"
833,FINAL_INCLUDE,2022,JOURNAL OF TRANSPORT & HEALTH,How are air pollution and noise perceived en route? Investigating cyclists' and pedestrian,Germany,street,mixed,28,"베를린 퇴근 통근경로의 개인 노출 실측 — 웨어러블 센서로 소음 dB(A) 2초 간격·입자수(PNC) 1분 간격·GPS 동시 기록, 도로교통 소음과 녹지·수변의 정온함 대비",movement,"경로 선택과 hidden path 이용, 배출원과 거리 두기 등 보호 행태, GPS로 기록된 실제 통근 경로",self-report (이동 중 go-/ride-along 인터뷰 + GPS 경로 기록),forward,"자전거·보행 통근자는 소음·대기오염 노출을 줄이려 녹지가 있는 hidden path로 우회하고 배출원과 거리를 두는 보호 행태를 취했으며, 실측 노출이 높아도 녹지·물소리·사람의 존재가 있으면 그 구간을 긍정적으로 평가했다",NR (질적 코딩과 노출 실측 대조·발췌에 통계량 없음)
858,UNCERTAIN,2022,ACOUSTICS,Soundscape Approach in the Seaport of Ancona: A Case Study,Italy,waterfront,mixed (바이노럴 녹음 기반 recorded soundwalk + 온라인 청취실험 + 설문),NR,Ancona 항만 8개 클러스터의 실측 음환경 — 바이노럴 녹음 기반 SPL 및 psychoacoustic loudness 백분위(N5·N50·N90) 등 전통음향·심리음향 파라미터,staying; space-use,참여자 자기보고 행태 요인 — 클러스터별 방문 빈도(visit frequency)와 체류 시간(length of stay),self-report,reverse (미확정),"항만 클러스터별 지각 음질을 산출하고 SPL-loudness 및 pleasantness-loudness 다항회귀 관계를 제시했으나, 방문빈도·체류시간 등 행태 변수와 사운드스케이프 평가의 관계는 발췌에서 확인되지 않는다",NR (SPL-loudness·pleasantness-loudness 다항회귀 및 회귀계수 순위가 Table 4에 있으나 발췌에 수치 없음)
862,UNCERTAIN,2022,FORESTS,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its L,China,park,sensor-bigdata,NR (31 monitoring points on a 70 x 70 m grid; ~992 min of audio clips per day over 3 days),urban forest park soundscape recorded 6:00-22:00 at 31 grid points (Sony PCM-D100; 44.1 kHz); 52 sound sources classified into natural; traffic; management and recreational sounds; analysed as power spectral density (PSD; 1-11 kHz) and soundscape diversity index (SDI),activity; space-use,frequency; duration and relative proportion of recreational sounds by hour and monitoring point (human activity inferred acoustically; no direct observation of people),sensor (acoustic recording plus panoramic image semantic segmentation),reverse,Park PSD and SDI were greatly affected by public recreation behaviours (soundscape dominated by natural and recreational sounds) and some recreation behaviours may alter the vocal behaviour of birds; while high canopy density and tree + lake combinations attracted more birdsong and recreational sounds,NR
880,UNCERTAIN,2022,ENVIRONMENTAL RESEARCH,Urban environment and physical activity and capacity in patients with chronic obstructive ,Spain,residential,mixed,404,카탈루냐 5개 해안도시 COPD 환자 거주지 GIS 노출 — 도로교통소음 Lden(전략소음지도)·NO2·PM2.5(LUR)·인구밀도·보행자 도로연장·지형 경사,activity; movement,"Dynaport MoveMonitor 7일 착용으로 측정한 1일 보행수와 좌식시간, C-PPAC 신체활동 어려움 점수, 6분 보행거리(6MWD)",sensor-GPS-video (가속도계 활동량계 + 설문·6MWT),forward,"도로교통소음(Lden)과 PM2.5는 신체활동·운동능력과 연관이 없었고, 대신 인구밀도가 높을수록 보행수 감소·좌식시간 증가·운동능력 저하가, 보행자 도로연장이 길수록 보행수 증가와 좌식시간 감소가 관찰됐다","noise and PM2.5 not associated with physical activity or exercise capacity (estimates NR); population density per IQR: -507 [95% CI: 1135, 121] steps, +0.2 [0.0, 0.4] h/day, -13 [-25, 0] m; pedestrian street length per IQR: 156 [9, 304] steps, -0.1 [-0.1, 0.0] h/day"
883,FINAL_INCLUDE,2022,PEOPLE AND NATURE,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound expe,Australia,park,survey,4105,최근 방문한 동네 공원에서 경험한 새소리와 도로교통 소음(ex situ 회상 설문·음압레벨 실측 없음),space-use; activity; social,자기보고 최근 공원 이용(최근 방문 여부)과 공원을 운동·사교·자연의 소리 듣기 목적으로 가치평가하는지 여부,self-report,reverse,"최근 공원을 이용했고 운동·사교 목적으로 공원을 가치있게 여기는 사람일수록 새소리를 pleasant하게 경험할 확률이 높고 교통소음을 unpleasant하게 지각할 확률은 낮았던 반면, 임차 등 사회경제적 불리 집단과 자연친화성이 높은 집단은 교통소음을 더 unpleasant하게 지각했다",NR (logistic regression 결과는 Table 1-2에 있으나 발췌에 수치 없음; a priori power 계산 기준 OR = 1.49)
901,FINAL_INCLUDE,2023,ECOLOGICAL INDICATORS,Can acoustic indices reflect the characteristics of public recreational behavioral in urba,China,park,mixed,NR (35개 음향 모니터링 지점·6:00-22:00 관측),"도시녹지 35개 지점의 연속 음향 녹음 기반 음향지수 — ACI·ADI·AR·NDSI와 10개 주파수 구간 PSD, 개장시간 6:00-22:00 전 시간대 측정",activity; movement; space-use,관찰로 기록한 공공 여가행태의 유형별 인원·빈도와 그 시간대별·공간별 변이(통과 보행이 최다 유형),observation (+ 음향센서 연속 녹음),reverse,"ACI·ADI·AR은 공공 여가행태와 동일한 W자형 일변동과 공간분포를 보였고(NDSI는 반대 패턴), 상관분석과 GLMM에서 음향지수가 방문객 활동 동태를 유의하게 반영했으며 PSD의 5-6·6-7·9-10 kHz 구간이 서로 다른 여가행태 정보를 담았다",NR (correlation coefficients·GLMM 결과는 Table 4-5·Fig. 9-10에 있으나 발췌에 수치 없음)
909,UNCERTAIN,2023,Sustainability (Switzerland),Designing Public Soundscapes through Social Architecture and Soundscape Approaches: Reflec,Singapore,square,mixed (field-observation 행태추적·활동지도 + soundwalk ISO/TS 12913-2 Method A),"학부생 12명(4개 그룹), 대상지 4개 공공공간",Marina Central BID 4개 공공공간의 음원 구성(교통소음·인간 소리·물소리·새소리·바람소리·환기설비음) 지배도와 지각 정서품질; 스마트폰(NoiseCapture) 음압 측정치는 교정 문제로 미제시,movement; space-use; activity,"behavioural tracing(이용자 주·부 동선과 경로 선택), activity mapping(활동 유형·빈도·위치), counting",observation,both,4개 공공공간에서 행태추적·활동지도와 soundwalk 지각평가를 병행해 사회건축·사운드스케이프 문제를 도출하고 바람직한 소리 도입·원하는 소리 강화·불쾌음 저감의 3개 설계전략군을 제시했으나 정량적 음-행태 관계 분석은 없다,NR
912,UNCERTAIN,2023,SCIENCE OF THE TOTAL ENVIRONMENT,"Do objective and subjective traffic-related pollution, physical activity and nature exposu",China,residential,survey,1772,"선전 117개 근린의 지각 음환경질(perceived acoustic quality)과 지각 대기질, 교통관련 오염 대리지표인 자동차 통행밀도, 자연노출(NDVI·GVI·녹지밀도·공원접근성)",activity,자기보고 신체활동(구조방정식 매개변수),self-report,forward,"자연노출은 지각 음환경질·지각 대기질과 신체활동을 매개로 정신적 웰빙에 간접효과를 보였으나 직렬매개 모형에서 지각 음환경질 경로의 간접효과는 유의하지 않았고, 신체활동 경로의 매개 비중이 가장 작았으며 지각 대기질의 매개 비중이 지각 음환경질보다 컸다",NR (SEM 경로계수와 95% CI는 Fig. 3에 있으나 발췌에 수치 없음)
930,FINAL_INCLUDE,2023,SUSTAINABILITY,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban Area,Iran,street,survey,288 (3 user groups x 96),"urban sonic environment quality (pleasantness, evocative/inspiring role, space interactivity); area sound levels recorded 60-91 dB",space-use; social,"self-reported attendance in the public open space (purpose of attendance, willingness to attend, accompanying friends/family)",self-report,forward,"Sonic environment quality predicted people attendance on the historic pedestrian street: unpleasant sound conditions lowered willingness to attend and discouraged bringing friends and family, reinforcing individualistic use.",NR
931,FINAL_INCLUDE,2023,LANDSCAPE AND URBAN PLANNING,Natural sounds can encourage social interactions in urban parks,China,park,field-experiment,NR,"loudspeaker sound interventions in situ: bird song and water sound (natural), traffic noise and construction noise (artificial), plus quiet control and white noise",social,"proportion of people engaging in social interaction, frequency of social interaction, percentage of time spent on social interaction",observation (covert hidden-camera video coding),forward,"Natural sound interventions raised the proportion of people engaged in social interaction by about 10% and increased interaction frequency and total duration by about 10%, mainly for within-group interactions, while noise interventions had no significant negative effect.",Natural sounds increase about 10% of people engaging in social interactions; natural sounds increase the total duration of social interactions by about 10%
941,FINAL_INCLUDE,2023,LANDSCAPE ARCHITECTURE FRONTIERS,Research on the Combined Effects of Plant Odor and Traffic Noise on Crowd Behaviors in Urb,China,street,field-experiment,NR (Table 1 person-time sample sizes not in excerpt),"Traffic noise at two levels (low 55.6 dBA vs high 70.5 dBA, at least 10 dB apart) crossed with lilac (Syringa amurensis) plant odour concentration graded none to strong on a 7-point scale",movement,"Crowd walking path (lateral position of the trajectory relative to the noise and odour sources) and crowd walking speed in m/s, extracted from drone observation video",sensor-GPS-video,forward,"At high SPL pedestrian paths shifted away from the traffic-noise side and moved up to about 0.3 m toward the odour source as odour strengthened, and mean crowd speed slowed from 1.24 m/s to 1.18 m/s, whereas path and speed were almost unaffected at low SPL",max longitudinal path shift about 0.3 m; mean speed 1.24 m/s to 1.18 m/s at high SPL; overall mean 1.17 m/s; repeated measures ANOVA in Tables 2-3 with F and p values not in excerpt
951,FINAL_INCLUDE,2023,SUSTAINABLE CITIES AND SOCIETY,Sustainable design of running friendly streets: Environmental exposures predict runnabilit,Finland,street,sensor-bigdata,"13,322 street segments (Strava running routes 2018-2021, Helsinki)","Street-segment traffic noise level, with air quality index, Green View Index, NDVI, blue space density, slope, Floor Area Ratio, connectivity and traffic accidents as co-exposures","movement, activity","Running intensity per street segment, computed as total length of Strava GPS running routes within a 20 m buffer divided by buffer area (range 0.001-3.45 m/m2)",sensor-GPS-video,forward,"Running intensity was positively correlated with traffic noise and air pollution and negatively with urban density, connectivity and traffic accidents, while blue space density was the predominant positive predictor","NR (multilevel model coefficients reported in Table 2, values not in excerpt)"
964,FINAL_INCLUDE,2023,FRONTIERS IN PSYCHOLOGY,The effects of the natural visual-aural attributes of urban green spaces on human behavior,China,park,mixed (on-site behaviour mapping + questionnaire),NR,"natural and other sound sources (bird sounds, chirp/insect sounds, wind sounds) paired with visual landscape attributes (grassland, waterscape, woodland)",space-use; activity; staying,on-site mapping of visitors activities and activity vitality across landscape and sound settings (behaviour maps),observation (on-site mapping) + self-report questionnaire for emotion,forward,"Natural sounds (bird, chirp, wind) and nature-dominated visual landscapes were positively correlated with activity vitality; grasslands and woodlands attracted recreation and vitality became extremely high when paired with lakes.",NR
971,FINAL_INCLUDE,2023,FORESTS,Thermal-Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park,China,park,field-experiment,NR,"played sound sources (grass-cutting noise, melodious music, no sound source) crossed with low/moderate/high thermal levels; LAeq and UTCI monitored",movement; staying; space-use,"number of people (crowd flow), number of persons staying and staying time, approach/avoidance path choice relative to the sound source, walking speed",observation (covert behaviour observation) + sensor (LAeq/UTCI),forward,"Music attracted more visitors and slowed walking pace, whereas grass-cutting noise (especially under high temperature) reduced crowd flow, shortened staying time and produced avoidance paths away from the source.",NR
979,FINAL_INCLUDE,2023,VISUAL COMMUNICATION,Walking through the city soundscape: an audio-visual analysis of sensory experience for pe,NR,street,field-observation,NR (number of walk-along participants with psychosis not stated in excerpt),"Naturally occurring urban street sounds and noise during walk-alongs, including short and very loud metallic noises near a parked truck, a car horn and a strident tyre screech","movement, social","Video-coded embodied and verbal conduct while walking: gaze reorientation and looking down, orienting to the noise source, walking away from the partner and solitary gait, turn-taking (minimal and delayed replies, absence of topic initiation) and silences",observation,forward,"Loud strident street noises were followed by observable disengagement in the participant with psychosis: gaze aversion and orienting toward the noise source, progressively walking away from the partner and minimal or delayed conversational contributions including a 29-second silence, the longest of the entire walk-along",NR
980,UNCERTAIN,2023,FORESTS,White Spaces Unveiled: Investigating the Restorative Potential of Environmentally Perceive,China,park,field-experiment (12개 보행로 현장 조사 + 자기보고 척도),NR (남녀 비교 보고되나 표본수 발췌 없음),겨울 도시공원 3유형 보행로(primary·secondary·walking path)의 경관 픽셀비율(하늘·눈·수목·시설)과 사운드스케이프 지각(쾌적감·정적감),staying; activity,환경 노출 지속시간(duration of environmental exposure)과 겨울철 사실상 유일 활동인 보행로 이용,self-report,NR,1차 보행로(PP)의 회복효과가 가장 컸고 사운드스케이프 정적감 지각과 환경 노출 지속시간이 보행로-회복 경로의 핵심 매개였으며 남성이 여성보다 회복 수준이 높았다,"NR (Pearson 상관 및 * p<0.05, ** p<0.01 유의표기만 제시)"
981,UNCERTAIN,2024,BUILDINGS,A Study on Spatiotemporal Dynamics and Spatial Dependence of Sound Source Perception in Fu,China,street,mixed (현장 음향 측정 + 설문 + 공간자기상관 분석),NR,Fuzhou 삼방칠항 역사문화지구의 시간대별 물리 음향지표(SPL 등)와 6개 음원 유형의 sound source harmony,activity; space-use,응답자의 사회·인구·행태 지표(Figure 2) 및 시간대별 물리 음향지표가 반영하는 인간활동·행태 패턴(간접 추론),self-report,reverse (해석적),물리 음향지표가 시공간적으로 변동하며 특정 인간활동·행태 패턴을 반영했고 음원 조화도는 전역·국지 공간자기상관을 보였으며 물리 음향지표는 사운드스케이프 지각에 부정적 영향을 줄 수 있었다,NR (모든 음원의 global Moran's I가 양(+)으로 보고되나 발췌에 수치 없음)
984,UNCERTAIN,2024,LANDSCAPE RESEARCH,A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake sceni,China,park,mixed,262 valid questionnaires (273 collected of 300 distributed; 10 soundwalk sampling points),"Musical theme landscape combined with the site soundscape at Feicui Lake scenic spot (musical fountain, violin island, natural and artificial sounds), with LAeq measured by sound level meter along the violin island walkway",staying,"Reported staying behaviour at the scenic spot (viewing the scenery or resting), captured through the soundwalk and Likert-scale questionnaire",self-report,forward,"Musical theme landscape and soundscape were reported to affect visitors emotions at the individual level and their behaviours such as staying to view the scenery or rest at the social level, but no quantified behavioural outcome is given in the excerpt",NR
999,UNCERTAIN,2024,SCIENCE OF THE TOTAL ENVIRONMENT,Comparative evaluation of soundscapes in human activities spatial contexts of pedestrian s,China,street,lab-VR-experiment,30 participants,"Seven laboratory auditory environments combining 68 dB traffic noise with residential activity sounds or commercial activity sounds at varying signal-to-noise ratios representing low and high activity intensity (field LAeq: TN 68.3, RS 66.2, CS 67.8 dBA)","activity, social","Human activity spatial context operationalised as activity type (commuting, residential, commercial) and activity intensity (SNR of activity sounds over traffic noise); no behaviour was observed on participants",self-report,reverse,"Adding human activity sounds to constant traffic noise lowered the perceived dominance of traffic noise and raised acoustic comfort despite higher acoustic energy, with best comfort for low-intensity residential and high-intensity commercial activity and more actively engaging soundscapes at higher activity intensity","NR (repeated measures ANOVA reported in Tables 2-5, values not in excerpt)"
1005,FINAL_INCLUDE,2024,HELIYON,Crowdsourced cycling data applications to estimate noise pollution exposure during urban c,Ireland,street,mixed,"81,403 Strava cycle trips plus 335 surveyed cyclists",Road traffic noise exposure in Dublin estimated from local environmental data and 17 noise monitoring stations (WHO 53 dB Lden limit cited; cyclist levels reported at 71-75 dB),"movement, space-use, activity","Self-reported temporal and spatial detours taken because of noise, plus Strava-recorded cycling route choice and trip volumes for a direct route versus the popular detour route",sensor-GPS-video,forward,"Cyclists reported that noise changed their behaviour mainly through temporal and spatial detours, and the popular detour route carried about 10 dB(A) lower noise exposure than the direct route at the cost of roughly 4 extra minutes","+10 dB(A) exposure increase on the direct route versus the popular detour, for a saving of approximately 4 min; survey percentages in Table 2 not in excerpt"
1009,UNCERTAIN,2024,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,Effect of human sound component on the sociability of urban public spaces-a case study in ,UK,square,field-experiment (immersive 360-degree video and spatial audio playback; participants recruited on site),120,Four designed 360-degree soundscape samples from Peace Gardens recordings: V1 foreground human sound (talking/laughing) over pleasant background; V2 background human sound; V3 no human sound (control); V4 foreground loud signal sound over pleasant human background,social,Level of Willingness for social interactions (LoW-C/E/S) as stimulation level; soundscape suitability via SQE (stressful-peaceful; uneventful-eventful; unsafe-safe; unpleasant-pleasant),self-report (questionnaire after each 360-degree sample),forward,"Only the foreground human sound sample significantly raised both soundscape suitability and willingness for social interaction, while the other three samples produced either high suitability/low stimulation or low suitability/high stimulation, and the preference varied by companion type and age group","Correlations of social willingness with companion types and age reported as negative coefficients R = -0.233 and R = -0.206 (Table 1, with two-sample t-tests); other effect sizes NR in excerpt"
1018,FINAL_INCLUDE,2024,ECOLOGICAL INDICATORS,Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on behavioral ,China,park,mixed,"1,044 respondents across three urban parks","Urban park acoustic environment: LAeq measured for 10 min at each sampling site plus identified sound sources (traffic noise, music, human sounds, natural sounds) across fitness trails, open squares, tree-shaded squares and pavilions","staying, movement, activity","Behavioural state of each respondent classified as sitting, walking or acoustic behaviour and sustained for over 15 min, recorded by both observation and questioning",observation,reverse,"Respondents in different behavioural states (sitting, walking, acoustic) reported different acoustic-visual perceptions and satisfaction, so behavioural state conditioned soundscape evaluation and predicted acoustic, visual and overall satisfaction","NR (multiple linear regression results in Tables 4-6, values not in excerpt)"
