sid,verdict,reason_code,note,doi,title,year,journal
139,EXCLUDE,E1,조류-항공기 충돌 리뷰·동물 대상,10.1093/auk/119.3.587,Competition in the Air: Birds Versus Aircraft,2002,The Auk
140,EXCLUDE,E2,실내 소매점 배경음악 실험·매장 내부,10.15728/bbr.2012.9.3.5,Influence of musical styles on customers attitude: experimental evidences in a retail store,2012,Brazilian Business Review
141,EXCLUDE,E1,열대림 조류 생물음향 모니터링·동물,10.15359/rca.58-2.1,"Caracterización acústica de fincas bajo pago por servicios ambientales en la Reserva Forestal Golfo Dulce, Costa Rica",2024,Revista de Ciencias Ambientales
142,EXCLUDE,E6,청소년 비만·두통 논평·주제 무관,10.1111/head.12374,Perceived Body Weight Status of Youngsters Interferes With Headache in Obese and Non‐Obese Subjects,2014,Headache The Journal of Head and Face Pain
143,EXCLUDE,E4,ABS 방음패널 재료시험·인간 행태 없음,10.1016/j.protcy.2015.02.038,Soundproofing Performance Evaluation of Panels Made of Fibers of Acrylonitrile Butadiene Styrene Copolymer (ABS),2015,Procedia Technology
144,EXCLUDE,E5,벤 존슨 희곡 소리 문학비평·비실증,10.1353/shb.2017.0044,“O’erwhelmed with Noise”: Sound-Houses and Sonic Experiments in Ben Jonson’s Epicene,2017,Shakespeare bulletin
145,EXCLUDE,E1,동물 신호 도서 서평,10.1016/j.anbehav.2004.02.001,Animal Signals,2004,Animal Behaviour
146,EXCLUDE,E5,초기 미국 소리 역사서 서평·비실증,10.1353/rah.2004.0027,When Sound Mattered,2004,Reviews in American History
147,EXCLUDE,E2,대학 기숙사 실내 만족도 평가,10.1007/s44217-024-00335-z,"Performance evaluation of students’ hostel of the college of Agriculture and Environmental Science Kaduna State University, Nigeria",2024,Discover Education
148,EXCLUDE,E5,소음공해 동물·인체영향 종설·비실증,10.46505/ijbi.2021.3105,IMPACT OF SOUND POLLUTION ON ANIMAL AND HUMAN HEALTH,2021,International Journal of Biological Innovations
149,EXCLUDE,E2,방음실 보청기 어음지각 실험·실내,10.1044/jshr.1704.724,Monaural and Binaural Speech Perception through Hearing Aids under Noise and Reverberation with Normal and Hearing-Impaired Listeners,1974,Journal of Speech and Hearing Research
150,EXCLUDE,E5,미국 무용사 도서 서평·비실증,10.1525/jams.2021.74.3.663,"<i>Dancing Revolution: Bodies, Space and Sound in American Cultural History</i>, by Christopher J. Smith",2021,Journal of the American Musicological Society
151,EXCLUDE,E1,고래 발성 수동음향 모니터링·동물,10.1121/10.0010698,Spatio-temporal patterns of blue and fin whale sound production identified in National Oceanic Atmospheric Administration-National Park Service Ocean Noise Reference Station Network recording sites in the Pacific Ocean,2022,The Journal of the Acoustical Society of America
152,EXCLUDE,E5,민족음악학 학문론 에세이·비실증,10.14712/12128112.3516,Urbanity and Ethnomusicology; a Perspective from Singapore,2012,Lidé města
153,EXCLUDE,E5,녹지·사망률 코호트 연구 프로토콜,10.1186/2049-3258-73-s1-p16,Impact of green/blue spaces on specific morbidity and cause-specific mortality in Belgium: the GRESP-HEALTH project protocol (2015-2019),2015,Archives of Public Health
154,RETRIEVE,,캠퍼스 소음 실측과 집합·체류 행태 연계,10.54021/seesv5n1-116,"Acoustic analysis and control measures for noise in university: a case study of Adrar University, Algeria",2024,STUDIES IN ENGINEERING AND EXACT SCIENCES
155,EXCLUDE,E5,조류 발성 연구자 부고·비실증,10.1642/auk-17-135.1,"Peter R. Marler, 1928–2014",2017,The Auk
156,EXCLUDE,E5,멕시코 오페라 역사 연구·비실증,10.1093/oq/kbn018,"Staging the Nation: Race, Religion, and History in Mexican Opera of the 1940s",2008,The Opera Quarterly
157,RETRIEVE,,시장·모터파크 음악과 사회적 상호작용 관찰,10.53982/agidigbo.2025.1302.15-j,"Prayers at Dawn, Fuji at Noon: Music, Spirituality and Everyday Wellbeing among Urban Informal Workers in Ibadan",2025,ABUAD Journal of the Humanities-AGIDIGBO
158,EXCLUDE,E1,야생동물 소음반응 인지매개 논평·동물,10.1111/gcb.17083,Cognition as a neglected mediator of responses to anthropogenic noise,2023,Global Change Biology
159,EXCLUDE,E7,중국 지역 저널·언어·문헌유형 불명,,On the Types and Approaches of Urban Environment Treatment,2008,Journal of Ningbo Radio & TV University
160,EXCLUDE,E2,치과 진료 중 음악요법·실내 임상,10.4103/ijmd.ijmd_12_17,Influence of music therapy to reduce anxiety during dental procedures in the Department of Prosthodontics,2017,Indian Journal of Multidisciplinary Dentistry
161,EXCLUDE,E5,도시 소음공해 건강영향 종설,10.12692/jbes/27.4.28-31,Noise pollution in the urban environment and its impact on human health: A review,2025,Journal of Biodiversity and Environmental Sciences (JBES)
162,EXCLUDE,E6,이징모형 자기엔트로피 계산·주제 무관,10.1016/j.matpr.2021.11.610,A Metropolis study of the isothermal magnetic entropy change in spin-1/2 Ising model,2021,Materials Today Proceedings
163,EXCLUDE,E1,SID 139 중복·조류-항공기 충돌 리뷰,10.2307/4089960,Competition in the Air: Birds versus Aircraft,2002,The Auk
164,EXCLUDE,E5,제국주의 감각사 역사 에세이·비실증,10.1111/j.1467-7709.2010.00909.x,"Empires of the Senses: How Seeing, Hearing, Smelling, Tasting, and Touching ShapedImperial Encounters",2010,Diplomatic History
165,EXCLUDE,E5,바그다드 음악공간 강연 에세이·비실증,10.5406/21567417.66.1.03,The Social Spaces of Music Traditions in Baghdad before and after Destruction,2022,Ethnomusicology
166,EXCLUDE,E5,소음·수면 건강영향 종설·비실증,10.1097/01.hj.0000833460.14917.2a,Noise Effects on Sleep and Health Consequences,2022,The Hearing Journal
167,EXCLUDE,E5,대기오염 심혈관위험 사설·음환경 아님,10.1111/j.1365-2796.2011.02489.x,Air pollution and its cardiovascular and other risks,2011,Journal of Internal Medicine
168,EXCLUDE,E6,양자 보전생물학 논평·주제 무관,10.1111/conl.12195,Quantum Conservation Biology: A New Ecological Tool,2015,Conservation Letters
169,EXCLUDE,E6,간섭레이더 지진위험 실험·주제 무관,10.58286/29772,A Laboratory test aimed at demostrating the potential of an Interferometric Radar to estimate the Seismic Risk of damaged buildings,2024,e-Journal of Nondestructive Testing
170,EXCLUDE,E5,배경음악 정책 관점 논설·비실증,10.1097/01.hj.0000911304.65886.36,Hearing Health on Hold: Why We Need Silent Options,2022,The Hearing Journal
171,EXCLUDE,E5,사운드 학술지 권두언·비실증,10.1525/res.2021.2.1.1,Introduction,2021,Resonance The Journal of Sound and Culture
172,EXCLUDE,E6,NHS 데이터 옵트아웃·주제 무관,10.1093/pubmed/fdy059,The challenge of opt-outs from NHS data: a small-area perspective,2018,Journal of Public Health
173,EXCLUDE,E5,소음-심질환 EEA보고서 논평·비실증,10.1093/eurheartj/ehaf1072,From noise to heart disease: European Environment Agency sounds the alarm for Europe 2025,2025,European Heart Journal
174,EXCLUDE,E5,돌봄과학 환경개념 사설·비실증,10.1111/scs.12620,On locating the metaparadigm concept environment within caring science,2018,Scandinavian Journal of Caring Sciences
175,EXCLUDE,E5,환경심리학 포용성 관점 논문·비실증,10.3389/fpsyg.2025.1674161,Toward a more just and inclusive environmental psychology: moving beyond genderwashing and performative inclusion,2025,Frontiers in Psychology
176,EXCLUDE,E5,산림학 특집호 서문·비실증,10.5849/jof.16-010,A Special Issue of the &lt;I&gt;Journal of Forestry&lt;/I&gt;—Wilderness Science and Its Role in Wilderness Stewardship,2016,Journal of Forestry
177,EXCLUDE,E5,근대초 지중해 포로 언어학습 사료연구,10.1111/rest.12565,"Language‐learning, orality, and multilingualism in early modern Anglophone narratives of Mediterranean captivity",2019,Renaissance Studies
178,EXCLUDE,E6,곤충학과 예술 연계 논설·주제 무관,10.1093/ae/tmae001,Art is Science is Art: Strengthening Connections Between Entomology and the Arts,2024,American Entomologist
179,EXCLUDE,E7,ISEE 학회초록집·문헌유형 부적합,10.1097/ee9.0000000000000151,"ISEE Young Virtual Conference, Basel, Switzerland, 18-19 February, 2021",2021,Environmental Epidemiology
180,EXCLUDE,E5,배회 특집호 편집자 서문·비실증,10.5204/mcj.1598,Wandering,2019,M/C Journal
181,EXCLUDE,E1,도로소음·절지동물 신호 가소성·동물,10.1111/1365-2435.12245,Road noise and signal divergence via developmental plasticity in an arthropod,2014,Functional Ecology
182,EXCLUDE,E6,구급의학 저널 논설·주제 무관,,Seeking basic needs and other tales of excess,2018,Australasian Journal of Paramedicine
183,EXCLUDE,E5,포크너 소설 소음 문학비평·비실증,10.1353/fau.2012.0012,"“The Megaphone’s Bellowing and Bodiless Profanity”: If I Forget Thee, Jerusalem and the Culture of Cacophony",2012,The Faulkner journal
184,EXCLUDE,E5,뉴올리언스 흑인 음악사 연구·비실증,10.1093/musqtl/gdaa012,“Our Brothers Across Canal”: Forging Intraracial Unity through Western Art Music Practice in Mid-Nineteenth and Early Twentieth-Century New Orleans,2020,The Musical Quarterly
185,EXCLUDE,E5,FM시스템·인공와우 해설 기사·비실증,10.1044/leader.ftr6.11162006.22,Five Important Questions About FM Systems and Cochlear Implants,2006,ASHA Leader
186,EXCLUDE,E4,학회초록·정신건강 결과만·행태 아님,10.1097/01.ee9.0000611300.70501.8d,"On traffic-related air pollution and noise, mediating associations between urban design (including greenness) and mental health. Evidence from the Barcelona Health Survey",2019,Environmental Epidemiology
187,EXCLUDE,E3,야간 인공광 연구동향 기사·음환경 아님,10.1093/biosci/biad058,Artificial light at night: A research field in action,2023,BioScience
188,EXCLUDE,E5,콩고분지 생물연구소 소개 기사·비실증,10.1002/bes2.1785,Biological Field Stations in the Heart of the Congo Basin Rainforest,2020,Bulletin of the Ecological Society of America
189,EXCLUDE,E6,제2언어 신경인지 논평·주제 무관,10.1111/lang.12618,The Neurocognitive Underpinnings of Second Language Processing: Knowledge Gains From the Past and Future Outlook: A Response to Open Peer Commentaries,2023,Language Learning
190,EXCLUDE,E6,텔레비전 교육 진정성 사례연구·주제 무관,10.5204/mcj.931,Crocodile Tears? Authenticity in Televisual Pedagogy,2015,M/C Journal
191,EXCLUDE,E5,웃음·코미디 문화비평 에세이·비실증,10.1086/689658,"Taking Back the Laugh: Comedic Alibis, Funny Fails",2016,Critical Inquiry
192,EXCLUDE,E5,교실 음장시스템 도입 소개 기사·비실증,10.1044/leader.scm.11072006.1,Sound Field Systems on the Rise in Schools,2006,ASHA Leader
193,EXCLUDE,E6,가상세계 지식공학 사설·주제 무관,10.1111/j.1468-0394.2010.00556.x,Thinking inside the box,2010,Expert Systems
194,EXCLUDE,E5,생태학회지 뉴스란·비실증,10.1890/1540-9295-11.3.116,Dispatches,2013,Frontiers in Ecology and the Environment
195,EXCLUDE,E7,학회 breakout 발표초록·예술연구,10.1016/j.jth.2017.11.062,Go your Gait! Artistic Research about Walking and Listening ( breakout presentation ),2017,Journal of Transport & Health
196,EXCLUDE,E7,베토벤 학술대회 안내문·문헌유형 부적합,,"Fourth ""New Beethoven Research"" Conference: ""Beethoven and the Congress of Vienna""",2014,The Beethoven newsletter
197,EXCLUDE,E1,군사소음·파충류 스트레스 논평·동물,10.1002/ecy.4370,Stressed reptiles pay the metabolic price of war,2024,Ecology
198,RETRIEVE,,공공광장 분수 소음과 사회적 실천·공간이용,10.54021/seesv5n3-086,Acoustic and perceptual spatial delimitation in public places - a multi-criteria method,2024,STUDIES IN ENGINEERING AND EXACT SCIENCES
199,EXCLUDE,E5,국제식물학회 개최 보고·비실증,10.1002/tax.13247,"Report From The XX International Botanical Congress, Madrid, Spain, 21–27 July 2024",2024,Taxon
200,EXCLUDE,E5,노래 인류학 특집 서문·비실증,10.1111/aman.13785,Introduction,2022,American Anthropologist
201,EXCLUDE,E5,르네상스 이탈리아 여성·소리 역사·비실증,10.1215/0961754x-12264477,A Veil of Silence: Women and Sound in Renaissance Italy,2026,Common Knowledge
202,EXCLUDE,E6,알레르기 디지털헬스 탄소중립·주제 무관,10.1111/all.15880,The contribution of digital health to net zero patient care in allergic diseases: From concept to practice,2023,Allergy
203,EXCLUDE,E5,아시아 아동 환경노출 스코핑 리뷰,10.1016/j.geopsy.2026.100058,Environmental exposures and cognitive-psychosocial development of children in Asia: A scoping review,2026,Geopsychiatry
204,EXCLUDE,E6,고딕성당 모달시험·주제 무관,10.1111/j.1747-1567.2009.00523.x,FULL-SCALE MODAL TESTING OF VAULTED GOTHIC CHURCHES: LESSONS LEARNED,2009,Experimental Techniques
205,EXCLUDE,E5,소아 수면문제 임상 종설·비실증,10.1542/pir.27.12.455,Sleep Problems,2006,Pediatrics in Review
206,EXCLUDE,E2,싱가포르 초등학교 교실 음향·실내,10.1121/1.5014701,Study of architectural design &amp; acoustic conditions of primary schools in Singapore,2017,The Journal of the Acoustical Society of America
207,EXCLUDE,E1,조류권 관련 논평·동물 대상,10.1016/j.cub.2022.09.046,The avisphere,2022,Current Biology
208,EXCLUDE,E5,역사 권력 사운드스케이프 워크숍 보고,10.1093/em/caab061,Sounds powerful,2021,Early Music
209,RETRIEVE,,공원 코트 음향공 실험·시각장애 테니스 참여,10.52383/itfcoaching.v31i89.364,"Experiments to identify the optimal sound to use in a new sound ball to improve recruitment, retention, health, and wellness for blind and visually impaired tennis players",2023,ITF Coaching & Sport Science Review
210,EXCLUDE,E6,멕시코 마약소설 생태비평·주제 무관,10.1093/isle/isw012,"Narco-Pastoral: Drug Trafficking, Ecology, and the Trope of the Noble Campesino in Three Mexican Narconovelas",2016,ISLE Interdisciplinary Studies in Literature and Environment
211,EXCLUDE,E6,산호 감각 문학·환경비평·주제 무관,10.1093/isle/isab050,Sensing Black Coral,2021,ISLE Interdisciplinary Studies in Literature and Environment
212,EXCLUDE,E3,대기질 노출모델 학회초록·음환경 아님,10.1097/00001648-200611001-00121,Development and Application of Exposure Modeling Techniques to Support Efficient Air-Quality Management,2006,Epidemiology
213,EXCLUDE,E7,공중보건 학회초록집·문헌유형 부적합,10.1097/md.0000000000042787,2nd International Conference on Public Health and Health Sciences (PHHS2025),2025,Medicine
214,EXCLUDE,E7,스웨덴 도로망 기관보고서·문헌유형 부적합,,IMPROVEMENTS TO THE MUNICIPAL ROAD NETWORK IN FIVE TOWNS: DEMONSTRATION PROJECT IN MAELARDALEN REGION OF THE SWEDISH NATIONAL ROAD ADMINISTRATION IN 2001/2002,2003,VTI MEDDELANDE
215,EXCLUDE,E5,대중음악 생산 이론 에세이·비실증,10.1093/musqtl/gdac009,“This Year’s Model”: Toward a Sloanist Theory of Popular Music Production,2022,The Musical Quarterly
216,EXCLUDE,E5,소음 환경기준 문헌·법제 검토·비실증,10.3390/su18146996,Noise as an Environmental Pressure Factor: Implications for Shaping Environmental Standards and Sustainable Environmental Management,2026,Sustainability
217,EXCLUDE,E5,캄보디아계 청취 서사 에세이·비실증,10.5406/19452349.40.3.05,Cambodian American Listening as Memory Work,2022,American Music
218,EXCLUDE,E5,스캐너 사운드아트 작가 에세이·비실증,10.5204/mcj.2390,Scan and Deliver,2005,M/C Journal
219,EXCLUDE,E5,대중음악 명명 정치 에세이·비실증,10.1111/j.1524-2226.2006.00073.x,The Politics of Nomenclature,2006,Journal of Popular Music Studies
220,RETRIEVE,,대형점포 입지·쇼핑행태와 교통소음 영향평가,10.2208/journalip.18.181,Location of Large-Scale Retail Stores under Economic Regulation and their Impact Assessment on Neighborhood Environment,2001,INFRASTRUCTURE PLANNING REVIEW
221,EXCLUDE,E3,"배기가스 건강비용 추정, 음환경 변수 없음",,DIRECT EVALUATION OF ADDITIONAL COSTS TO THE NATIONAL ECONOMY IN THE FORM OF DAMAGE TO HEALTH CAUSED BY EXHAUST GAS EMISSION FROM ROAD TRAFFIC,1977,Z VERKEHRSWISS
222,RETRIEVE,,"능동교통수단 이용과 도로교통소음 불쾌감, 역방향 관련",10.1093/eurpub/ckx187.280,Effects of road-traffic nuisance on the active travel modes. What are the consequences?,2017,European Journal of Public Health
223,EXCLUDE,E5,학술지 게스트 에디토리얼,,JATI 23 (2) 2018 GUEST EDITORIAL,2018,JATI - JOURNAL OF SOUTHEAST ASIAN STUDIES
224,EXCLUDE,E5,"야외극장 셰익스피어 공연 리뷰, 비실증",10.1353/shb.2015.0050,A Midsummer Night’s Dream by Southern Shakespeare Festival (review),2015,Shakespeare bulletin
225,EXCLUDE,E1,"생태음향 AI 모니터링, 야생동물 대상",10.3389/fevo.2025.1720295,Cognitive alignment as a pathway to collaborative environmental sound AI in ecological monitoring,2026,Frontiers in Ecology and Evolution
226,EXCLUDE,E2,"도로변 사무실·상가 실내 설문, 건강·짜증 결과",10.53555/jaz.v44i1.4699,Noise Pollution: A Public Wellbeing Challenge,2023,Journal Of Advanced Zoology
227,EXCLUDE,E5,민족음악학 학문사 에세이,10.2307/852107,Impressions of Finnish Music Research,1994,Ethnomusicology
228,EXCLUDE,E2,"건물 바닥 차음성능 비용분석, 실내",10.18607/es20231214923,Financial viability of horizontal sealing elements with different acoustic performance ratings,2023,E&S Engineering and Science
229,EXCLUDE,E5,르네상스 소리·젠더 도서 서평,10.1093/ahr/rhaf299,Julia Rombough. <i>A Veil of Silence: Women and Sound in Renaissance Italy</i>,2025,The American Historical Review
230,EXCLUDE,E5,고생물학 공연예술 소개 에세이,10.1093/icb/icy112,Prehistoric Body Theater: Bringing Paleontology Narratives to Global Contemporary Performance Audiences,2018,Integrative and Comparative Biology
231,EXCLUDE,E5,석유지대 사운드 인문학 에세이,10.1111/aman.28072,Spectral sonics: Field recordings from an extractive zone,2025,American Anthropologist
232,EXCLUDE,E2,"광고 배경음악과 구매행동, 옥외 공공공간 아님",10.70121/001c.145123,Usage of Music within Commercial Marketing,2025,Scholarly review .
233,EXCLUDE,E6,"회계 전문직 목적 논의, 주제 무관",10.1108/aaaj-08-2025-299,Sent to Coventry! Creatively (re)capturing accounting’s purpose,2025,Accounting Auditing & Accountability Journal
234,EXCLUDE,E5,예측부호화·도시성 조현병 이론 리뷰,10.3389/fpsyt.2025.1574944,“Hell is other people”. Schizophrenia and urbanicity in the light of predictive coding theory,2025,Frontiers in Psychiatry
235,EXCLUDE,E7,"독일어 저널, 야간 차량소음 불쾌감",,VEHICLE NOISE NUISANCE IN RESIDENTIAL AREAS OF TOWNS AT NIGHT,1977,Kampf dem Laerm
236,EXCLUDE,E1,"조류 노래 연구 제목, 초록 메타데이터 오염",10.1103/physrevb.39.9028,The Effects of Anthropogenic Ambient Noise and Habitat Vegetation on Common Yellowthroat Song,2008,"Physical review. B, Condensed matter"
237,EXCLUDE,E5,심장학회지 에디토리얼,10.1093/eurheartj/ehv540,Neglected cardiovascular risk factors,2015,European Heart Journal
238,EXCLUDE,E5,"청각 전문지 칼럼, 비실증",10.1097/01.hj.0000827584.62326.50,‘Safe’ Noise Harms the Brain,2022,The Hearing Journal
239,EXCLUDE,E5,17세기 발라드 음악 도서 서평,10.5325/preternature.5.2.0247,"<i>Damnable Practises: Witches, Dangerous Women, and Music in Seventeenth-Century English Broadside Ballads</i> (Sarah F. Williams)",2016,Preternature Critical and Historical Studies on the Preternatural
240,EXCLUDE,E2,"차량 내 음악과 운전행동, 세팅 제외",10.24115/s2446-6220202173d1736p.440-449,The relation between social actions and auditory music basket of iranian citizens case study: Tehran and Karaj citizens in 2013,2021,LAPLAGE EM REVISTA
241,EXCLUDE,E4,"관광마을 다감각 경험, 결과는 재방문 의도",10.20885/ambr.vol6.iss2.art6,From sensory impressions to revisit intention: Multisensory tourism experiences in East Java’s tourism villages,2026,Asian Management and Business Review
242,EXCLUDE,E7,"학술대회 프로시딩, 소재 소음저감 공학",,Noise reduction by intelligent materials - the IP InMAR,2006,"TRA - TRANSPORT RESEARCH ARENA EUROPE 2006: GOETEBORG, SWEDEN, JUNE 12TH-15TH 2006: GREENER, SAFER AND SMARTER ROAD TRANSPORT FOR EUROPE. PROCEEDINGS"
243,EXCLUDE,E6,"광섬유 자이로스코프, 주제 무관",10.1016/0030-3992(85)90124-0,Fibre optic gyroscopes and monomode optical components,1985,Optics & Laser Technology
244,EXCLUDE,E3,"통제소재·성격이 노출변수, 음환경 아님",10.21009/ijeem.052.03,Pengaruh Locus of Control dan Kepribadian (Personality) Terhadap Keinginan Untuk Bertindak (Intention to Act) Siswa,2020,IJEEM - Indonesian Journal of Environmental Education and Management
245,EXCLUDE,E5,다종 텍스트성 환경인문학 에세이,10.1093/isle/isab024,Multispecies Emergent Textualities: Writing and Reading in Ecologies of Selves,2021,ISLE Interdisciplinary Studies in Literature and Environment
246,EXCLUDE,E2,"수면실험실 야간소음 EEG, 실내·생리지표",10.1093/sleepadvances/zpad035.049,O049 A Quantitative EEG Analysis of Overnight Noise Exposure Effects on Sleep– A Laboratory Study,2023,SLEEP Advances
247,EXCLUDE,E5,컴퓨터음악 학회 소식란,10.1162/comj_e_00622,News,2021,Computer Music Journal
248,EXCLUDE,E5,신간 소개란,10.5406/23300841.67.4.29,Books Briefly,2022,The Polish Review
249,EXCLUDE,E6,"해저 측지학 초록, 주제 무관",,Seafloor geodesy: Measuring surface deformation and strain-build up,2017,The EGU General Assembly
250,EXCLUDE,E5,요양시설 음악치료 연구 프로토콜,10.1002/alz.080171,Multimodal music therapy intervention for engagement and agitation reduction for persons with severe dementia: Study protocol of a pilot randomized cross‐over trial,2023,Alzheimer s & Dementia
251,EXCLUDE,E5,에스토니아 시문학 바다 모티프 에세이,10.12697/bjah.2016.11.03,Meremotiiv üleva pildikeeles: paari näitega eesti luulest,2016,Baltic Journal of Art History
252,EXCLUDE,E5,바르샤바 게토 공간 도서 서평,10.5406/23300841.71.1.16,Violent Space: The Jewish Ghetto in Warsaw,2026,The Polish Review
253,EXCLUDE,E6,"수술실 환자안전 칼럼, 음환경 무관",10.1016/j.aorn.2014.04.009,"10 Years In, Why Time Out Still Matters",2014,AORN Journal
254,EXCLUDE,E1,어류 생태·행동 총설,10.1111/jfb.15545,The challenges faced by fish in a dynamic world,2023,Journal of Fish Biology
255,EXCLUDE,E5,소닉 에콜로지 성찰 에세이,,Sounds like garbage: Paddling through an imaginary island of trash toward a new sonic ecology,2014,Social alternatives
256,EXCLUDE,E5,문학지 편집자 서문,10.1353/jml.2000.0010,Editor's Introduction,2000,Journal of Modern Literature
257,EXCLUDE,E4,"카이로 아잔 소리·남성성 인류학, 행태 아웃컴 없음",10.1215/15525864-10462467,"Sacral Sound, Unbearable Noise, and Cairene Masculinities",2023,Journal of Middle East Women s Studies
258,EXCLUDE,E5,1893년 만국박람회 역사음악학 논고,10.5406/19452349.41.3.04,Wagner on the Midway: Reassessing Sonic Divisions at the 1893 World's Columbian Exposition,2023,American Music
259,EXCLUDE,E4,"SID 257 중복, 동일 DOI",10.1215/15525864-10462467,"Sacral Sound, Unbearable Noise, and Cairene Masculinities",2023,Journal of Middle East Women s Studies
260,EXCLUDE,E5,덕트 소음 CFD 시뮬레이션,10.47116/apjcri.2025.01.31,Noise Analysis of Different Duct Geometries To Identify Optimal Noise Reduction Ducts,2025,Asia-pacific Journal of Convergent Research Interchange
261,EXCLUDE,E6,"태양광 발전 AI 예측, 주제 무관",10.56975/ijsdr.v11i2.307987,Predictive Analytics Based AI Framework for Enhancing Solar Panel Efficiency,2026,International Journal of Scientific Development and Research
262,EXCLUDE,E5,조이스 학교 참관기,10.1353/jjq.2012.0047,"“ Joycencore rearrived / or lots of fun again”: The Seventeenth Annual Trieste Joyce School Trieste, Italy, 30 June–6 July 2013",2012,James Joyce quarterly
263,EXCLUDE,E5,조류학회 100년 전 기록,10.1093/auk/ukz072,100 Years Ago in the American Ornithologists’ Union,2019,The Auk
264,EXCLUDE,E5,오스만 그리스정교 음악 도서 서평,10.1093/jaarel/lfw080,<i>Greek Orthodox Music in Ottoman Istanbul: Nation and Community in the Era of Reform</i> . By Merih Erol,2017,Journal of the American Academy of Religion
265,EXCLUDE,E3,"노출은 야간인공광, 소음은 보정변수",10.1093/eurpub/ckae144.1089,Nocturnal Artificial Light Exposure in Expectant Mothers and Risk of Congenital Glaucoma,2024,European Journal of Public Health
266,EXCLUDE,E5,남북전쟁 동물사 도서 서평,10.1353/cwe.2023.a912410,Animal Histories of the Civil War Era ed. by Earl J. Hess (review),2023,The Journal of the Civil War Era
267,EXCLUDE,E2,"청각처리장애 임상 중재, 옥외 아님",10.1044/hhdc15.1.10,Treatment of Auditory Processing Disorders in Adolescents,2005,Perspectives on Hearing and Hearing Disorders in Childhood
268,EXCLUDE,E5,아프로프랑스 서사 도서 서평,10.1353/tfr.2023.a914266,Gender and the Spatiality of Blackness in Contemporary AfroFrench Narratives by Polo B. Moji (review),2023,The French review
269,EXCLUDE,E5,영화 비평 에세이,,Hou Hsiao-Hsien's Cafe Lumiere,2005,Cineaction!
270,EXCLUDE,E5,수제맥주 도서 서평,10.1353/mwr.2017.0077,Craft Beer in the Heartland,2017,Middle West review
271,EXCLUDE,E6,경영 사례연구 강의노트,,Growth for Tiffany & Co.(Instructor's Note),2004,Journal of the International Academy of Case Studies
272,EXCLUDE,E6,"경영 사례연구, 주제 무관",,Growth for Tiffany & Co,2004,Journal of the International Academy of Case Studies
273,EXCLUDE,E5,문예지 게재 시,10.1353/mis.2023.0011,"House Hunting, and: Perhaps This Is a Prayer, and: Bastille Day in Paris, 2022, and: Blue Notes, and: Even Now, after All These Years",2023,The Missouri review
274,EXCLUDE,E1,조류 유해 고고동물학 특집호,10.1002/oa.70082,Human–Bird Interactions Through Time: Proceedings of the 11th ICAZ Bird Working Group Meeting,2026,International Journal of Osteoarchaeology
275,EXCLUDE,E5,문화기관 소개란,10.1353/ohq.2003.0050,Affiliate Spotlight: Tamástslikt Cultural Institute,2003,Oregon Historical Quarterly
276,EXCLUDE,E5,조류 노래 연구자 부고,10.1642/auk-13-240.1,"Paul C. Mundinger, 1934–2011",2014,The Auk
277,EXCLUDE,E5,해외 의료 체험 개인 수기,10.1097/00001888-200504000-00021,An Introduction to Foreign Health Care,2005,Academic Medicine
278,EXCLUDE,E5,"공력음향 수치해석, 시뮬레이션",,Numerical studies on Aero-acoustic Phenomena Associated with Wall-bounded Shear Flow,2010,Medical Entomology and Zoology
279,EXCLUDE,E5,게임음악 도서 서평,10.1525/jsmg.2020.1.2.84,"<i>Popular Music in the Nostalgia Video Game: The Way It Never Sounded</i>, by Andra Ivănescu",2020,Journal of Sound and Music in Games
280,EXCLUDE,E5,세계문학 도서 서평,10.1353/wlt.2019.0061,Agustín Fernández MalloThe Nocilla Trilogy,2019,World Literature Today
281,EXCLUDE,E5,"세계문학 도서 서평, SID 280과 동일 지면",10.1353/wlt.2019.0058,Christine WunnickeThe Fox and Dr. Shimamura,2019,World Literature Today
282,EXCLUDE,E5,관광 특집호 편집 회고,10.1108/whatt-12-2024-238,"Reflections: Sustainability, smart tourism destinations and evolving visitor preferences",2024,Worldwide Hospitality and Tourism Themes
283,EXCLUDE,E5,사운드 저널 특집 서문,10.1525/res.2026.7.2.181,Interlude,2026,Resonance The Journal of Sound and Culture
284,EXCLUDE,E5,중세 종교문헌 도서 서평,10.5325/jmedirelicult.49.2.0260,Encountering The Book of Margery Kempe,2023,The Journal of Medieval Religious Cultures
285,EXCLUDE,E4,"보청기 문제 자기보고, 행태 아웃컴 없음",10.1097/01.hj.0000734216.39465.d2,"Underreported Hearing Aid Problems: No news is good news, right? Wrong!",2021,The Hearing Journal
286,EXCLUDE,E5,소음성난청 진화의학 칼럼,10.1097/01.hj.0000521763.31237.16,Evolutionary Perspective of Cochlear Amplification and NIHL,2017,The Hearing Journal
287,EXCLUDE,E5,종교지 개인 회고 에세이,10.5406/15549399.57.4.07,Don't Worry . . . Bee Happy,2024,Dialogue A Journal of Mormon Thought
288,EXCLUDE,E4,"중환자실 VR 환자경험, 행태 아웃컴 없음",10.4037/ajcc2025625,Exploring the Effects of Virtual Reality on the Patient Experience in Adult and Pediatric Intensive Care,2025,American Journal of Critical Care
289,EXCLUDE,E5,청각기기 업계 뉴스란,10.1097/01.hj.0000360856.40443.f6,MANUFACTURERS NEWS,2009,The Hearing Journal
