uid,branch,screening,status,round,nr_category,evidence
OAS0001,OAS,UNCERTAIN,retrieved,20260918,,oa_supp_retrieval.csv: ok-20260918 8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_004421.csv:user]
OAS0005,OAS,RETRIEVE,retrieved,20260918,,oa_supp_retrieval.csv: ok-20260918 8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_004421.csv:user]
OAS0011,OAS,RETRIEVE,retrieved,20260918,,oa_supp_retrieval.csv: ok-20260918 8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_142349.csv:user]
OAS0040,OAS,UNCERTAIN,retrieved,20260918,,oa_supp_retrieval.csv: ok-20260918 8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_010058.csv:auto]
OAS0041,OAS,RETRIEVE,retrieved,20260918,,oa_supp_retrieval.csv: ok-20260918 8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_142349.csv:user]
OAS0050,OAS,RETRIEVE,retrieved,20260918,,oa_supp_retrieval.csv: ok-20260918 8월 미확보(http418) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_142349.csv:user]
OAS0073,OAS,RETRIEVE,retrieved,20260918,,oa_supp_retrieval.csv: ok-20260918 8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_142349.csv:user]
OAS0125,OAS,RETRIEVE,retrieved,2026-08,,oa_supp_retrieval.csv: ok 
OAS0154,OAS,RETRIEVE,retrieved,2026-08,,oa_supp_retrieval.csv: ok 
OAS0157,OAS,RETRIEVE,retrieved,2026-08,,oa_supp_retrieval.csv: ok 
OAS0198,OAS,RETRIEVE,retrieved,2026-08,,oa_supp_retrieval.csv: ok 
OAS0209,OAS,RETRIEVE,prescreen-exclude,,,oa_supp_retrieval.csv: prescreen-exclude 코칭 뉴스레터 — 동료심사 저널 아님
OAS0220,OAS,RETRIEVE,retrieved,2026-08,,oa_supp_retrieval.csv: ok 
OAS0222,OAS,RETRIEVE,retrieved,20260918,,oa_supp_retrieval.csv: ok-20260918 8월 미확보(http403) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_004421.csv:user]
OAS0299,OAS,RETRIEVE,prescreen-exclude,,,oa_supp_retrieval.csv: prescreen-exclude 업계지(trade magazine) — 동료심사 저널 아님
